cruise,station,cast,year,month,day,hour,minute,latitude,longitude,bottomdepth,maxsampdepth,bottle,pressure,depth,temperature,theta,salinity,salinityf,salinityqc,sigma0,sigma1,sigma2,sigma3,sigma4,gamma,oxygen,oxygenf,oxygenqc,aou,aouf,nitrate,nitratef,nitrateqc,nitrite,nitritef,silicate,silicatef,silicateqc,phosphate,phosphatef,phosphateqc,tco2,tco2f,tco2qc,talk,talkf,talkqc,phts25p0,phts25p0f,phtsinsitutp,phtsinsitutpf,phtsqc,cfc11,pcfc11,cfc11f,cfc11qc,cfc12,pcfc12,cfc12f,cfc12qc,cfc113,pcfc113,cfc113f,cfc113qc,ccl4,pccl4,ccl4f,ccl4qc,sf6,psf6,sf6f,c13,c13f,c14,c14f,c14err,h3,h3f,h3err,he3,he3f,he3err,he,hef,heerr,neon,neonf,neonerr,o18,o18f,toc,tocf,doc,docf,don,donf,tdn,tdnf,chla,chlaf
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,1,8.6,9,0.4049,0.404588,33.381,2,1,26.7784,31.4886,36.093,40.5929,44.9899,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,2,8.6,9,0.5369,0.53658,33.249,2,1,26.6648,31.3723,35.9739,40.4712,44.8658,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,3,48.9,48,2.3604,2.35768,34.806,2,1,27.787,32.4295,36.9677,41.4034,45.7384,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,4,48.9,48,2.3614,2.35868,34.803,2,1,27.7845,32.427,36.9652,41.4009,45.7359,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,5,148,146,2.4664,2.45787,34.981,2,1,27.9185,32.5568,37.0909,41.5226,45.8538,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,6,148,146,2.4724,2.46386,34.986,2,1,27.922,32.5601,37.094,41.5255,45.8565,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,7,148,146,2.4684,2.45987,34.981,2,1,27.9183,32.5565,37.0906,41.5223,45.8534,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,8,249,246,2.2685,2.25433,35.005,2,1,27.955,32.5986,37.138,41.5748,45.9109,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,9,249,246,2.2685,2.25433,35.005,2,1,27.955,32.5986,37.138,41.5748,45.9109,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
1,319,1,1984,7,20,14,46,80.5667,7.2267,733,724,10,248,245,2.2585,2.24441,35.003,2,1,27.9542,32.5981,37.1378,41.5749,45.9113,-9999,-9999,9,1,-9999,9,-9999,9,1,-9999,9,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,1,-9999,9,-9999,9,1,-9999,-9999,9,0,-9999,-9999,9,0,-9999,-9999,9,1,-9999,-9999,9,1,-9999,-9999,9,-9999,9,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9,-9999,9
