# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

06AQ19930806,19930812,0000,81.20500,30.58330,174.70000,172.77200,1.32280,1.31441,34.74010,312.01200,5.40750,5.44000,-9999.00000,2131.80000,-9999.00000,5.66100,2.65600
06AQ19930806,19930812,0000,81.20500,30.58330,165.70000,163.87500,1.28240,1.27452,34.73200,312.97500,5.30250,5.35000,-9999.00000,2133.00000,-9999.00000,5.63900,2.65000
06AQ19930806,19930812,0000,81.20500,30.58330,150.70000,149.04600,0.91240,0.90574,34.65060,314.04500,5.20800,5.35000,-9999.00000,2129.40000,-9999.00000,-9999.00000,2.69000
06AQ19930806,19930812,0000,81.20500,30.58330,125.10000,123.73400,0.70330,0.69803,34.61470,314.04500,5.30250,5.35000,-9999.00000,2127.40000,-9999.00000,5.83800,2.68800
06AQ19930806,19930812,0000,81.20500,30.58330,101.20000,100.10100,0.41450,0.41052,34.53630,315.11500,5.30250,5.25000,-9999.00000,2122.70000,-9999.00000,5.92200,2.73700
06AQ19930806,19930812,0000,81.20500,30.58330,50.20000,49.66100,-1.32420,-1.32536,34.13570,325.60100,-9999.00000,-9999.00000,-9999.00000,2092.90000,-9999.00000,-9999.00000,-9999.00000
06AQ19930806,19930812,0000,81.20500,30.58330,50.20000,49.66100,-1.33290,-1.33406,34.09770,326.67100,4.69350,4.67000,-9999.00000,2091.60000,-9999.00000,6.29300,2.96800
06AQ19930806,19930812,0000,81.20500,30.58330,24.90000,24.63420,-1.48260,-1.48313,33.89770,332.98400,4.18950,4.67000,-9999.00000,2079.90000,-9999.00000,6.25100,2.91200
06AQ19930806,19930812,0000,81.20500,30.58330,14.90000,14.74130,-1.53490,-1.53520,33.78080,334.05400,4.08450,4.57000,-9999.00000,2072.70000,-9999.00000,6.34200,2.93100
06AQ19930806,19930812,0000,81.20500,30.58330,10.10000,9.99253,-1.60490,-1.60510,33.61860,338.22700,3.67500,4.47000,-9999.00000,2061.50000,-9999.00000,6.30400,2.90400
06AQ19930806,19930812,0000,81.20500,30.58330,5.30000,5.24367,-1.65370,-1.65380,33.60470,339.29700,3.67500,4.38000,-9999.00000,2057.30000,-9999.00000,6.25000,2.95200
06AQ19930806,19930812,0000,81.20500,30.58330,2.50000,2.47344,-1.62840,-1.62845,33.55100,339.29700,3.67500,4.38000,-9999.00000,2056.10000,-9999.00000,6.32500,2.91300
06AQ19930806,19930812,0000,81.45000,30.87170,491.10000,485.30700,2.37990,2.35055,34.99270,309.87200,11.02500,5.15000,-9999.00000,2144.10000,-9999.00000,4.95000,2.32900
06AQ19930806,19930812,0000,81.45000,30.87170,464.40000,458.95100,2.63450,2.60588,35.00940,310.94200,12.04350,5.25000,-9999.00000,2143.80000,-9999.00000,5.19000,2.43600
06AQ19930806,19930812,0000,81.45000,30.87170,445.30000,440.09600,2.60840,2.58113,35.00060,310.94200,11.02500,4.86000,-9999.00000,2146.80000,-9999.00000,5.23900,2.47500
06AQ19930806,19930812,0000,81.45000,30.87170,349.60000,345.59400,1.93950,1.92021,35.07120,311.90500,11.22450,4.96000,-9999.00000,2142.60000,-9999.00000,5.56600,2.67600
