# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

06GA19960613,19960613,0000,44.12780,-62.32100,5.03806,5.00000,10.66700,10.66640,31.47200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1996.40000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960613,0000,44.05780,-62.08400,5.03806,5.00000,10.56000,10.55940,31.86100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2009.40000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960613,0000,44.03150,-61.95500,5.03806,5.00000,10.83200,10.83140,31.80800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2007.60000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960613,0000,43.97170,-61.70800,5.03806,5.00000,11.16100,11.16040,31.76900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2004.00000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960613,0000,43.92770,-61.56500,5.03806,5.00000,11.20100,11.20040,32.04000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2013.70000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960613,0000,43.88930,-61.40200,5.03806,5.00000,11.49000,11.48940,31.98700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2011.40000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960613,0000,43.84650,-61.22900,5.03806,5.00000,10.21600,10.21540,32.00700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2018.60000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960613,0000,43.81070,-61.10300,5.03806,5.00000,10.76900,10.76840,32.04400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2014.20000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960613,0000,43.78730,-61.02000,5.03806,5.00000,9.46200,9.46146,31.99200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2012.00000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960613,0000,43.73980,-60.84600,5.03806,5.00000,8.81100,8.81049,31.98000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2011.80000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960614,0000,43.70250,-60.72200,5.03806,5.00000,9.95000,9.94945,31.86300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2011.00000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960614,0000,43.49320,-58.29600,5.03806,5.00000,8.72000,8.71949,31.64100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2011.40000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960614,0000,43.50270,-57.82200,5.03806,5.00000,9.25800,9.25747,31.63800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2011.00000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960614,0000,43.51550,-57.30900,5.03806,5.00000,11.66000,11.65940,32.97900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2024.30000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960614,0000,43.50700,-56.07400,5.03806,5.00000,15.71100,15.71020,34.37200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2035.00000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960614,0000,43.50700,-56.07400,5.03806,5.00000,15.71100,15.71020,34.37200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2035.10000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960614,0000,43.50700,-56.07400,5.03806,5.00000,15.71100,15.71020,34.37200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2034.90000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960614,0000,43.50700,-56.07400,5.03806,5.00000,15.71100,15.71020,34.37200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2031.20000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960614,0000,43.50700,-56.07400,5.03806,5.00000,15.71100,15.71020,34.37200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2034.00000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960614,0000,43.50700,-56.07400,5.03806,5.00000,15.30200,15.30120,34.39600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2031.20000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960614,0000,43.50700,-56.07400,5.03806,5.00000,15.30200,15.30120,34.39600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2032.50000,-9999.00000,-9999.00000,-9999.00000
06GA19960613,19960614,0000,43.50700,-56.07400,5.03806,5.00000,15.30200,15.30120,34.39600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2031.80000,-9999.00000,-9999.00000,-9999.00000
