# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

06MM20090714,20090716,0839,61.75800,-30.43400,896.80000,886.00000,4.15680,4.08792,34.92490,289.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,898.90000,888.00000,4.14670,4.07771,34.92440,290.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,999.10000,987.00000,3.96920,3.89317,34.90840,283.40000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,1098.40000,1085.00000,3.82080,3.73766,34.89950,280.70000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,1203.80000,1189.00000,3.75970,3.66818,34.90620,278.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,1298.40000,1282.00000,3.86100,3.76030,34.93910,272.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,1398.00000,1380.00000,3.80430,3.69543,34.94410,271.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,1498.60000,1479.00000,3.78730,3.66965,34.95320,271.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,1597.90000,1577.00000,3.62290,3.49830,34.93890,272.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,1697.50000,1674.00000,3.50350,3.37142,34.93390,275.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,1798.40000,1774.00000,3.41120,3.27118,34.93130,275.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,1898.00000,1871.00000,3.32360,3.17566,34.93410,276.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,1997.10000,1969.00000,3.20770,3.05230,34.93540,275.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,0839,61.75800,-30.43400,2091.80000,2061.00000,3.16980,3.00614,34.93820,275.70000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,14.10000,14.00000,10.32300,10.32130,35.00870,294.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,98.40000,97.00000,6.27860,6.26998,35.06130,275.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,255.20000,253.00000,5.43710,5.41614,35.01360,274.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,390.70000,387.00000,5.06540,5.03406,35.00040,282.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,504.20000,499.00000,4.61500,4.57593,34.95840,278.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,649.10000,642.00000,4.28480,4.23549,34.93530,286.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,821.20000,812.00000,4.07450,4.01242,34.91700,291.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,955.90000,945.00000,3.88410,3.81231,34.89930,289.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,1098.60000,1085.00000,3.72450,3.64217,34.89080,281.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,1255.70000,1240.00000,3.71140,3.61590,34.91070,276.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,1400.60000,1383.00000,3.68750,3.57969,34.92480,274.40000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,1546.60000,1526.00000,3.64520,3.52494,34.93460,273.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,1695.10000,1672.00000,3.53080,3.39859,34.93440,274.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,1798.00000,1773.00000,3.43540,3.29508,34.93410,275.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,1899.10000,1873.00000,3.34570,3.19734,34.93460,273.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MM20090714,20090716,1552,61.18200,-32.48600,1999.30000,1971.00000,3.26840,3.11189,34.93430,275.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
