# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

06MT19960910,19960910,0000,47.18400,-19.56400,11.08390,11.00000,18.14200,18.14010,35.71830,-9999.00000,0.01020,1.87090,0.06800,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MT19960910,19960910,0000,47.18400,-19.56400,11.08390,11.00000,18.14300,18.14110,35.71830,-9999.00000,0.01020,1.87090,0.06800,-9999.00000,2342.25000,-9999.00000,-9999.00000
06MT19960910,19960910,0000,47.18400,-19.56400,11.08390,11.00000,18.14600,18.14410,35.71830,-9999.00000,0.01020,1.87090,0.06800,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MT19960910,19960910,0000,47.18400,-19.56400,11.08390,11.00000,18.14500,18.14310,35.71930,-9999.00000,0.01020,1.87090,0.06800,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MT19960910,19960910,0000,47.18400,-19.56400,15.11450,15.00000,18.14700,18.14440,35.72030,-9999.00000,0.00000,1.81896,0.04900,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MT19960910,19960910,0000,47.18400,-19.56400,15.11450,15.00000,18.14800,18.14540,35.72030,-9999.00000,0.00000,1.81896,0.04900,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MT19960910,19960910,0000,47.18400,-19.56400,15.11450,15.00000,18.14400,18.14140,35.72130,-9999.00000,0.00000,1.81896,0.04900,-9999.00000,2341.15000,-9999.00000,-9999.00000
06MT19960910,19960910,0000,47.18400,-19.56400,24.18380,24.00000,17.71700,17.71290,35.69540,-9999.00000,0.03978,1.70448,0.10700,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MT19960910,19960910,0000,47.18400,-19.56400,24.18380,24.00000,17.69400,17.68990,35.69240,-9999.00000,0.03978,1.70448,0.10700,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MT19960910,19960910,0000,47.18400,-19.56400,24.18380,24.00000,17.71600,17.71190,35.69640,-9999.00000,0.03978,1.70448,0.10700,-9999.00000,-9999.00000,-9999.00000,-9999.00000
06MT19960910,19960910,0000,47.18400,-19.56400,31.23790,31.00000,16.83900,16.83390,35.71730,-9999.00000,0.08976,1.77656,0.10700,-9999.00000,2336.43000,-9999.00000,-9999.00000
