BOTTLE,20150204PRINUNIVRMK
# 1/10/11 Initialized README file  
# Data source: T.Tanhua 
# SHIP: Meteor 
# Cruise: Meteor 80/1 
# Region: Eastern tropical Atlantic; German SFB 754; ~A16C 
# EXPOCODE: 06MT20091026 
# DATES: 10/26 - 11/23/2009 
# Chief Scientist: P. Brandt 
# 80 stations with 24 place Rosette 
# NOTE: DURING THIS CRUISE THE CTD/ROSETTE WAS "TRIPPED ON THE FLY".  
# Hydro: Who - G. Krahmann; Status - final 
# 	Notes: 	Only enough bottle salt to calibrate ctd. This and the 
# 	trip method made this data very difficult to QC.  
# Nuts: Who - F. Malien; Status - final 
# 	Notes: Silicate samples frozen prior to analysis.  
# 	Values flagged 2/6 thought to be low by approximately 10-15% 
# 	All values with Si>60 flagged 3 
# O2: Who - Frank Malien; Status - final 
# 	Notes: significant disagreement between CTD and bottle oxygen values.  
# 	Data judged to be less than "WOCE quality" 
# TCO2: Who - Arne Kortzinger & Tobias Steinhoff; Status - final 
# 	Notes:  
# TA: Who - Arne Kortzinger & Tobias Steinhoff; Status - final 
# 	Notes:  
# CFC: Who - Toste Tanhua and Anke Schneider; Status - final  
# 	Notes: includes SF6, SF5CF3  
# H3/He3: Who - ; Status - no data in file 
# 	Notes:  Data expected from Bremen 
# References: 
# Banyte, D., Tanhua, T., Visbeck, M., Wallace, D.W.R, J. Karstensen, G. Krahmann, A. Schneider, L. Stramma, 2011. Diapycnal Diffusivity at the upper boundary of the North Atlantic oxygen minimum zone, J. Geophys. Res., in review. 
# Schneider, A., Tanhua, T., Körtzinger, A., Wallace, D.W.R., 2011. An evaluation of tracer fields and anthropogenic carbon in the equatorial and the tropical North Atlantic, Deep-Sea Research, in review. 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,SF5CF3,SF5CF3_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,FMOL/KG,,FMOL/KG,,UMOL/KG,,UMOL/KG,
  06MT20091026,  A16C,     1,  1, 203001,      1,2,20091026,2301, 17.6007, -24.2447, 3746,   3639.2,   2.4779,  34.9077,2,-999.0000,9,    239.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9, -999.000,9,     -999,9,  -999.00,9,   -999.0,9,   -999.0,9
  06MT20091026,  A16C,     1,  1, 203002,      2,2,20091026,2315, 17.6007, -24.2447, 3746,   3032.0,   2.7696,  34.9337,2,-999.0000,9,    243.3,2,    241.5,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,    0.035,2,    0.406,4,     0.00,3,   2190.5,2,   2349.8,2
  06MT20091026,  A16C,     1,  1, 203003,      3,2,20091026,2338, 17.6007, -24.2447, 3746,   2022.7,   3.5702,  34.9776,2,  34.9805,2,    228.9,2,    228.4,3,    21.74,2,    23.30,2,     0.00,2,     1.51,2,     0.09,2,    0.016,2,    0.178,4,     0.00,3,   2183.2,2,   2326.6,2
  06MT20091026,  A16C,     1,  1, 203004,      4,2,20091026,0001, 17.6007, -24.2447, 3746,   1010.9,   6.1735,  34.9532,2,  34.9542,2,    133.8,2,    131.9,2,    18.66,2,    32.43,2,     0.00,2,     2.07,2,     0.04,2, -999.000,9,     -999,9,  -999.00,9,   2219.8,2,   2315.0,2
  06MT20091026,  A16C,     1,  1, 203005,      5,2,20091026,0012, 17.6007, -24.2447, 3746,    605.1,   8.9044,  35.1005,2,-999.0000,9,     77.2,2,     76.9,2,    13.90,2,    34.72,2,     0.00,2,     2.11,2,     0.06,2,    0.231,2,    0.289,4,     0.00,3,   2234.7,2,   2314.0,2
  06MT20091026,  A16C,     1,  1, 203006,      6,2,20091026,0018, 17.6007, -24.2447, 3746,    453.5,  11.0290,  35.3706,2,-999.0000,9,     70.8,2,     70.6,2,     9.49,2,    31.07,2,     0.00,2,     1.81,2,     0.01,2,    0.512,2,    0.181,4,     0.00,3,   2229.4,2,   2322.5,2
  06MT20091026,  A16C,     1,  1, 203007,      7,2,20091026,0022, 17.6007, -24.2447, 3746,    350.8,  11.9951,  35.4623,2,-999.0000,9,     64.6,2,     64.5,2,     7.97,6,    29.46,6,     0.00,6,     1.69,6,     0.02,6,    0.689,2,    0.486,4,     0.00,3,   2228.9,2,   2326.2,2
  06MT20091026,  A16C,     1,  1, 203008,      8,2,20091026,0027, 17.6007, -24.2447, 3746,    246.5,  13.3839,  35.6562,2,-999.0000,9,     75.0,2,     75.3,2,     5.54,2,    23.80,2,     0.01,2,     1.39,2,     0.05,2,    0.893,2,    0.513,4,     0.00,3,   2217.4,2,   2337.2,2
  06MT20091026,  A16C,     2,  1, 203009,      1,2,20091027,0329, 17.6006, -24.2438, 3746,    186.8,  15.0418,  35.9067,2,-999.0000,9,     85.4,2,     86.8,2,     6.69,2,    22.34,2,     0.02,2,     1.28,2,     0.09,2,    1.074,2,    0.957,4,     0.00,3,   2208.7,2,   2345.3,2
