# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

09AR19910925,19911008,0000,-45.18300,145.72100,297.60000,295.00000,9.50900,9.47547,34.72300,272.95200,12.20000,3.70000,1.00700,-9999.00000,-9999.00000,3.61000,1.83800
09AR19910925,19911008,0000,-45.18300,145.72100,395.40000,392.00000,9.44000,9.39544,34.68700,262.44600,13.80000,4.20000,1.10200,-9999.00000,-9999.00000,3.43100,1.74500
09AR19910925,19911008,0000,-45.18300,145.72100,496.60000,492.00000,8.79000,8.73615,34.60800,250.71600,16.90000,5.80000,1.32050,-9999.00000,-9999.00000,3.04000,1.53400
09AR19910925,19911008,0000,-45.18300,145.72100,597.70000,592.00000,8.14100,8.07873,34.53800,231.54000,20.40000,8.90000,1.48200,-9999.00000,-9999.00000,2.25300,1.06000
09AR19910925,19911008,0000,-45.18300,145.72100,695.30000,688.00000,7.57000,7.50010,34.50600,215.83200,23.03990,13.46580,1.64070,-9999.00000,-9999.00000,1.70700,0.87500
09AR19910925,19911008,0000,-45.18300,145.72100,796.50000,789.00000,6.84900,6.77270,34.47900,199.81800,25.50000,18.20000,1.80500,-9999.00000,-9999.00000,0.96800,0.49100
09AR19910925,19911008,0000,-45.18300,145.72100,897.40000,888.00000,5.83500,5.75530,34.44000,194.61600,27.80000,25.40000,1.95700,-9999.00000,-9999.00000,0.63600,0.33000
09AR19910925,19911008,0000,-45.18300,145.72100,999.50000,989.00000,5.14600,5.06174,34.42500,191.55600,29.50000,32.90000,2.08050,-9999.00000,-9999.00000,0.48400,0.24800
09AR19910925,19911008,0000,-45.18300,145.72100,1096.80000,1085.00000,4.48500,4.39729,34.42300,188.08800,31.20000,43.30000,2.19450,-9999.00000,-9999.00000,0.42200,0.19500
09AR19910925,19911008,0000,-45.18300,145.72100,1197.50000,1184.00000,3.92400,3.83244,34.44200,182.07000,32.20000,52.40000,2.28000,-9999.00000,-9999.00000,0.31900,0.16300
09AR19910925,19911008,0000,-45.18300,145.72100,1296.60000,1282.00000,3.52300,3.42682,34.46900,176.86800,33.10000,59.40000,2.34650,-9999.00000,-9999.00000,0.28700,0.15400
09AR19910925,19911008,0000,-45.18300,145.72100,1395.10000,1379.00000,3.15600,3.05533,34.49400,173.50200,33.60000,65.80000,2.38450,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09AR19910925,19911008,0000,-45.18300,145.72100,1493.90000,1476.00000,2.92400,2.81765,34.52600,170.64600,33.60000,70.50000,2.38450,-9999.00000,-9999.00000,0.15500,0.07900
09AR19910925,19911008,0000,-45.18300,145.72100,1593.00000,1574.00000,2.69400,2.58207,34.56900,169.42200,33.80000,73.80000,2.39400,-9999.00000,-9999.00000,0.11800,0.05500
09AR19910925,19911008,0000,-45.18300,145.72100,1694.80000,1674.00000,2.56500,2.44615,34.60700,170.03400,33.50000,75.60000,2.36550,-9999.00000,-9999.00000,0.08900,0.04000
09AR19910925,19911008,0000,-45.18300,145.72100,1794.80000,1773.00000,2.47400,2.34789,34.64100,172.27800,33.10000,80.60000,2.33700,-9999.00000,-9999.00000,0.05800,0.02700
09AR19910925,19911008,0000,-45.18300,145.72100,2000.30000,1975.00000,2.35100,2.20903,34.67700,178.09200,32.60000,83.30000,2.29900,-9999.00000,-9999.00000,0.04000,0.01500
09AR19910925,19911008,0000,-45.18300,145.72100,2196.20000,2167.00000,2.23500,2.07765,34.70400,178.39800,32.10000,87.00000,2.27050,-9999.00000,-9999.00000,0.02600,0.01400
09AR19910925,19911008,0000,-45.18300,145.72100,2396.70000,2364.00000,2.12200,1.94859,34.71700,180.03000,32.00000,93.20000,2.27050,-9999.00000,-9999.00000,0.01500,0.00600
09AR19910925,19911008,0000,-45.18300,145.72100,2595.30000,2558.00000,1.97100,1.78215,34.73000,183.70200,31.80000,99.30000,2.26100,-9999.00000,-9999.00000,0.01300,0.00600
09AR19910925,19911008,0000,-45.18300,145.72100,2750.40000,2710.00000,1.82800,1.62750,34.73700,186.25200,31.80000,102.20000,2.25150,-9999.00000,-9999.00000,0.01700,0.01100
09AR19910925,19911008,0000,-45.18300,145.72100,2861.70000,2819.00000,1.67000,1.46232,34.73300,189.41400,31.90000,105.10000,2.26100,-9999.00000,-9999.00000,0.01000,0.01000
09AR19910925,19911008,0000,-45.18300,145.72100,2861.70000,2819.00000,1.67000,1.46231,34.73500,188.90400,31.90000,105.10000,2.25150,-9999.00000,-9999.00000,0.00500,0.01200
09AR19910925,19911008,0000,-45.18300,145.72100,2861.70000,2819.00000,1.67000,1.46231,34.73600,188.29200,31.80000,105.10000,2.26100,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09AR19910925,19911009,0000,-45.83000,145.42800,2.10000,2.00000,9.50100,9.50077,34.72800,274.38000,12.30000,3.70000,1.00700,-9999.00000,-9999.00000,3.46800,1.70300
09AR19910925,19911009,0000,-45.83000,145.42800,2.10000,2.00000,9.50100,9.50077,34.72600,273.87000,12.30000,3.60000,1.00700,-9999.00000,-9999.00000,3.54100,1.77100
