# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

09FA20000926,20000927,0134,-22.42000,112.99900,980.00000,972.00000,5.24560,5.16206,34.62800,97.99760,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09FA20000926,20000927,0134,-22.42000,112.99900,980.00000,972.00000,5.24560,5.16206,34.63100,97.99760,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09FA20000926,20000927,1541,-24.74860,112.61800,91.00000,90.00000,20.79400,20.77670,35.31460,214.50200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09FA20000926,20000927,1541,-24.74860,112.61800,75.20000,75.00000,21.32950,21.31500,35.09900,214.70000,0.50000,2.92000,0.16000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09FA20000926,20000927,1541,-24.74860,112.61800,50.30000,50.00000,21.79010,21.78020,34.98900,221.60000,0.00000,2.33000,0.12000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09FA20000926,20000927,1541,-24.74860,112.61800,22.80000,23.00000,21.87630,21.87180,34.98300,226.43600,0.01000,2.34000,0.12000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09FA20000926,20000927,1541,-24.74860,112.61800,2.80000,3.00000,21.98080,21.98020,34.96900,221.20000,0.02000,2.31000,0.12000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09FA20000926,20000927,1658,-24.72430,112.46800,128.50000,128.00000,20.98730,20.96270,35.19800,216.30000,0.26000,2.86000,0.15000,-9999.00000,2296.30000,-9999.00000,-9999.00000
09FA20000926,20000927,1658,-24.72430,112.46800,99.00000,98.00000,21.90980,21.89030,34.96800,216.50000,0.22000,2.34000,0.14000,-9999.00000,2292.10000,-9999.00000,-9999.00000
09FA20000926,20000927,1658,-24.72430,112.46800,73.90000,73.00000,21.94870,21.93410,34.95500,218.50000,0.04000,2.10000,0.12000,-9999.00000,2284.40000,-9999.00000,-9999.00000
09FA20000926,20000927,1658,-24.72430,112.46800,48.70000,48.00000,21.95050,21.94090,34.95300,220.90000,0.01000,2.17000,0.12000,-9999.00000,2286.20000,-9999.00000,-9999.00000
09FA20000926,20000927,1658,-24.72430,112.46800,23.10000,23.00000,21.98630,21.98170,34.95400,221.20000,0.00000,2.12000,0.11000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09FA20000926,20000927,1658,-24.72430,112.46800,2.50000,2.00000,21.98860,21.98810,34.95600,224.11000,0.00000,2.21000,0.12000,-9999.00000,2280.70000,-9999.00000,-9999.00000
09FA20000926,20000927,1810,-24.70040,112.31600,183.30000,182.00000,19.61740,19.58380,35.62900,199.10000,2.49000,3.44000,0.26000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09FA20000926,20000927,1810,-24.70040,112.31600,148.90000,148.00000,20.24190,20.21410,35.52300,194.90000,2.62000,3.73000,0.26000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09FA20000926,20000927,1810,-24.70040,112.31600,123.20000,122.00000,20.94040,20.91680,35.32700,196.00000,2.36000,3.52000,0.25000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09FA20000926,20000927,1810,-24.70040,112.31600,99.60000,99.00000,21.35470,21.33540,35.11500,201.50000,1.78000,3.62000,0.23000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09FA20000926,20000927,1810,-24.70040,112.31600,74.10000,74.00000,21.50060,21.48620,34.99300,215.50000,0.35000,2.65000,0.16000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
