# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

09SS20090203,20090203,0851,-41.87620,175.52800,1698.10000,1678.00000,2.83100,2.70850,34.58400,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1697.50000,1677.00000,2.83000,2.70755,34.58810,151.59500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1697.50000,1677.00000,2.83100,2.70854,34.58770,151.59500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1698.10000,1678.00000,2.83100,2.70848,34.58870,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1698.50000,1678.00000,2.83200,2.70944,34.58790,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1697.50000,1677.00000,2.83100,2.70853,34.58830,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1697.90000,1678.00000,2.83100,2.70850,34.58890,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1697.50000,1677.00000,2.83100,2.70853,34.58950,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1697.90000,1678.00000,2.83100,2.70850,34.58810,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1698.50000,1678.00000,2.83200,2.70944,34.58790,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1697.90000,1678.00000,2.82900,2.70652,34.58950,151.79100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1699.00000,1679.00000,2.82900,2.70643,34.58790,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1697.80000,1678.00000,2.83300,2.71048,34.58810,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1698.90000,1679.00000,2.82900,2.70644,34.58910,151.79100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1698.50000,1678.00000,2.83200,2.70944,34.58790,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1698.60000,1678.00000,2.83600,2.71338,34.58790,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1699.00000,1679.00000,2.83400,2.71137,34.58830,151.59500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1698.40000,1678.00000,2.83200,2.70945,34.58730,151.79100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1698.60000,1678.00000,2.83600,2.71338,34.58750,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1699.10000,1679.00000,2.83200,2.70939,34.58770,151.79100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1698.50000,1678.00000,2.83200,2.70944,34.58730,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1699.00000,1679.00000,2.83400,2.71137,34.58870,151.59500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1698.70000,1679.00000,2.83300,2.71041,34.58870,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090203,0851,-41.87620,175.52800,1698.80000,1679.00000,2.83400,2.71139,34.58770,151.69300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
09SS20090203,20090206,1305,-50.08350,-170.02700,5404.60000,5292.00000,1.02100,0.55359,34.70760,210.60000,32.37000,124.24000,2.18000,2264.83000,2365.57000,-9999.00000,-9999.00000
09SS20090203,20090206,1305,-50.08350,-170.02700,4997.10000,4897.00000,0.98100,0.56448,34.70860,211.70000,32.47000,124.04000,2.19000,2264.15000,2371.19000,-9999.00000,-9999.00000
09SS20090203,20090206,1305,-50.08350,-170.02700,4504.70000,4419.00000,0.96600,0.60690,34.71050,208.50000,32.39000,122.60000,2.17000,2263.84000,2367.60000,-9999.00000,-9999.00000
