# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

11BG20070510,20070510,1153,47.80010,-6.89791,151.10000,150.00000,11.61000,11.59060,35.59000,260.00000,-9999.00000,-9999.00000,0.43902,2128.00000,2336.00000,-9999.00000,-9999.00000
11BG20070510,20070510,1155,47.80010,-6.89791,99.90000,99.00000,11.60000,11.58720,35.59000,259.50000,-9999.00000,-9999.00000,0.44878,2134.60000,2343.00000,-9999.00000,-9999.00000
11BG20070510,20070510,1155,47.80010,-6.89791,78.30000,78.00000,11.60000,11.59000,35.59000,260.00000,-9999.00000,-9999.00000,0.40976,2134.10000,2340.00000,-9999.00000,-9999.00000
11BG20070510,20070510,1156,47.80010,-6.89791,57.50000,57.00000,11.60000,11.59270,35.59000,259.90000,-9999.00000,-9999.00000,0.40976,2134.50000,2344.00000,-9999.00000,-9999.00000
11BG20070510,20070510,1157,47.80010,-6.89791,37.60000,37.00000,12.43000,12.42500,35.57000,264.80000,-9999.00000,-9999.00000,0.19512,2082.30000,2319.00000,-9999.00000,-9999.00000
11BG20070510,20070510,1158,47.80010,-6.89791,19.90000,20.00000,13.39000,13.38720,35.57000,265.90000,-9999.00000,-9999.00000,0.08780,2073.30000,2311.00000,-9999.00000,-9999.00000
11BG20070510,20070510,1159,47.80010,-6.89791,4.20000,4.00000,13.40000,13.39940,35.57000,266.20000,-9999.00000,-9999.00000,0.08780,2077.20000,2315.00000,-9999.00000,-9999.00000
11BG20070510,20070512,0637,48.20220,-7.62238,150.90000,150.00000,11.39000,11.37090,35.52000,261.00000,-9999.00000,-9999.00000,0.44878,2127.70000,2336.00000,-9999.00000,-9999.00000
11BG20070510,20070512,0639,48.20220,-7.62238,100.60000,100.00000,11.38000,11.36730,35.52000,260.10000,-9999.00000,-9999.00000,0.41951,2115.50000,2324.00000,-9999.00000,-9999.00000
