# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

18AW19860910,19860910,1405,69.63300,-133.29200,0.00000,0.00000,6.15000,6.15000,18.46000,-9999.00000,0.59000,23.12000,0.24000,1877.11000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860910,1405,69.63300,-133.29200,3.00000,3.00000,6.06000,6.05982,18.94000,-9999.00000,0.68000,21.46000,0.21000,1925.81000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860910,1658,69.73300,-133.31300,0.00000,0.00000,7.09000,7.09000,14.54000,-9999.00000,0.68000,30.34000,0.14000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860910,1903,69.83500,-133.35000,0.00000,0.00000,5.85000,5.85000,21.12000,-9999.00000,0.49000,14.44000,0.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860910,2035,69.92000,-133.38700,0.00000,0.00000,8.40000,8.40000,22.85000,-9999.00000,0.10000,11.51000,0.27000,1821.72000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860910,2035,69.92000,-133.38700,3.00000,3.00000,5.26000,5.25982,22.91000,-9999.00000,0.29000,11.41000,0.28000,1805.23000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860910,2035,69.92000,-133.38700,5.00000,5.00000,5.16000,5.15971,22.96000,-9999.00000,0.29000,11.22000,0.25000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860910,2035,69.92000,-133.38700,7.10000,7.00000,4.95000,4.94960,23.06000,-9999.00000,0.10000,10.93000,0.32000,1837.85000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860910,2035,69.92000,-133.38700,10.10000,10.00000,3.00000,2.99954,26.22200,-9999.00000,0.00000,6.05000,0.45000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860910,2035,69.92000,-133.38700,15.10000,15.00000,0.07000,0.06958,30.55000,-9999.00000,1.46000,8.68000,0.93000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860911,1400,70.02300,-133.40700,0.00000,0.00000,5.10000,5.10000,22.73000,-9999.00000,0.20000,11.61000,0.29000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860911,1530,70.13700,-133.43300,0.00000,0.00000,5.14000,5.14000,22.86000,-9999.00000,0.10000,11.90000,0.35000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860911,1640,70.21300,-133.56000,0.00000,0.00000,5.50000,5.50000,19.91000,-9999.00000,0.10000,17.85000,0.24000,1858.62000,-9999.00000,-9999.00000,-9999.00000
18AW19860910,19860911,1640,70.21300,-133.56000,3.00000,3.00000,5.30000,5.29984,20.14600,-9999.00000,0.10000,16.59000,0.23000,1940.52000,-9999.00000,-9999.00000,-9999.00000
