# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

18EN19911017,19911021,0433,54.96000,-144.96000,1.00000,1.00000,9.15000,9.14990,32.46000,278.03800,9.19000,15.83000,1.05000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,10.00000,10.00000,9.16000,9.15895,32.45100,277.84100,8.99000,15.64000,1.07000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,20.00000,20.00000,9.16000,9.15790,32.44800,277.84100,10.94000,15.64000,1.07000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,30.00000,30.00000,9.17000,9.16685,32.44900,278.13700,16.12000,11.34000,1.07000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,50.00000,50.00000,9.14000,9.13475,32.45000,277.74200,17.00000,15.64000,1.07000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,75.00000,74.00000,4.25000,4.24498,32.39800,247.54000,20.52000,30.00000,1.97000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,99.00000,98.00000,3.83000,3.82352,33.39400,178.35100,31.74000,54.10000,2.43000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,124.00000,123.00000,3.96000,3.95169,33.54500,146.17500,34.76000,59.66000,2.58000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,149.00000,148.00000,3.85000,3.84006,33.78400,80.14440,39.93000,56.52000,2.92000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,174.00000,172.00000,3.76000,3.74847,33.83000,66.12900,41.10000,56.72000,2.96000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,199.00000,197.00000,3.89000,3.87654,33.88900,45.59940,43.05000,54.08000,3.11000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,249.00000,247.00000,3.85000,3.83311,33.96400,30.20220,43.92000,52.61000,3.18000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,299.00000,296.00000,3.72000,3.69990,34.00100,33.75540,42.56000,43.53000,3.16000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,399.00000,395.00000,3.69000,3.66288,34.10300,26.94510,43.14000,46.85000,3.56000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,499.00000,494.00000,3.59000,3.55603,34.18000,21.31920,44.31000,48.50000,3.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,599.00000,593.00000,3.41000,3.36958,34.20300,22.70100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,800.00000,791.00000,3.04000,2.98692,34.32900,23.29320,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,1002.00000,991.00000,2.78000,2.71385,34.39900,22.70100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,1203.00000,1189.00000,2.53000,2.45090,34.45800,23.88540,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,1506.00000,1487.00000,2.22000,2.12082,34.52300,38.39430,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,2012.00000,1984.00000,1.88000,1.74450,34.59300,63.36540,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,2520.00000,2482.00000,1.68000,1.50395,34.63500,92.87670,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,3030.00000,2981.00000,1.57000,1.34884,34.65600,112.81400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,3542.00000,3481.00000,1.50000,1.22954,34.67500,132.25800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911021,0433,54.96000,-144.96000,4056.00000,3981.00000,1.46000,1.13605,34.68600,145.68100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911023,0907,50.00000,-145.00000,1.00000,1.00000,11.90000,11.89990,32.29900,266.09500,8.60000,10.85000,1.01000,1968.40000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911023,0907,50.00000,-145.00000,10.00000,10.00000,11.88000,11.87880,32.29900,266.09500,8.21000,11.14000,0.97000,1969.50000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911023,0907,50.00000,-145.00000,20.00000,20.00000,11.89000,11.88750,32.30200,266.58900,8.21000,11.14000,0.95000,1971.70000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911023,0907,50.00000,-145.00000,30.00000,30.00000,11.87000,11.86630,32.31100,266.58900,8.21000,11.34000,0.97000,1981.30000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911023,0907,50.00000,-145.00000,49.00000,49.00000,11.83000,11.82390,32.33100,265.79900,8.01000,11.83000,0.88000,1974.90000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911023,0907,50.00000,-145.00000,74.00000,73.00000,6.37000,6.36378,32.57800,283.17000,14.66000,17.98000,1.40000,2036.20000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911023,0907,50.00000,-145.00000,99.00000,98.00000,5.76000,5.75211,32.68500,276.16300,16.90000,21.49000,1.51000,2055.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911023,0907,50.00000,-145.00000,123.00000,122.00000,5.29000,5.28051,33.28600,217.43600,24.61000,35.45000,1.92000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18EN19911017,19911023,0907,50.00000,-145.00000,148.00000,147.00000,5.22000,5.20855,33.62500,177.66000,28.41000,44.03000,2.16000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
