# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

18HS19920920,19920918,0121,72.41500,-143.75900,81.00000,80.00000,-1.31700,-1.31855,31.83700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920918,0121,72.41500,-143.75900,121.00000,120.00000,-1.42400,-1.42642,32.57300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920918,0121,72.41500,-143.75900,182.00000,180.00000,-1.47500,-1.47890,33.24600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920918,0121,72.41500,-143.75900,303.00000,300.00000,-0.06900,-0.08031,34.64100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920918,0121,72.41500,-143.75900,404.00000,399.00000,0.36100,0.34397,34.80500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920918,0121,72.41500,-143.75900,410.00000,405.00000,0.36800,0.35068,34.80300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920918,0121,72.41500,-143.75900,152.00000,150.00000,-1.45700,-1.46013,32.88900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920918,0121,72.41500,-143.75900,607.00000,600.00000,0.41500,0.38798,34.86700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920918,0121,72.41500,-143.75900,810.00000,800.00000,0.20400,0.16787,34.88800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920918,0121,72.41500,-143.75900,911.00000,900.00000,0.08800,0.04741,34.89300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920918,0121,72.41500,-143.75900,1013.00000,1000.00000,-0.01400,-0.05921,34.89800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,1732,72.52800,-143.86300,911.00000,900.00000,0.09100,0.05038,34.89300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,1732,72.52800,-143.86300,913.00000,902.00000,0.08700,0.04631,34.89400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,1732,72.52800,-143.86300,1267.00000,1250.00000,-0.21200,-0.26938,34.91100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,1732,72.52800,-143.86300,1269.00000,1252.00000,-0.21300,-0.27048,34.90960,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,1732,72.52800,-143.86300,1623.00000,1600.00000,-0.37500,-0.45149,34.93200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,1732,72.52800,-143.86300,1625.00000,1602.00000,-0.37700,-0.45357,34.92700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,1732,72.52800,-143.86300,1928.00000,1899.00000,-0.42500,-0.52022,34.94100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,1732,72.52800,-143.86300,1931.00000,1902.00000,-0.42500,-0.52042,34.94000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,1732,72.52800,-143.86300,2030.00000,1999.00000,-0.42600,-0.52803,34.94300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,1732,72.52800,-143.86300,2032.00000,2001.00000,-0.42600,-0.52817,34.94300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,1732,72.52800,-143.86300,2035.00000,2004.00000,-0.42600,-0.52839,34.94900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,2028,72.52700,-144.08200,0.00000,0.00000,-9999.00000,-9999.00000,28.68000,393.59000,0.06000,3.22000,0.75000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,2028,72.52700,-144.08200,11.00000,11.00000,-1.53200,-1.53211,28.70800,393.96000,0.06000,3.28000,0.75000,1894.19000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,2028,72.52700,-144.08200,21.00000,21.00000,-1.50100,-1.50126,29.46600,395.87000,0.07000,3.39000,0.76000,1946.74000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,2028,72.52700,-144.08200,31.00000,31.00000,-1.31800,-1.31850,30.54800,397.44000,0.01000,3.54000,0.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,2028,72.52700,-144.08200,41.00000,41.00000,-1.42800,-1.42865,30.84100,398.70000,0.00000,3.66000,0.81000,2033.10000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,2028,72.52700,-144.08200,51.00000,50.00000,-1.47800,-1.47881,31.06500,395.31000,0.20000,4.47000,0.84000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,2028,72.52700,-144.08200,61.00000,60.00000,-1.37200,-1.37304,31.14600,385.95000,0.46000,4.73000,0.87000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,2028,72.52700,-144.08200,71.00000,70.00000,-1.21900,-1.22042,31.89900,358.71000,4.29000,10.17000,1.16000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,2028,72.52700,-144.08200,81.00000,80.00000,-1.27300,-1.27462,32.12700,332.48000,7.30000,14.99000,1.36000,2145.22000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920920,2028,72.52700,-144.08200,101.00000,100.00000,-1.37500,-1.37699,32.33200,292.10000,9.78000,19.65000,1.54000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,0014,72.52000,-143.84500,120.00000,119.00000,-1.41300,-1.41543,32.65900,290.71000,12.71000,26.43000,1.69000,2191.91000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,0014,72.52000,-143.84500,140.00000,139.00000,-1.43100,-1.43390,32.88000,286.77000,14.03000,29.40000,1.77000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,0014,72.52000,-143.84500,150.00000,148.00000,-1.43100,-1.43415,32.97400,282.00000,14.77000,31.20000,1.82000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,0014,72.52000,-143.84500,160.00000,158.00000,-1.43000,-1.43340,33.05300,281.04000,15.09000,31.92000,1.84000,2219.50000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,0014,72.52000,-143.84500,170.00000,168.00000,-1.48600,-1.48958,33.15300,283.68000,15.24000,32.08000,1.82000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,0014,72.52000,-143.84500,180.00000,178.00000,-1.46000,-1.46388,33.25900,274.34000,15.78000,33.36000,1.86000,2233.34000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,0014,72.52000,-143.84500,194.00000,192.00000,-1.41700,-1.42134,33.39460,297.19000,11.82000,25.22000,1.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,0014,72.52000,-143.84500,200.00000,198.00000,-1.39500,-1.39956,33.50100,270.65000,15.92000,32.96000,1.83000,2252.01000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,0014,72.52000,-143.84500,224.00000,222.00000,-1.09200,-1.09791,33.86400,261.12000,15.94000,29.58000,1.66000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,0014,72.52000,-143.84500,252.00000,249.00000,-0.60200,-0.60997,34.27400,252.50000,15.18000,21.95000,1.36000,2191.86000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1542,72.48000,-143.81100,278.00000,275.00000,-0.28200,-0.29175,34.53300,253.94000,14.18000,16.03000,1.12000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1542,72.48000,-143.81100,303.00000,300.00000,-0.06900,-0.08031,34.64800,268.21000,13.76000,12.84000,1.03000,2162.29000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1542,72.48000,-143.81100,328.00000,324.00000,0.09000,0.07720,34.71100,273.87000,13.60000,11.07000,0.99000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1542,72.48000,-143.81100,353.00000,349.00000,0.20800,0.19377,34.75100,278.26000,13.47000,9.91000,0.96000,2152.49000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1542,72.48000,-143.81100,377.00000,373.00000,0.30100,0.28538,34.81200,284.85000,13.32000,8.29000,0.93000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1542,72.48000,-143.81100,402.00000,397.00000,0.35800,0.34108,34.79400,284.79000,13.28000,8.35000,0.92000,2146.96000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1542,72.48000,-143.81100,452.00000,447.00000,0.40500,0.38558,34.82300,281.52000,13.34000,8.15000,0.92000,2146.66000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1542,72.48000,-143.81100,501.00000,495.00000,0.42800,0.40614,34.84200,286.66000,13.28000,7.80000,0.92000,2144.68000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1542,72.48000,-143.81100,550.00000,544.00000,0.43600,0.41172,34.84600,287.38000,13.37000,7.65000,0.93000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1542,72.48000,-143.81100,604.00000,597.00000,0.41800,0.39115,34.83100,292.62000,13.29000,7.50000,0.92000,2142.09000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1943,72.47200,-143.81500,701.00000,693.00000,0.33100,0.29968,34.88100,269.43000,12.93000,7.42000,0.92000,2142.24000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1943,72.47200,-143.81500,799.00000,789.00000,0.22000,0.18435,34.87700,293.21000,13.09000,7.32000,0.93000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1943,72.47200,-143.81500,900.00000,889.00000,0.10100,0.06089,34.89300,295.27000,13.04000,7.33000,0.97000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1943,72.47200,-143.81500,1001.00000,988.00000,-0.00500,-0.04965,34.89800,295.97000,13.10000,7.38000,0.99000,2144.28000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1943,72.47200,-143.81500,1250.00000,1233.00000,-0.20200,-0.25852,34.90900,296.97000,13.36000,8.01000,1.06000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920921,1943,72.47200,-143.81500,1501.00000,1480.00000,-0.32900,-0.39866,34.91950,296.06000,13.75000,8.95000,1.01000,2146.07000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920922,0046,72.46000,-143.78100,10.00000,10.00000,-1.55800,-1.55810,28.63100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920922,0046,72.46000,-143.78100,30.00000,30.00000,-1.40000,-1.40043,29.97100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920922,0046,72.46000,-143.78100,31.00000,31.00000,-1.40700,-1.40747,30.52800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18HS19920920,19920922,0046,72.46000,-143.78100,50.00000,49.00000,-1.51800,-1.51877,30.98400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
