# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

18HU19920527,19920528,1420,46.99830,-44.78860,129.70000,129.00000,2.48560,2.47830,34.22360,281.70000,13.29860,9.82000,1.09000,-9999.00000,-9999.00000,5.28360,2.37615
18HU19920527,19920528,1420,46.99830,-44.78860,129.70000,129.00000,2.51360,2.50627,34.23770,277.90000,13.49460,9.73000,1.11000,-9999.00000,-9999.00000,5.30460,2.50320
18HU19920527,19920528,1420,46.99830,-44.78860,129.80000,129.00000,2.48600,2.47869,34.22360,281.10000,13.44560,9.98000,1.13000,-9999.00000,-9999.00000,4.85730,2.40450
18HU19920527,19920528,1420,46.99830,-44.78860,130.10000,129.00000,2.48260,2.47528,34.22710,279.80000,13.11240,9.63000,1.11000,2148.40000,-9999.00000,5.19540,2.31945
18HU19920527,19920528,1420,46.99830,-44.78860,130.40000,129.00000,2.52100,2.51362,34.23050,279.30000,13.32800,9.78000,1.10000,-9999.00000,-9999.00000,5.25420,2.42970
18HU19920527,19920528,1420,46.99830,-44.78860,130.60000,129.00000,2.47640,2.46906,34.22080,281.50000,13.20060,9.32000,1.09000,2150.50000,-9999.00000,5.05575,2.24490
18HU19920527,19920528,1420,46.99830,-44.78860,130.60000,129.00000,2.48630,2.47895,34.22210,279.90000,13.34760,9.85000,1.07000,2151.10000,-9999.00000,5.36235,2.58510
18HU19920527,19920528,1420,46.99830,-44.78860,131.00000,130.00000,2.48560,2.47823,34.22390,281.70000,13.12220,9.62000,1.12000,-9999.00000,-9999.00000,4.86360,2.46750
18HU19920527,19920528,1420,46.99830,-44.78860,131.10000,130.00000,2.48280,2.47542,34.22300,281.00000,13.15160,9.68000,1.10000,2150.80000,-9999.00000,5.08830,2.61765
18HU19920527,19920528,1420,46.99830,-44.78860,131.10000,130.00000,2.48650,2.47912,34.22110,279.70000,13.60240,9.89000,1.10000,2151.30000,-9999.00000,5.14290,2.56725
18HU19920527,19920528,1420,46.99830,-44.78860,131.20000,130.00000,2.47210,2.46473,34.22180,280.50000,13.29860,9.52000,1.09000,2150.70000,-9999.00000,5.08725,2.56515
18HU19920527,19920528,1420,46.99830,-44.78860,131.20000,130.00000,2.47390,2.46653,34.22170,280.50000,13.21040,9.57000,1.08000,2149.90000,-9999.00000,5.13870,2.44440
18HU19920527,19920528,1420,46.99830,-44.78860,131.30000,130.00000,2.48290,2.47551,34.22350,280.00000,13.32800,9.82000,1.09000,2153.20000,-9999.00000,5.19120,2.43285
18HU19920527,19920528,1420,46.99830,-44.78860,131.30000,130.00000,2.48770,2.48031,34.22200,281.60000,13.12220,9.81000,1.10000,-9999.00000,-9999.00000,5.21325,2.47170
18HU19920527,19920528,1420,46.99830,-44.78860,131.40000,130.00000,2.48310,2.47571,34.22270,279.70000,13.37700,10.03000,1.07000,2149.90000,-9999.00000,5.37180,2.49585
18HU19920527,19920528,1420,46.99830,-44.78860,131.50000,130.00000,2.48670,2.47930,34.22270,281.30000,13.27900,9.81000,1.09000,-9999.00000,-9999.00000,5.25525,2.64810
18HU19920527,19920528,1420,46.99830,-44.78860,131.60000,130.00000,2.48600,2.47859,34.22210,281.75900,13.40640,9.87000,1.09000,-9999.00000,-9999.00000,5.32245,2.46540
18HU19920527,19920528,1420,46.99830,-44.78860,131.70000,131.00000,2.48530,2.47789,34.22240,281.70000,13.23980,9.82000,1.09000,2151.10000,-9999.00000,5.33820,2.49060
18HU19920527,19920528,1420,46.99830,-44.78860,131.80000,131.00000,2.47470,2.46729,34.22150,280.60000,13.18100,9.56000,1.09000,2150.60000,-9999.00000,5.25315,2.74260
18HU19920527,19920528,1420,46.99830,-44.78860,131.90000,131.00000,2.47260,2.46519,34.22060,282.00000,13.24960,9.43000,1.09000,2149.00000,-9999.00000,5.31615,2.43390
18HU19920527,19920528,1906,47.23440,-44.28570,2.50000,2.00000,2.49150,2.49136,33.58140,348.90000,1.09760,1.59000,0.42000,-9999.00000,-9999.00000,6.31365,3.16680
18HU19920527,19920528,1906,47.23440,-44.28570,77.90000,77.00000,2.23650,2.23238,33.72860,344.60000,2.20500,2.10000,0.50000,-9999.00000,-9999.00000,8.69715,-9999.00000
18HU19920527,19920528,1906,47.23440,-44.28570,152.30000,151.00000,3.17260,3.16305,34.60270,-9999.00000,17.05200,11.08000,1.17000,-9999.00000,-9999.00000,4.45935,2.08530
18HU19920527,19920528,1906,47.23440,-44.28570,225.10000,223.00000,3.59430,3.57920,34.82020,249.70000,18.18880,13.55000,1.27000,-9999.00000,-9999.00000,3.63405,1.90995
18HU19920527,19920528,1906,47.23440,-44.28570,249.10000,247.00000,3.57210,3.55539,34.83490,-9999.00000,18.16920,14.18000,1.27000,-9999.00000,-9999.00000,3.79680,1.74405
18HU19920527,19920528,2231,47.57230,-43.63710,3.50000,3.00000,4.89310,4.89284,33.96280,321.00000,5.04700,4.07000,0.55000,-9999.00000,-9999.00000,5.30460,2.46015
18HU19920527,19920528,2231,47.57230,-43.63710,77.10000,76.00000,2.53170,2.52735,34.30810,321.70000,9.31980,5.71000,0.81000,-9999.00000,-9999.00000,5.38125,2.83080
18HU19920527,19920528,2231,47.57230,-43.63710,153.90000,153.00000,3.00080,2.99134,34.69200,-9999.00000,15.52320,9.32000,1.08000,-9999.00000,-9999.00000,4.42050,2.12625
18HU19920527,19920528,2231,47.57230,-43.63710,276.30000,274.00000,3.43900,3.42069,34.83660,286.50000,16.50320,9.97000,1.11000,-9999.00000,-9999.00000,3.71910,-9999.00000
18HU19920527,19920528,2231,47.57230,-43.63710,391.10000,387.00000,3.29590,3.27007,34.84300,292.40000,16.53260,10.02000,1.12000,-9999.00000,-9999.00000,3.80415,1.99605
18HU19920527,19920528,2231,47.57230,-43.63710,576.10000,570.00000,3.17140,3.13308,34.84880,294.80000,16.42480,9.99000,1.09000,-9999.00000,-9999.00000,3.57420,1.62120
18HU19920527,19920528,2231,47.57230,-43.63710,769.10000,761.00000,3.06050,3.00885,34.84280,297.30000,16.12100,9.76000,1.09000,-9999.00000,-9999.00000,3.60150,1.90575
18HU19920527,19920528,2231,47.57230,-43.63710,985.60000,975.00000,3.06410,2.99620,34.85120,-9999.00000,16.06220,10.07000,1.08000,-9999.00000,-9999.00000,3.24870,1.62225
18HU19920527,19920529,0214,47.72270,-43.32550,75.60000,75.00000,3.66630,3.66132,34.51110,287.00000,12.64200,7.76000,0.95000,2132.80000,-9999.00000,4.32810,1.79235
