# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

18LU20080923,20081002,0426,70.54500,-122.90900,644.40000,637.00000,0.36180,0.33330,34.77410,-9999.00000,14.24000,19.71000,1.40000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18LU20080923,20081002,0426,70.54500,-122.90900,405.90000,401.00000,0.30500,0.28812,34.74900,-9999.00000,14.73000,19.90000,1.07000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18LU20080923,20081002,0426,70.54500,-122.90900,378.40000,374.00000,0.27850,0.26295,34.73650,-9999.00000,15.02000,20.98000,1.09000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18LU20080923,20081002,0426,70.54500,-122.90900,353.60000,350.00000,0.27060,0.25617,34.72970,-9999.00000,15.12000,21.66000,1.03000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18LU20080923,20081002,0426,70.54500,-122.90900,328.20000,325.00000,0.22960,0.21641,34.71420,-9999.00000,14.93000,21.17000,1.05000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18LU20080923,20081002,0426,70.54500,-122.90900,303.60000,300.00000,0.18670,0.17469,34.69010,-9999.00000,15.32000,21.56000,1.18000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18LU20080923,20081002,0426,70.54500,-122.90900,278.20000,275.00000,0.11580,0.10504,34.65830,-9999.00000,15.41000,22.34000,1.18000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18LU20080923,20081002,0426,70.54500,-122.90900,253.40000,251.00000,0.01680,0.00729,34.60810,-9999.00000,15.32000,22.54000,1.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18LU20080923,20081002,0426,70.54500,-122.90900,226.40000,224.00000,-0.12780,-0.13594,34.55090,-9999.00000,15.32000,23.12000,0.97000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18LU20080923,20081002,0426,70.54500,-122.90900,202.10000,200.00000,-0.38940,-0.39613,34.43160,-9999.00000,15.41000,24.39000,1.31000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18LU20080923,20081002,0426,70.54500,-122.90900,176.70000,175.00000,-0.68330,-0.68864,34.26820,-9999.00000,15.12000,25.17000,1.39000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18LU20080923,20081002,0426,70.54500,-122.90900,151.40000,150.00000,-0.96250,-0.96660,34.02390,-9999.00000,15.22000,27.22000,1.19000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
