# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

18PZ19900509,19900509,1348,48.65000,-126.68000,0.00000,0.00000,10.40000,10.40000,31.55300,300.02200,0.00000,3.52000,0.29000,1913.50000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,10.10000,10.00000,10.40000,10.39890,31.55300,301.49800,0.00000,2.54000,0.22000,1912.80000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,20.20000,20.00000,10.34000,10.33770,31.56200,302.97400,0.00000,3.03000,0.22000,1912.80000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,30.30000,30.00000,8.47000,8.46698,32.43000,292.54300,13.39000,17.39000,1.25000,2045.80000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,50.50000,50.00000,8.03000,8.02511,32.60500,260.85800,11.24000,13.19000,1.10000,2040.00000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,74.70000,74.00000,7.78000,7.77282,33.29900,182.23700,22.66000,25.68000,1.78000,2129.60000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,99.90000,99.00000,7.90000,7.89024,33.58500,147.79700,26.26000,30.56000,1.91000,2163.90000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,125.10000,124.00000,7.77000,7.75785,33.78000,127.62500,28.51000,35.54000,2.13000,2182.60000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,150.40000,149.00000,7.42000,7.40574,33.88200,121.72100,29.77000,38.85000,2.20000,2191.50000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,174.60000,173.00000,7.09000,7.07385,33.91000,122.21300,30.46000,41.68000,2.24000,2202.90000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,200.90000,199.00000,6.77000,6.75187,33.92600,115.03000,31.63000,45.49000,2.29000,2207.90000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,250.40000,248.00000,6.35000,6.32810,33.96700,95.84160,34.07000,52.71000,2.47000,2233.30000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,299.90000,297.00000,5.84000,5.81485,33.97300,81.37680,36.21000,60.62000,2.64000,2252.40000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,399.90000,396.00000,5.38000,5.34755,34.04600,51.75840,39.53000,73.30000,2.91000,2287.90000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,500.00000,495.00000,4.90000,4.86088,34.10300,36.11280,41.58000,85.01000,3.08000,2309.50000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,601.10000,595.00000,4.59000,4.54390,34.16600,23.32080,42.75000,95.84000,3.19000,2331.90000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,800.50000,792.00000,3.97000,3.91109,34.30300,15.44880,43.62000,115.64000,3.28000,2352.90000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,1001.10000,990.00000,3.52000,3.44814,34.39300,17.61360,44.01000,130.27000,3.31000,2367.40000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,1200.80000,1187.00000,3.11000,3.02567,34.44800,22.23840,44.01000,142.85000,3.24000,2381.70000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900509,1348,48.65000,-126.68000,1331.70000,1316.00000,2.83000,2.73794,34.47900,28.14240,43.81000,149.87000,3.24000,2382.20000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900510,0719,48.74000,-127.67000,0.00000,0.00000,10.03000,10.03000,31.99700,288.60700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900510,0719,48.74000,-127.67000,10.10000,10.00000,10.04000,10.03890,31.99600,287.82000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900510,0719,48.74000,-127.67000,20.20000,20.00000,10.03000,10.02780,31.99700,288.31200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900510,0719,48.74000,-127.67000,30.30000,30.00000,10.03000,10.02660,32.00100,288.21400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900510,0719,48.74000,-127.67000,50.50000,50.00000,7.79000,7.78521,32.49000,283.39200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900510,0719,48.74000,-127.67000,74.70000,74.00000,7.34000,7.33313,32.76100,248.85400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18PZ19900509,19900510,0719,48.74000,-127.67000,99.90000,99.00000,7.65000,7.64045,33.46900,163.73800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
