# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

18SN20030806,20030811,0000,71.39000,-134.33000,1140.60000,1126.00000,-0.13300,-0.18408,34.89600,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1140.70000,1126.00000,-0.13200,-0.18310,34.89600,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1140.70000,1126.00000,-0.13300,-0.18409,34.89600,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1140.70000,1126.00000,-0.13300,-0.18410,34.89800,300.29000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1140.80000,1126.00000,-0.13300,-0.18409,34.89600,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1140.80000,1126.00000,-0.13300,-0.18410,34.89700,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1140.80000,1126.00000,-0.13300,-0.18410,34.89700,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1140.80000,1126.00000,-0.13300,-0.18410,34.89600,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1140.90000,1126.00000,-0.13300,-0.18410,34.89700,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1140.90000,1126.00000,-0.13400,-0.18509,34.89700,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1140.90000,1126.00000,-0.13500,-0.18608,34.89600,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1140.90000,1126.00000,-0.13500,-0.18609,34.89700,296.63000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1141.00000,1126.00000,-0.13500,-0.18609,34.89800,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1141.00000,1126.00000,-0.13400,-0.18510,34.89800,298.37000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1141.00000,1126.00000,-0.13400,-0.18510,34.89600,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1141.00000,1126.00000,-0.13400,-0.18510,34.89600,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1141.10000,1126.00000,-0.13400,-0.18510,34.89700,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1141.10000,1126.00000,-0.13500,-0.18609,34.89700,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1141.10000,1126.00000,-0.13500,-0.18609,34.89600,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1141.10000,1126.00000,-0.13500,-0.18609,34.89600,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1141.10000,1126.00000,-0.13500,-0.18610,34.89600,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1141.20000,1126.00000,-0.13400,-0.18511,34.89700,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1141.20000,1126.00000,-0.13400,-0.18511,34.89600,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030811,0000,71.39000,-134.33000,1141.20000,1126.00000,-0.13700,-0.18808,34.89700,298.88300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
18SN20030806,20030813,0000,71.20000,-149.99900,0.60000,1.00000,1.97500,1.97497,29.32700,359.59800,0.07000,6.55000,0.60000,1915.89000,2062.21000,-9999.00000,-9999.00000
18SN20030806,20030813,0000,71.20000,-149.99900,8.60000,9.00000,2.07800,2.07763,29.47000,358.85000,0.02000,6.66000,0.60000,1914.53000,2067.98000,-9999.00000,-9999.00000
18SN20030806,20030813,0000,71.20000,-149.99900,18.60000,18.00000,2.48700,2.48612,29.92800,347.48000,0.00000,7.25000,0.60000,1922.83000,2089.04000,-9999.00000,-9999.00000
18SN20030806,20030813,0000,71.20000,-149.99900,33.70000,33.00000,3.31500,3.31314,30.27800,336.54000,-9999.00000,-9999.00000,-9999.00000,1933.90000,2109.42000,-9999.00000,-9999.00000
