# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

21OR19910626,19910626,1504,21.91180,120.89000,0.00000,0.00000,28.69600,28.69600,33.83500,-9999.00000,0.00000,1.63200,0.05000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
21OR19910626,19910626,1504,21.91180,120.89000,8.00000,8.00000,28.64500,28.64310,33.85000,-9999.00000,0.25000,0.86400,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
21OR19910626,19910626,1504,21.91180,120.89000,21.00000,21.00000,27.37800,27.37310,34.24000,-9999.00000,0.50000,2.49600,0.05000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
21OR19910626,19910626,1504,21.91180,120.89000,32.00000,32.00000,25.28100,25.27400,34.43800,-9999.00000,1.99000,4.12800,0.17000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
21OR19910626,19910626,1504,21.91180,120.89000,42.00000,42.00000,24.50700,24.49810,34.45200,-9999.00000,2.74000,4.99200,0.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
21OR19910626,19910626,1504,21.91180,120.89000,53.00000,53.00000,24.08800,24.07680,34.44400,-9999.00000,2.99000,4.99200,0.21000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
21OR19910626,19910626,1504,21.91180,120.89000,73.00000,73.00000,22.00000,21.98560,34.64100,-9999.00000,5.24000,7.39200,0.43000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
21OR19910626,19910626,1504,21.91180,120.89000,89.00000,88.00000,20.99800,20.98100,34.64100,-9999.00000,5.99000,8.25600,0.57000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
21OR19910626,19910626,1504,21.91180,120.89000,101.00000,100.00000,19.81000,19.79150,34.66700,-9999.00000,6.74000,9.12000,0.54000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
21OR19910626,19910626,1504,21.91180,120.89000,113.00000,112.00000,19.33400,19.31370,34.65000,-9999.00000,7.24000,10.75200,0.52000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
21OR19910626,19910626,1504,21.91180,120.89000,121.00000,120.00000,18.78100,18.75970,34.65400,-9999.00000,8.25000,13.24800,0.65000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
21OR19910626,19910626,1504,21.91180,120.89000,131.00000,130.00000,18.02200,17.99960,34.67100,-9999.00000,8.00000,13.24800,0.59000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
21OR19910626,19910626,1542,21.87830,120.89500,0.00000,0.00000,28.61000,28.61000,33.84100,-9999.00000,0.75000,3.36000,0.02000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
