# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

29CS19771007,19771007,0000,41.88000,-8.92000,0.00000,0.00000,15.35000,15.35000,34.89600,242.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771007,0000,41.88000,-8.92000,7.00000,7.00000,15.38000,15.37890,35.47600,223.70000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771007,0000,41.88000,-8.92000,14.00000,14.00000,15.32000,15.31790,35.54600,220.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771007,0000,41.88000,-8.92000,22.00000,22.00000,15.21000,15.20660,35.55500,218.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771007,0000,41.88000,-8.92000,29.00000,29.00000,15.17000,15.16560,35.55900,218.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,0.00000,0.00000,14.34000,14.34000,35.16300,234.60000,2.79000,1.79000,0.31000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,9.00000,9.00000,14.31000,14.30870,35.18400,235.50000,3.07000,2.04000,0.37000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,17.00000,17.00000,14.28000,14.27750,35.20800,228.50000,3.47000,2.99000,0.51000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,0.00000,0.00000,14.27000,14.27000,35.19000,232.40000,3.56000,2.59000,0.33000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,10.00000,10.00000,14.28000,14.27850,35.19400,230.70000,3.69000,2.77000,0.44000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,18.00000,18.00000,14.13000,14.12740,35.28900,212.40000,4.61000,3.80000,0.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,0.00000,0.00000,14.39000,14.39000,35.18500,243.30000,3.70000,2.20000,0.28000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,10.00000,10.00000,14.26000,14.25850,35.20700,233.70000,3.91000,2.69000,0.44000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,15.00000,15.00000,14.22000,14.21780,35.22400,225.90000,5.00000,3.82000,0.55000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,0.00000,0.00000,14.35000,14.35000,35.18300,252.50000,3.62000,2.05000,0.32000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,10.00000,10.00000,14.35000,14.34850,35.18600,245.50000,3.80000,2.33000,0.39000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,15.00000,15.00000,14.25000,14.24780,35.21600,236.40000,4.04000,2.83000,0.48000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,0.00000,0.00000,14.30000,14.30000,35.15100,247.20000,4.01000,2.05000,0.36000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,10.00000,10.00000,14.30000,14.29850,35.17300,241.60000,4.05000,2.27000,0.43000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771008,0000,42.25000,-8.85000,18.00000,18.00000,14.30000,14.29740,35.21700,229.80000,4.20000,3.02000,0.52000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771009,0000,42.25000,-8.85000,0.00000,0.00000,14.27000,14.27000,35.16400,240.30000,4.22000,2.15000,0.36000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771009,0000,42.25000,-8.85000,10.00000,10.00000,14.30000,14.29850,35.15300,240.70000,4.14000,2.29000,0.42000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771009,0000,42.25000,-8.85000,15.00000,15.00000,14.26000,14.25780,35.16600,239.00000,4.21000,2.42000,0.46000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771009,0000,42.25000,-8.85000,0.00000,0.00000,14.35000,14.35000,35.14200,239.40000,4.09000,1.79000,0.35000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771009,0000,42.25000,-8.85000,10.00000,10.00000,14.26000,14.25850,35.15000,237.70000,4.46000,2.42000,0.42000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771009,0000,42.25000,-8.85000,15.00000,15.00000,14.26000,14.25780,35.16000,235.00000,4.44000,2.67000,0.46000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771009,0000,42.25000,-8.85000,0.00000,0.00000,14.27000,14.27000,35.15400,239.80000,4.25000,1.87000,0.34000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771009,0000,42.25000,-8.85000,10.00000,10.00000,14.28000,14.27850,35.15000,239.00000,4.28000,2.18000,0.40000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771009,0000,42.25000,-8.85000,15.00000,15.00000,14.25000,14.24780,35.15000,238.10000,4.45000,2.43000,0.46000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29CS19771007,19771010,0000,42.05000,-9.02000,0.00000,0.00000,15.05000,15.05000,35.21900,269.87000,0.49000,0.51000,0.13000,-9999.00000,2314.10000,-9999.00000,-9999.00000
29CS19771007,19771010,0000,42.05000,-9.02000,9.00000,9.00000,14.65000,14.64870,35.38000,255.50000,1.21000,0.30000,0.16000,-9999.00000,2320.60000,-9999.00000,-9999.00000
29CS19771007,19771010,0000,42.05000,-9.02000,19.00000,19.00000,14.43000,14.42720,35.42700,245.93000,1.96000,0.55000,0.21000,-9999.00000,2322.10000,-9999.00000,-9999.00000
29CS19771007,19771010,0000,42.05000,-9.02000,29.00000,29.00000,14.06000,14.05580,35.51700,235.48000,3.12000,1.04000,0.35000,-9999.00000,2325.40000,-9999.00000,-9999.00000
29CS19771007,19771010,0000,42.05000,-9.02000,40.00000,40.00000,13.00000,12.99450,35.68300,225.89000,6.69000,1.67000,0.39000,-9999.00000,2334.70000,-9999.00000,-9999.00000
29CS19771007,19771010,0000,42.05000,-9.02000,50.00000,50.00000,12.62000,12.61320,35.69800,222.37000,7.99000,2.05000,0.44000,-9999.00000,2335.30000,-9999.00000,-9999.00000
29CS19771007,19771010,0000,42.05000,-9.02000,77.00000,76.00000,12.28000,12.26980,35.69000,176.63000,12.52000,5.84000,-9999.00000,-9999.00000,2331.30000,-9999.00000,-9999.00000
29CS19771007,19771010,0000,42.05000,-9.02000,102.00000,101.00000,12.21000,12.19650,35.69200,158.00000,13.74000,7.92000,0.88000,-9999.00000,2330.30000,-9999.00000,-9999.00000
29CS19771007,19771011,0000,42.05000,-9.31000,0.00000,0.00000,15.61000,15.61000,35.30600,248.59000,0.09000,0.02000,0.06000,-9999.00000,2316.70000,-9999.00000,-9999.00000
29CS19771007,19771011,0000,42.05000,-9.31000,10.00000,10.00000,15.42000,15.41850,35.42300,253.34000,0.20000,0.00000,0.07000,-9999.00000,2321.70000,-9999.00000,-9999.00000
29CS19771007,19771011,0000,42.05000,-9.31000,20.00000,20.00000,15.22000,15.21690,35.48200,243.29000,0.49000,0.00000,0.09000,-9999.00000,2324.10000,-9999.00000,-9999.00000
29CS19771007,19771011,0000,42.05000,-9.31000,29.00000,29.00000,14.00000,13.99580,35.64700,239.35000,3.21000,0.76000,0.19000,-9999.00000,2333.40000,-9999.00000,-9999.00000
29CS19771007,19771011,0000,42.05000,-9.31000,39.00000,39.00000,13.29000,13.28450,35.74800,236.31000,4.93000,1.32000,0.25000,-9999.00000,2339.70000,-9999.00000,-9999.00000
