# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

29GD19840711,19840714,0000,41.87000,-8.96000,0.00000,0.00000,14.47000,14.47000,35.53700,226.50000,1.82000,2.08000,0.24000,-9999.00000,2330.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-8.96000,10.00000,10.00000,13.31000,13.30860,35.64700,238.20000,0.66000,0.62000,0.13000,-9999.00000,2341.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-8.96000,20.00000,20.00000,12.90000,12.89730,35.67600,177.80000,5.82000,3.10000,0.61000,-9999.00000,2342.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-8.96000,30.00000,30.00000,12.80000,12.79590,35.68700,169.20000,8.21000,5.06000,0.76000,-9999.00000,2341.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-8.96000,40.00000,40.00000,12.67000,12.66460,35.68900,176.90000,8.95000,4.53000,0.74000,-9999.00000,2341.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-8.96000,50.00000,50.00000,12.50000,12.49330,35.67200,170.80000,11.16000,6.01000,0.82000,-9999.00000,2341.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.86000,-9.60000,0.00000,0.00000,16.11000,16.11000,35.38700,258.40000,0.04000,0.21000,0.01000,-9999.00000,2327.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.86000,-9.60000,10.00000,10.00000,16.06000,16.05840,35.38300,256.50000,0.00000,0.11000,0.00000,-9999.00000,2329.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.86000,-9.60000,20.00000,20.00000,15.53000,15.52690,35.44100,260.20000,0.00000,0.00000,0.02000,-9999.00000,2331.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.86000,-9.60000,30.00000,30.00000,13.99000,13.98570,35.61700,251.90000,0.38000,0.00000,0.11000,-9999.00000,2346.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.86000,-9.60000,40.00000,40.00000,13.19000,13.18440,35.65500,230.50000,2.74000,0.22000,0.25000,-9999.00000,2344.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.86000,-9.60000,50.00000,50.00000,12.81000,12.80320,35.65300,220.70000,6.74000,1.67000,0.43000,-9999.00000,2340.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.86000,-9.60000,60.00000,60.00000,12.65000,12.64190,35.65400,220.00000,7.77000,2.10000,0.46000,-9999.00000,2341.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.86000,-9.60000,81.00000,80.00000,12.40000,12.38920,35.65500,206.70000,9.80000,3.85000,0.59000,-9999.00000,2340.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.86000,-9.60000,101.00000,100.00000,12.16000,12.14670,35.63700,182.90000,11.75000,7.41000,0.79000,-9999.00000,2341.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-9.31000,0.00000,0.00000,17.11000,17.11000,35.42600,244.80000,0.00000,0.09000,0.01000,-9999.00000,2330.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-9.31000,10.00000,10.00000,16.68000,16.67840,35.51900,244.10000,0.07000,0.00000,0.00000,-9999.00000,2333.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-9.31000,20.00000,20.00000,15.42000,15.41690,35.66600,248.80000,0.03000,0.51000,0.03000,-9999.00000,2344.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-9.31000,30.00000,30.00000,14.25000,14.24560,35.74100,244.60000,1.18000,1.05000,0.11000,-9999.00000,2344.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-9.31000,40.00000,40.00000,13.77000,13.76430,35.76500,240.40000,2.05000,1.16000,0.17000,-9999.00000,2350.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-9.31000,50.00000,50.00000,13.45000,13.44300,35.76600,234.70000,3.65000,1.45000,0.26000,-9999.00000,2345.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-9.31000,60.00000,60.00000,13.40000,13.39160,35.77000,-9999.00000,3.86000,1.35000,0.25000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-9.31000,81.00000,80.00000,13.26000,13.24870,35.77500,229.30000,4.75000,1.64000,0.31000,-9999.00000,2352.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-9.31000,101.00000,100.00000,12.91000,12.89610,35.73100,229.90000,5.95000,1.94000,0.35000,-9999.00000,2346.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-9.31000,121.00000,120.00000,12.62000,12.60360,35.69300,228.30000,7.22000,2.47000,0.42000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.87000,-9.31000,151.00000,150.00000,12.25000,12.22990,35.64400,205.10000,9.98000,4.45000,0.62000,-9999.00000,2340.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.88000,-9.39000,0.00000,0.00000,16.50000,16.50000,35.57800,248.80000,0.00000,0.00000,0.01000,-9999.00000,2339.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.88000,-9.39000,10.00000,10.00000,16.45000,16.44840,35.58300,247.90000,0.00000,0.00000,0.00000,-9999.00000,2336.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.88000,-9.39000,20.00000,20.00000,16.41000,16.40680,35.57800,248.20000,0.00000,0.01000,0.00000,-9999.00000,2339.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.88000,-9.39000,30.00000,30.00000,16.35000,16.34520,35.59300,248.50000,0.00000,0.06000,0.00000,-9999.00000,2342.00000,-9999.00000,-9999.00000
29GD19840711,19840714,0000,41.88000,-9.39000,40.00000,40.00000,14.66000,14.65400,35.73900,247.40000,0.15000,0.77000,0.05000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
