# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

29HE20081006,20081006,0000,36.99970,-8.11830,5.00000,4.96000,20.04600,20.04510,36.03500,234.60000,0.08000,2.04000,-9999.00000,2057.10000,2344.21000,-9999.00000,-9999.00000
29HE20081006,20081006,0000,36.99970,-8.11830,23.00000,22.83000,18.02600,18.02200,36.07900,193.30000,3.04000,3.83000,-9999.00000,2114.70000,2352.40000,-9999.00000,-9999.00000
29HE20081006,20081006,0000,36.99970,-8.11830,27.00000,26.80000,17.88200,17.87740,36.08000,178.60000,4.94000,5.31000,-9999.00000,2133.40000,2353.74000,-9999.00000,-9999.00000
29HE20081006,20081006,0000,36.82940,-8.11670,5.00000,4.96000,20.93700,20.93600,36.54700,230.70000,0.16000,0.67000,-9999.00000,2080.10000,2385.06000,-9999.00000,-9999.00000
29HE20081006,20081006,0000,36.82940,-8.11670,20.00000,19.85000,20.20100,20.19730,36.43900,242.50000,0.41000,1.70000,-9999.00000,2088.90000,2375.00000,-9999.00000,-9999.00000
29HE20081006,20081006,0000,36.82940,-8.11670,35.00000,34.74000,16.96500,16.95920,36.11800,227.20000,1.16000,0.95000,-9999.00000,2101.20000,2358.38000,-9999.00000,-9999.00000
29HE20081006,20081006,0000,36.82940,-8.11670,50.00000,49.63000,15.97300,15.96510,36.17900,212.40000,3.50000,1.61000,-9999.00000,2119.30000,2360.79000,-9999.00000,-9999.00000
29HE20081006,20081006,0000,36.82940,-8.11670,76.00000,75.43000,15.12800,15.11640,36.09500,205.10000,6.69000,2.91000,-9999.00000,2133.50000,2357.67000,-9999.00000,-9999.00000
29HE20081006,20081006,0000,36.82940,-8.11670,101.00000,100.23000,14.65900,14.64390,36.05900,212.50000,5.44000,1.97000,-9999.00000,2125.70000,2352.95000,-9999.00000,-9999.00000
29HE20081006,20081006,0000,36.82940,-8.11670,145.00000,143.88000,14.41500,14.39350,36.02100,205.40000,5.75000,2.16000,-9999.00000,-9999.00000,2353.33000,-9999.00000,-9999.00000
29HE20081006,20081006,0000,36.65890,-8.11530,5.00000,4.96000,21.48600,21.48500,36.58000,221.20000,0.00000,0.00000,-9999.00000,2079.30000,2389.11000,-9999.00000,-9999.00000
