# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

316N19720718.1,19720724,0000,44.95000,-42.00200,1.00000,1.00000,21.66000,21.65980,35.14800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,16.00000,16.00000,21.64000,21.63690,35.14600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,31.00000,31.00000,16.38000,16.37500,35.15400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,48.00000,48.00000,12.69000,12.68350,35.23400,265.32000,1.16400,1.80000,0.19000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,90.00000,89.00000,12.73000,12.71780,35.41000,234.63000,7.08100,3.10000,0.45000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,124.00000,123.00000,12.05100,12.03480,35.37100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,158.00000,157.00000,11.15500,11.13530,35.25600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,189.00000,188.00000,10.49000,10.46740,35.16600,216.81000,12.61000,6.50000,0.82000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,242.00000,240.00000,10.11700,10.08860,35.17300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,288.00000,286.00000,9.48000,9.44746,35.11700,203.94000,15.52000,8.70000,1.03000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,383.00000,380.00000,7.92000,7.88100,34.97300,190.08000,18.81800,11.60000,1.26000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,455.00000,451.00000,6.99000,6.94667,34.91400,191.07000,20.07900,12.90000,1.35000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,504.00000,500.00000,6.82800,6.78040,34.97700,191.07000,20.56400,13.50000,1.36000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,583.00000,578.00000,5.90100,5.84976,34.92400,208.89000,19.69100,13.20000,1.31000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,668.00000,662.00000,5.69000,5.63189,34.99000,218.79000,19.30300,12.60000,1.27000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,707.00000,701.00000,5.71500,5.65305,35.09900,216.81000,19.40000,12.30000,1.25000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,708.00000,702.00000,5.71500,5.65295,35.10500,216.81000,19.30300,12.20000,1.25000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,835.00000,827.00000,5.22700,5.15628,35.01300,246.51000,18.13900,11.10000,1.17000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,845.00000,837.00000,5.19000,5.11858,35.03800,240.57000,18.62400,11.70000,1.16000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,962.00000,953.00000,4.72000,4.64139,34.99300,255.42000,18.13900,11.10000,1.11000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,1020.00000,1010.00000,4.63900,4.55582,35.01000,256.41000,18.33300,11.00000,1.11000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,1137.00000,1126.00000,4.45100,4.35898,34.98400,260.37000,17.84800,11.00000,1.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,1247.00000,1234.00000,4.25400,4.15398,34.96800,265.32000,17.26600,10.90000,1.09000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,1349.00000,1335.00000,4.12400,4.01614,34.95700,267.30000,17.07200,11.00000,1.09000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,1465.00000,1449.00000,4.03900,3.92155,34.96000,269.28000,16.87800,11.00000,1.09000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,1537.00000,1520.00000,3.99000,3.86654,34.95800,269.28000,16.97500,11.20000,1.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,1624.00000,1606.00000,3.92200,3.79136,34.95200,270.27000,16.97500,11.30000,1.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,1766.00000,1746.00000,3.81000,3.66758,34.95500,270.27000,17.07200,11.60000,1.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,1852.00000,1830.00000,3.75600,3.60623,34.95400,269.28000,17.16900,11.70000,1.11000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
316N19720718.1,19720724,0000,44.95000,-42.00200,1966.00000,1943.00000,3.69600,3.53626,34.95400,269.99300,17.42950,11.90780,1.14183,-9999.00000,-9999.00000,-9999.00000,-9999.00000
