# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

316N19950715,19950715,0000,-19.49800,57.24700,3.60000,4.00000,24.56690,24.56610,34.98840,210.30000,0.09090,3.17000,0.13000,1954.01000,2291.87000,1.86700,1.06500
316N19950715,19950715,0000,-19.49800,57.24700,30.90000,31.00000,24.50190,24.49530,34.98310,210.10000,0.09090,3.17000,0.13000,1953.86000,2289.58000,1.85800,1.05800
316N19950715,19950715,0000,-19.49800,57.24700,60.20000,60.00000,23.92080,23.90820,35.23660,211.80000,0.09090,2.98000,0.11000,1967.74000,2303.17000,1.89700,1.05400
316N19950715,19950715,0000,-19.49800,57.24700,90.50000,90.00000,23.73870,23.71980,35.29270,207.90000,0.12120,2.97000,0.13000,1979.50000,2308.74000,1.94400,1.07100
316N19950715,19950715,0000,-19.49800,57.24700,122.30000,122.00000,21.39540,21.37160,35.45330,193.60000,1.59580,3.68000,0.26000,2023.21000,-9999.00000,2.06800,1.13100
316N19950715,19950715,0000,-19.49800,57.24700,150.00000,149.00000,20.88240,20.85370,35.49600,190.60000,2.28260,4.03000,0.30000,2032.04000,2325.18000,2.08800,1.14300
316N19950715,19950715,0000,-19.49800,57.24700,178.10000,177.00000,19.62840,19.59580,35.59250,187.50000,3.52490,4.56000,0.36000,2054.68000,2334.67000,2.16200,1.17500
316N19950715,19950715,0000,-19.49800,57.24700,214.20000,213.00000,18.55340,18.51570,35.64250,192.10000,3.61580,4.37000,0.38000,2067.38000,2341.20000,2.24400,1.18800
316N19950715,19950715,0000,-19.49800,57.24700,249.70000,248.00000,17.12250,17.08080,35.64190,199.90000,3.85820,4.18000,0.41000,2077.79000,2335.93000,2.34300,1.21500
316N19950715,19950715,0000,-19.49800,57.24700,300.90000,299.00000,15.26880,15.22230,35.49220,209.40000,5.48430,4.17000,0.52000,2091.82000,2333.24000,2.50800,1.31100
316N19950715,19950715,0000,-19.49800,57.24700,400.50000,398.00000,12.37550,12.32170,35.12770,223.70000,9.95860,4.70000,0.78000,2102.57000,2314.25000,2.61500,1.30600
316N19950715,19950715,0000,-19.49800,57.24700,499.20000,496.00000,10.83810,10.77630,34.90780,228.50000,12.98860,5.41000,0.95000,2108.97000,2305.02000,2.48100,1.21200
316N19950715,19950715,0000,-19.49800,57.24700,599.50000,595.00000,9.29070,9.22303,34.71850,214.10000,18.06890,9.88000,1.26000,2128.90000,2297.43000,1.75900,0.87300
316N19950715,19950715,0000,-19.49800,57.24700,699.20000,694.00000,7.58750,7.51704,34.56430,196.70000,23.80570,19.71000,1.64000,2157.69000,2299.45000,0.86500,0.42400
316N19950715,19950715,0000,-19.49800,57.24700,739.30000,733.00000,7.09480,7.02283,34.55170,181.30000,26.33070,28.29000,1.83000,2176.46000,2311.15000,0.59100,0.29400
316N19950715,19950715,0000,-19.49800,57.24700,799.10000,793.00000,6.26420,6.19106,34.54740,162.90000,29.34050,41.70000,2.05000,2202.16000,-9999.00000,0.31600,0.16000
316N19950715,19950715,0000,-19.49800,57.24700,871.40000,864.00000,5.77650,5.69944,34.58990,140.10000,31.87560,56.75000,2.26000,2230.77000,2333.96000,0.15000,0.07800
316N19950715,19950715,0000,-19.49800,57.24700,1001.10000,993.00000,5.09790,5.01358,34.59790,132.80000,33.43100,67.70000,2.38000,2248.62000,2341.15000,0.06600,0.04000
316N19950715,19950715,0000,-19.49800,57.24700,1079.30000,1070.00000,4.70710,4.61871,34.64050,128.60000,34.04710,77.42000,2.43000,2263.90000,2354.07000,0.04000,0.02300
316N19950715,19950715,0000,-19.49800,57.24700,1199.00000,1188.00000,4.31440,4.21873,34.64480,129.60000,34.42080,82.27000,2.45000,2266.43000,2357.58000,0.01400,-0.00300
316N19950715,19950715,0000,-19.49800,57.24700,1300.20000,1288.00000,3.89670,3.79611,34.65060,136.00000,34.32990,85.69000,2.44000,2268.22000,2357.17000,0.01300,0.01500
316N19950715,19950715,0000,-19.49800,57.24700,1399.70000,1387.00000,3.52890,3.42347,34.66180,142.70000,34.08750,88.74000,2.42000,2269.30000,2362.28000,0.01500,0.01200
316N19950715,19950715,0000,-19.49800,57.24700,1500.80000,1486.00000,3.11520,3.00571,34.67420,151.00000,33.75420,92.53000,2.39000,2271.38000,2364.96000,0.00600,-0.00100
316N19950715,19950715,0000,-19.49800,57.24700,1599.30000,1584.00000,2.87540,2.76042,34.68670,155.30000,33.56230,96.69000,2.37000,2272.91000,-9999.00000,0.00500,0.00800
316N19950715,19950715,0000,-19.49800,57.24700,1700.60000,1683.00000,2.74750,2.62555,34.69310,157.10000,33.51180,99.22000,2.36000,2275.14000,2371.61000,0.00500,-0.00300
316N19950715,19950715,0000,-19.49800,57.24700,1796.20000,1778.00000,2.58460,2.45666,34.70780,159.00000,33.46130,103.03000,2.35000,2278.36000,-9999.00000,-0.00100,-0.00300
316N19950715,19950715,0000,-19.49800,57.24700,1902.50000,1882.00000,2.48370,2.34809,34.70880,160.20000,33.42090,105.56000,2.36000,2280.25000,2379.00000,0.00400,0.00200
316N19950715,19950715,0000,-19.49800,57.24700,2003.00000,1981.00000,2.36080,2.21833,34.71390,161.50000,33.46130,109.02000,2.35000,2282.70000,2386.42000,0.00700,0.00100
316N19950715,19950715,0000,-19.49800,57.24700,2098.90000,2076.00000,2.26380,2.11447,34.72030,162.40000,33.50170,111.75000,2.35000,2285.35000,2385.61000,0.00400,0.00400
316N19950715,19950715,0000,-19.49800,57.24700,2304.30000,2278.00000,2.05000,1.88612,34.72290,165.90000,33.46130,116.52000,2.35000,2287.51000,2388.80000,0.00300,0.00300
316N19950715,19950715,0000,-19.49800,57.24700,2497.50000,2468.00000,1.96010,1.78044,34.72740,166.10000,33.55220,119.82000,2.35000,2291.13000,-9999.00000,0.00100,-0.00300
316N19950715,19950715,0000,-19.49800,57.24700,2701.00000,2667.00000,1.87010,1.67341,34.72950,166.10000,33.78450,123.32000,2.36033,2294.03000,-9999.00000,0.00100,-0.00300
316N19950715,19950715,0000,-19.49800,57.24700,2895.70000,2858.00000,1.77520,1.56208,34.73100,167.40000,33.73400,126.27000,2.37000,2296.10000,-9999.00000,0.00100,-0.00300
316N19950715,19950715,0000,-19.49800,57.24700,2916.10000,2878.00000,1.75420,1.53958,34.73020,167.40000,33.78450,126.42000,2.37000,2296.64000,-9999.00000,0.00200,0.00000
316N19950715,19950715,0000,-19.49800,57.24700,3013.10000,2974.00000,1.74020,1.51653,34.73220,168.10000,33.77440,127.12000,2.37000,2296.41000,2411.70000,-9999.00000,-9999.00000
316N19950715,19950715,0000,-19.49800,57.24700,3032.10000,2992.00000,1.73920,1.51370,34.73390,167.40000,33.73400,127.08000,2.36000,2294.32000,2408.97000,-9999.00000,-9999.00000
316N19950715,19950716,0000,-18.50300,54.99000,12.50000,12.00000,24.30940,24.30670,35.06090,210.60000,0.01010,3.24000,0.13000,1952.65000,2295.62000,1.85700,1.05700
316N19950715,19950716,0000,-18.50300,54.99000,62.80000,62.00000,24.30420,24.29090,35.19400,210.50000,0.01010,3.05000,0.12000,1961.46000,2303.54000,1.87400,1.07600
316N19950715,19950716,0000,-18.50300,54.99000,92.60000,92.00000,24.15840,24.13880,35.24470,210.70000,0.01010,3.04000,0.11000,1962.69000,2306.38000,1.87000,1.05700
316N19950715,19950716,0000,-18.50300,54.99000,123.40000,123.00000,23.42620,23.40060,35.24010,205.70000,0.31310,3.38000,0.17000,1978.07000,2303.12000,-9999.00000,-9999.00000
316N19950715,19950716,0000,-18.50300,54.99000,151.70000,151.00000,21.59810,21.56840,35.44850,196.40000,1.36350,3.71000,0.25000,2010.58000,2320.25000,2.07000,1.16600
316N19950715,19950716,0000,-18.50300,54.99000,202.50000,201.00000,20.27570,20.23770,35.62420,195.40000,2.11090,3.87000,0.28000,2033.41000,2330.94000,2.13900,1.17000
316N19950715,19950716,0000,-18.50300,54.99000,251.50000,250.00000,19.38850,19.34280,35.64900,192.10000,3.13100,4.39000,0.34000,2051.23000,2334.24000,2.13800,1.16200
316N19950715,19950716,0000,-18.50300,54.99000,290.60000,289.00000,16.72100,16.67330,35.50630,178.60000,7.46390,7.90000,0.62000,2089.18000,2327.93000,2.09200,1.11600
316N19950715,19950716,0000,-18.50300,54.99000,402.60000,400.00000,12.87860,12.82300,35.17620,199.00000,11.33220,8.59000,0.86000,2108.37000,-9999.00000,2.23900,1.12900
316N19950715,19950716,0000,-18.50300,54.99000,471.10000,468.00000,11.36590,11.30590,34.98670,210.10000,13.55420,8.40000,0.99000,2112.47000,2314.56000,2.22800,1.11900
316N19950715,19950716,0000,-18.50300,54.99000,583.00000,579.00000,9.57320,9.50622,34.75480,201.20000,18.80620,13.32000,1.31000,2132.30000,2300.35000,1.61100,0.79900
316N19950715,19950716,0000,-18.50300,54.99000,700.20000,695.00000,8.02860,7.95566,34.64540,177.00000,24.39150,25.48000,1.69000,2164.48000,2309.51000,0.83900,0.42200
316N19950715,19950716,0000,-18.50300,54.99000,831.70000,825.00000,6.23690,6.16073,34.56990,155.50000,29.81520,44.88000,2.09000,2205.24000,2320.60000,0.29400,0.14500
316N19950715,19950716,0000,-18.50300,54.99000,898.80000,891.00000,5.57940,5.50108,34.59670,136.80000,32.43110,60.43000,2.29000,2233.42000,2338.77000,0.12800,0.06700
316N19950715,19950716,0000,-18.50300,54.99000,991.50000,983.00000,4.96300,4.88056,34.60960,130.50000,33.78450,70.88000,2.39000,2249.04000,2341.59000,0.04600,0.02300
316N19950715,19950716,0000,-18.50300,54.99000,1191.80000,1181.00000,4.01650,3.92417,34.64730,134.30000,34.38040,83.70000,2.44000,2265.65000,2360.85000,0.01500,0.00300
316N19950715,19950716,0000,-18.50300,54.99000,1401.80000,1389.00000,3.24300,3.14045,34.66170,149.70000,33.86530,89.41000,2.38000,2263.99000,2360.31000,0.00600,0.00900
316N19950715,19950716,0000,-18.50300,54.99000,1597.90000,1582.00000,2.83830,2.72389,34.68430,157.20000,33.44110,94.95000,2.35000,2267.19000,2370.96000,0.00500,0.00100
316N19950715,19950716,0000,-18.50300,54.99000,1795.80000,1777.00000,2.53510,2.40787,34.70970,160.40000,33.39060,102.87000,2.34000,2274.90000,2375.55000,-9999.00000,-9999.00000
316N19950715,19950716,0000,-18.50300,54.99000,1999.30000,1978.00000,2.31730,2.17577,34.72330,161.60000,33.39060,109.75000,2.34000,2281.00000,2387.80000,-9999.00000,-9999.00000
316N19950715,19950716,0000,-18.50300,54.99000,2200.70000,2176.00000,2.17580,2.01893,34.73050,161.60000,33.57240,115.20000,2.35000,2284.41000,2388.82000,-9999.00000,-9999.00000
316N19950715,19950716,0000,-18.50300,54.99000,2347.00000,2320.00000,2.11030,1.94150,34.73650,159.00000,33.84510,119.94000,2.38000,2290.28000,2399.92000,-9999.00000,-9999.00000
316N19950715,19950716,0000,-18.50300,54.99000,2447.10000,2418.00000,2.05520,1.87834,34.73630,160.30000,33.84510,121.19000,2.38000,2289.98000,-9999.00000,-9999.00000,-9999.00000
316N19950715,19950716,0000,-18.50300,54.99000,2593.90000,2562.00000,1.99210,1.80294,34.73860,159.90000,34.02690,124.29000,2.40000,2294.30000,2405.89000,-9999.00000,-9999.00000
