# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

318M19771204,19771207,0000,37.69200,8.09200,2.00000,2.00000,16.87200,16.87170,37.41500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
318M19771204,19771207,0000,37.69200,8.09200,37.00000,37.00000,16.67000,16.66390,37.47800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
318M19771204,19771207,0000,37.69200,8.09200,63.00000,63.00000,16.65000,16.63960,37.60600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
318M19771204,19771207,0000,37.69200,8.09200,92.00000,91.00000,16.00500,15.99020,37.62300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
318M19771204,19771207,0000,37.69200,8.09200,155.00000,154.00000,13.80700,13.78420,38.15900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
318M19771204,19771207,0000,37.69200,8.09200,214.00000,212.00000,13.63800,13.60660,38.36100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
318M19771204,19771207,0000,37.69200,8.09200,263.00000,261.00000,13.93300,13.89380,38.55900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
318M19771204,19771207,0000,37.69200,8.09200,317.00000,314.00000,13.83600,13.78890,38.60300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
318M19771204,19771207,0000,37.69200,8.09200,417.00000,413.00000,13.38400,13.32310,38.52600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
318M19771204,19771207,0000,37.69200,8.09200,551.00000,546.00000,13.26200,13.18170,38.51600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
318M19771204,19771207,0000,37.69200,8.09200,676.00000,670.00000,13.13000,13.03170,38.48700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
318M19771204,19771207,0000,37.69200,8.09200,800.00000,792.00000,13.06200,12.94550,38.46800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
