# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

31AN19810612,19810612,0000,38.32830,-73.56170,7.10000,7.04654,18.21500,18.21380,33.69900,256.00000,0.20000,1.44060,0.24000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.32830,-73.56170,44.40000,44.06170,11.01900,11.01360,34.57200,260.20000,4.59000,2.58720,0.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.32830,-73.56170,94.80000,94.06620,11.06000,11.04830,35.05700,228.80000,10.55000,5.84080,0.87000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.32830,-73.56170,147.20000,146.04200,11.99500,11.97570,35.52700,224.40000,12.99000,6.70320,0.96000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.32830,-73.56170,195.60000,194.03900,10.98000,10.95580,35.45000,185.70000,18.37000,9.85880,1.29000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.32830,-73.56170,292.50000,290.09700,8.51000,8.47903,35.14000,162.60000,24.23000,14.74900,1.67000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.32830,-73.56170,392.50000,389.18200,6.22200,6.18700,35.03000,200.80000,22.18000,14.46480,1.56000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.32830,-73.56170,489.40000,485.15000,5.71100,5.66895,35.00800,218.60000,21.20000,14.17080,1.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.32830,-73.56170,594.50000,589.18800,5.08300,5.03436,34.98400,249.00000,19.93000,13.69060,1.45000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.32830,-73.56170,693.60000,687.23900,4.69500,4.63967,35.12100,254.22900,19.49450,15.22920,1.69000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.32830,-73.56170,795.70000,788.21000,4.51600,4.45322,34.97400,258.10000,19.15000,12.92620,1.39000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.32830,-73.56170,893.90000,885.27800,4.37800,4.30776,34.98100,261.60000,18.66000,12.82820,1.39000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,10.10000,10.02400,13.62600,13.62460,33.69800,290.50000,0.10000,1.24460,0.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,48.40000,48.03140,8.72900,8.72394,34.20600,246.70000,7.24000,5.45860,0.76000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,95.80000,95.05940,12.14700,12.13440,35.39500,229.20000,10.65000,4.49820,0.76000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,144.20000,143.06900,12.39700,12.37770,35.61900,233.50000,11.62000,5.26260,0.79000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,198.70000,197.11500,11.06100,11.03630,35.46400,190.00000,17.88000,9.19240,1.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,296.50000,294.06500,8.36500,8.33391,35.14300,159.50000,24.52000,15.03320,1.64000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,394.50000,391.16800,6.62600,6.58959,35.05300,203.00000,22.77000,14.65100,1.54000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,493.50000,489.21500,5.54100,5.49924,34.99300,229.00000,21.01000,13.60240,1.44000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,595.50000,590.18500,4.94800,-9999.00000,34.97320,246.40000,19.84000,12.83800,1.38000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,688.50000,682.20300,4.62700,4.57264,34.96900,250.70000,19.15000,12.44600,1.32000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,793.70000,786.24200,4.50300,4.44047,34.97200,259.40000,19.25000,12.44600,1.31000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,891.80000,883.21300,4.38200,4.31192,34.97100,259.40000,18.96000,12.44600,1.32000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,991.00000,981.22600,4.28900,4.21111,34.97100,268.10000,18.86000,12.16180,1.27000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,1191.60000,1179.28000,4.07600,-9999.00000,34.97070,267.98200,18.55130,12.38090,1.28595,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,1383.20000,1368.28000,4.04000,3.92990,34.97000,268.10000,18.27000,12.64200,1.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.19330,-73.51330,1450.10000,1434.23000,4.02900,3.91300,34.96600,276.80000,18.37000,12.74000,1.29000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,4.00000,3.96997,18.11100,18.11030,33.68400,262.50000,0.10000,1.14660,0.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,42.30000,41.97860,12.22600,12.22040,35.06200,248.00000,5.77000,2.39120,0.53000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,85.70000,85.03980,12.01400,12.00280,35.38700,226.60000,11.33000,5.26260,0.82000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,193.60000,192.05800,11.94700,11.92170,35.58200,217.40000,14.36000,7.08540,0.98000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,287.50000,285.14600,9.64000,9.60712,35.26900,158.70000,23.15000,13.78860,1.54000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,395.50000,392.16000,6.93300,6.89557,35.06800,183.90000,23.55000,15.51340,1.58000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,488.40000,484.16700,5.97900,5.93604,35.01300,212.50000,21.89000,14.84700,1.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,580.30000,575.14300,5.12100,5.07342,34.97800,245.10000,20.23000,13.78860,1.42000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,655.10000,649.16200,4.98300,4.92963,34.97600,244.20000,19.84000,13.69060,1.39000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,792.70000,785.25600,4.57900,4.51609,34.96800,260.70000,18.96000,13.12220,1.32000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,894.90000,886.27900,4.56700,4.49537,34.98600,262.75800,18.96000,13.30840,1.33000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,994.10000,984.29100,4.42200,4.34281,34.98200,264.60000,18.76000,13.22020,1.33000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,1194.60000,1182.25000,4.16500,4.07044,34.97300,268.10000,18.37000,14.17080,1.27000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,1392.30000,1377.26000,3.94000,3.83015,34.96500,274.20000,18.27000,-9999.00000,1.28000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,1691.70000,1672.24000,3.81700,3.68137,34.96700,273.70000,18.27000,-9999.00000,1.32000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.16330,-73.25670,2026.10000,2001.22000,3.68900,3.52355,34.96800,269.00000,18.37000,14.93520,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,7.10000,7.04673,15.26800,15.26690,34.05500,278.80000,0.10000,1.14660,0.21000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,95.80000,95.06080,11.97500,11.96250,35.44400,220.10000,11.92000,5.36060,0.82000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,145.20000,144.06200,11.99600,11.97700,35.58600,223.10000,12.89000,6.12500,0.89000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,195.60000,194.04400,11.39700,11.37220,35.51500,198.30000,16.22000,8.89840,1.25000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,295.50000,293.07800,8.67700,8.64532,35.17900,160.80000,24.23000,15.03320,1.61000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,395.50000,392.16400,6.71100,6.67424,35.04500,189.10000,23.26000,14.74900,1.73000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,496.50000,492.19300,5.44300,5.40136,34.97700,222.10000,20.62000,13.78860,1.44000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,593.50000,588.21400,5.03800,4.98967,34.97500,236.40000,19.84000,13.12220,1.36000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,695.60000,689.23600,4.75300,4.69737,34.96700,245.50000,19.15000,12.74000,1.35000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,797.70000,790.20900,4.58900,4.52560,34.97000,253.80000,18.66000,12.25980,1.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,895.90000,887.27800,4.39900,-9999.00000,-9999.00000,259.00000,18.47000,12.25980,1.31000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,997.10000,987.26600,4.25000,-9999.00000,-9999.00000,267.70000,18.37000,12.35780,1.28000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,1194.60000,1182.26000,4.11400,-9999.00000,-9999.00000,267.70000,18.18000,12.54400,1.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,1392.30000,1377.27000,3.96100,-9999.00000,-9999.00000,269.80000,18.08000,12.82820,1.27000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,1692.70000,1673.24000,3.80600,-9999.00000,-9999.00000,270.30000,18.08000,13.98460,1.28000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,1991.50000,1967.23000,3.57700,-9999.00000,-9999.00000,268.10000,18.27000,15.61140,1.33000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,38.03000,-72.98000,2533.20000,2499.16000,3.03400,2.83008,34.95100,268.50000,18.08000,17.71840,1.24000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,37.93170,-72.68500,5.00000,4.96256,17.58700,17.58620,34.25900,255.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,37.93170,-72.68500,46.40000,46.04790,13.64700,13.64040,35.14200,241.90000,0.00000,1.34260,0.24000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,37.93170,-72.68500,98.80000,98.03780,12.08800,12.07500,35.43100,218.30000,4.40000,2.00900,0.43000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31AN19810612,19810612,0000,37.93170,-72.68500,194.60000,193.05400,10.84400,10.82010,35.39800,186.10000,12.60000,5.45860,0.87000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
