# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

31DS19960105,19960106,0000,-45.82400,153.08400,9.90000,10.00000,11.74160,11.74030,34.74100,275.42000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,3.57700,1.78600
31DS19960105,19960106,0000,-45.82400,153.08400,43.40000,43.00000,11.56350,11.55800,34.77260,271.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,3.52700,1.79300
31DS19960105,19960106,0000,-45.82400,153.08400,102.50000,102.00000,9.65750,9.64596,34.70620,268.02000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,203.10000,201.00000,8.84190,8.82017,34.62250,268.78000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,400.20000,397.00000,8.34750,8.30569,34.55690,253.58000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,601.80000,596.00000,7.42510,7.36567,34.45590,230.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,803.50000,795.00000,6.04100,-9999.00000,-9999.00000,201.35000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,1198.60000,1185.00000,3.63220,3.54331,34.39930,190.49000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,1602.10000,1583.00000,2.86440,2.74963,34.57000,162.13000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,1603.40000,1584.00000,2.85980,2.74498,34.56980,162.03000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,1603.60000,1584.00000,2.86180,2.74693,34.57070,161.94000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,1604.80000,1586.00000,2.85080,2.73596,34.57320,161.94000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.09200,0.04300
31DS19960105,19960106,0000,-45.82400,153.08400,1608.30000,1589.00000,2.84420,2.72915,34.57340,161.94000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,1609.80000,1590.00000,2.83880,2.72369,34.57370,161.94000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.09300,0.03600
31DS19960105,19960106,0000,-45.82400,153.08400,1611.10000,1592.00000,2.83370,2.71854,34.57340,161.94000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.03900
31DS19960105,19960106,0000,-45.82400,153.08400,1612.30000,1593.00000,2.83240,2.71716,34.57310,162.42000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.09600,0.03600
31DS19960105,19960106,0000,-45.82400,153.08400,2000.30000,1974.00000,2.34850,2.20659,34.67040,171.26000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,2499.10000,2464.00000,2.00110,1.82054,34.72640,184.19000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,3001.90000,2956.00000,1.66760,1.44661,34.73290,191.46600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,3499.70000,3443.00000,1.29330,1.03210,34.72520,198.67000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,4001.70000,3932.00000,1.05060,0.74398,34.71320,201.98000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,4500.70000,4417.00000,0.96200,0.60350,34.70750,205.77000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,4554.40000,4469.00000,0.95610,0.59173,34.70770,206.05800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960106,0000,-45.82400,153.08400,4554.90000,4470.00000,0.95680,0.59235,34.70770,206.06000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960107,0000,-48.31800,158.49800,1599.90000,1580.00000,2.67800,2.56575,34.55130,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.26500,0.12500
31DS19960105,19960107,0000,-48.31800,158.49800,1600.50000,1581.00000,2.67690,2.56461,34.55160,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.25200,0.11900
31DS19960105,19960107,0000,-48.31800,158.49800,1797.70000,1775.00000,2.50490,2.37820,34.61520,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.15700,0.11700
31DS19960105,19960107,0000,-48.31800,158.49800,1799.60000,1777.00000,2.50290,2.37607,34.61490,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960107,0000,-48.31800,158.49800,1999.00000,1973.00000,2.35010,2.20829,34.66780,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.10700,0.04700
31DS19960105,19960107,0000,-48.31800,158.49800,1999.70000,1973.00000,2.35070,-9999.00000,34.66790,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.12800,0.07500
31DS19960105,19960107,0000,-48.31800,158.49800,2235.50000,2205.00000,2.18000,-9999.00000,34.70450,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960107,0000,-48.31800,158.49800,2236.10000,2206.00000,2.17990,2.01993,34.70460,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2251.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960107,0000,-48.31800,158.49800,2236.50000,2206.00000,2.17940,-9999.00000,34.70480,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2250.30000,-9999.00000,0.05600,0.02200
31DS19960105,19960107,0000,-48.31800,158.49800,2236.80000,2206.00000,2.17970,2.01967,34.70490,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960107,0000,-48.31800,158.49800,2236.90000,2206.00000,2.17940,2.01937,34.70450,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.05500,0.02800
31DS19960105,19960107,0000,-48.31800,158.49800,2237.10000,2206.00000,2.17960,2.01955,34.70390,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2252.10000,-9999.00000,0.06000,0.02600
31DS19960105,19960107,0000,-48.31800,158.49800,2237.40000,2207.00000,2.17970,2.01961,34.70590,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.05400,0.02600
31DS19960105,19960107,0000,-48.31800,158.49800,2237.40000,2207.00000,2.17970,2.01962,34.70470,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960107,0000,-48.31800,158.49800,2237.50000,2207.00000,2.17980,2.01971,34.70460,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2250.90000,-9999.00000,0.06200,0.02800
31DS19960105,19960107,0000,-48.31800,158.49800,2237.60000,2207.00000,2.18010,2.01999,34.70490,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2252.00000,-9999.00000,0.06600,0.03200
31DS19960105,19960107,0000,-48.31800,158.49800,2238.60000,2208.00000,2.18000,2.01981,34.70420,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960107,0000,-48.31800,158.49800,2238.90000,2208.00000,2.18010,2.01988,34.70400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.05700,0.03000
31DS19960105,19960107,0000,-48.31800,158.49800,2499.90000,2464.00000,1.91050,1.73157,34.72340,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.02100,0.01100
31DS19960105,19960107,0000,-48.31800,158.49800,2503.30000,2468.00000,1.90920,1.72998,34.72480,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.04400,-9999.00000
31DS19960105,19960107,0000,-48.31800,158.49800,2999.00000,2953.00000,1.56600,1.34755,34.72660,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.00900,0.00700
31DS19960105,19960107,0000,-48.31800,158.49800,2999.00000,2953.00000,1.56590,1.34745,34.72840,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.01300,-9999.00000
31DS19960105,19960107,0000,-48.31800,158.49800,3497.40000,3440.00000,1.29350,1.03255,34.72200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.01700,0.00600
31DS19960105,19960107,0000,-48.31800,158.49800,3497.90000,3440.00000,1.29320,1.03221,34.72150,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.01000,0.00600
31DS19960105,19960107,0000,-48.31800,158.49800,3997.20000,3927.00000,1.14580,0.83694,34.71600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31DS19960105,19960107,0000,-48.31800,158.49800,3997.60000,3927.00000,1.14590,0.83700,34.71460,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.02300,0.00800
31DS19960105,19960107,0000,-48.31800,158.49800,4495.90000,4411.00000,1.06760,0.70630,34.71280,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.03000,0.02300
31DS19960105,19960107,0000,-48.31800,158.49800,4496.50000,4412.00000,1.06780,0.70644,34.71070,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.03400,0.01600
31DS19960105,19960107,0000,-48.31800,158.49800,4497.10000,4413.00000,1.06760,0.70618,34.71070,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.02600,0.01200
31DS19960105,19960107,0000,-48.31800,158.49800,4497.20000,4413.00000,1.06800,0.70654,34.71270,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.03600,-9999.00000
31DS19960105,19960107,0000,-48.31800,158.49800,4497.70000,4413.00000,1.06760,-9999.00000,34.71540,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
