# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

31OC19870606,19870606,2340,-12.00000,-149.99800,0.00000,0.00000,29.39100,29.39100,35.79700,203.01400,0.00000,0.95626,0.16920,-9999.00000,-9999.00000,1.34200,0.82400
31OC19870606,19870606,2340,-12.00000,-149.99800,23.00000,23.00000,29.37300,29.36740,35.79700,202.57600,0.00000,0.95626,0.17915,-9999.00000,-9999.00000,1.33600,0.83300
31OC19870606,19870606,2340,-12.00000,-149.99800,47.60000,47.00000,29.36500,29.35340,35.80700,204.75700,0.00000,0.00000,0.18910,-9999.00000,-9999.00000,1.33700,0.83100
31OC19870606,19870606,2340,-12.00000,-149.99800,97.50000,97.00000,26.76000,26.73770,36.24200,205.82900,0.00000,0.00000,0.18904,-9999.00000,-9999.00000,1.44700,0.93400
31OC19870606,19870606,2340,-12.00000,-149.99800,134.10000,133.00000,25.22300,25.19360,36.24700,185.68100,0.79206,0.95594,0.31839,-9999.00000,-9999.00000,1.46700,0.84100
31OC19870606,19870606,2340,-12.00000,-149.99800,146.70000,146.00000,25.08000,25.04790,36.24600,180.87900,1.08909,0.95594,0.35818,-9999.00000,-9999.00000,1.47500,0.81400
31OC19870606,19870606,2340,-12.00000,-149.99800,195.80000,195.00000,22.10400,22.06490,36.04700,179.88000,3.96091,0.95608,0.44780,-9999.00000,-9999.00000,1.51600,0.90400
31OC19870606,19870606,2340,-12.00000,-149.99800,244.50000,243.00000,17.34500,17.30390,35.36400,147.54500,9.80821,2.86970,0.86618,-9999.00000,-9999.00000,1.28800,0.69700
31OC19870606,19870606,2340,-12.00000,-149.99800,295.90000,294.00000,12.14900,12.11000,34.77600,102.64800,20.21970,10.52680,1.65343,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870606,2340,-12.00000,-149.99800,346.00000,344.00000,10.42000,10.37860,34.70000,90.88170,27.15930,19.14070,2.03204,-9999.00000,-9999.00000,-9999.00000,0.12000
31OC19870606,19870606,2340,-12.00000,-149.99800,395.60000,393.00000,9.43100,9.38646,34.66300,101.73900,28.74610,22.01240,2.11179,-9999.00000,-9999.00000,0.08300,0.07400
31OC19870606,19870606,2340,-12.00000,-149.99800,510.70000,507.00000,7.98500,7.93263,34.59400,108.24200,31.52320,28.71340,2.26132,-9999.00000,-9999.00000,0.03900,0.04000
31OC19870606,19870607,0500,-11.99500,-149.99700,0.00000,0.00000,29.37000,29.37000,35.69200,201.28200,-0.09905,0.95633,0.19907,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,96.70000,96.00000,26.14300,26.12120,36.25700,180.93600,0.09901,0.95593,0.27859,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,246.00000,244.00000,18.61400,18.57060,35.48200,151.49500,8.42045,2.86944,0.77651,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,495.10000,492.00000,7.98300,7.93229,34.59200,105.20000,31.22580,28.71340,2.21152,-9999.00000,-9999.00000,0.03100,0.02700
31OC19870606,19870607,0500,-11.99500,-149.99700,744.60000,739.00000,5.66800,5.60351,34.52400,103.86900,37.17550,59.34400,2.66989,-9999.00000,-9999.00000,0.00000,-0.00100
31OC19870606,19870607,0500,-11.99500,-149.99700,994.00000,986.00000,4.42700,4.34852,34.53100,107.33000,37.57180,72.74390,2.71969,-9999.00000,-9999.00000,0.00100,0.00200
31OC19870606,19870607,0500,-11.99500,-149.99700,1194.80000,1185.00000,3.70600,3.61645,34.55000,116.44500,37.27390,86.14290,2.70969,-9999.00000,-9999.00000,0.00000,-0.00100
31OC19870606,19870607,0500,-11.99500,-149.99700,1394.70000,1382.00000,3.24900,3.14721,34.56200,120.78400,37.17440,95.71340,2.69971,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,1594.20000,1579.00000,2.78900,2.67574,34.59700,127.29200,36.87610,105.28200,2.67971,-9999.00000,-9999.00000,-0.00200,0.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,1794.20000,1776.00000,2.43700,2.31152,34.61700,137.27800,36.28080,111.98000,2.61990,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,1993.00000,1972.00000,2.19900,2.06010,34.63500,142.05200,36.18110,118.67800,2.60991,-9999.00000,-9999.00000,0.00100,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,2193.70000,2170.00000,2.00800,1.85481,34.65200,142.48200,36.08160,123.46200,2.58995,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,2392.20000,2365.00000,1.88100,1.71253,34.66200,145.52100,35.98220,129.20400,2.57997,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,2594.50000,2564.00000,1.82200,1.63636,34.66800,145.08500,35.78380,132.07400,2.58992,-9999.00000,-9999.00000,-0.00100,0.00500
31OC19870606,19870607,0500,-11.99500,-149.99700,2795.70000,2761.00000,1.75500,1.55204,34.67400,139.87100,35.78360,131.11700,2.57995,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,2998.90000,2961.00000,1.69900,1.47788,34.67800,152.03300,35.58520,129.20200,2.54009,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,3197.10000,3155.00000,1.64800,1.40868,34.67900,155.94100,35.28790,130.15900,2.53013,-9999.00000,-9999.00000,-0.00500,-0.00200
31OC19870606,19870607,0500,-11.99500,-149.99700,3400.80000,3354.00000,1.59300,1.33463,34.67300,159.41600,34.99060,129.20300,2.50026,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,3566.60000,3517.00000,1.55400,1.27956,34.68700,162.02000,34.49470,128.24400,2.46039,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,3796.80000,3742.00000,1.49000,1.19310,34.69300,168.96900,34.39540,124.41500,2.42053,-9999.00000,-9999.00000,-0.00600,-0.00300
31OC19870606,19870607,0500,-11.99500,-149.99700,3999.90000,3940.00000,1.43700,1.11976,34.69400,173.31200,34.09800,123.45800,2.39065,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,4546.20000,4472.00000,1.34700,0.97130,34.70200,189.38100,33.20570,119.62900,2.33087,-9999.00000,-9999.00000,0.00300,-9999.00000
31OC19870606,19870607,0500,-11.99500,-149.99700,4805.50000,4725.00000,1.30300,0.89843,34.70600,190.68300,32.71000,117.71500,2.31094,-9999.00000,-9999.00000,-9999.00000,-9999.00000
