# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

31WT19910531,19910602,0000,36.17170,-121.73700,2.10000,2.08461,10.12440,10.12420,33.73260,216.70000,22.99000,27.69030,1.85000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,11.00000,10.91920,9.89550,9.89426,33.79020,190.00000,24.06000,28.37340,1.92000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,16.30000,16.18000,9.42070,9.41892,33.81770,172.80000,24.74000,29.72970,1.97000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,41.90000,41.58900,9.09880,9.09433,33.87060,145.50000,25.82000,31.37310,2.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,66.80000,66.30020,8.80490,8.79790,33.92750,123.10000,27.29000,33.20460,2.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,92.70000,92.00060,8.67800,8.66835,33.97120,107.00000,27.97000,35.43210,2.17000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,117.10000,116.21000,8.59000,8.57786,33.99810,100.20000,28.46000,36.68940,2.21000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,141.40000,140.31700,8.48910,8.47452,34.02900,96.40000,28.85000,37.85760,2.24000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,166.60000,165.31300,8.39110,8.37401,34.05980,90.50000,29.24000,39.40200,2.28000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,190.70000,189.21600,8.17520,8.15592,34.07560,84.60000,30.22000,42.20370,2.35000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,242.60000,240.68200,8.00230,7.97800,34.09310,83.20000,30.80000,43.85700,2.41000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,292.70000,290.35100,7.75940,7.73051,34.10590,75.60000,31.88000,47.62890,2.49000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,292.70000,290.35100,7.75940,7.73051,34.10620,75.90000,31.68000,47.52990,2.47000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,394.10000,390.84200,7.27860,7.24085,34.13520,61.80000,33.54000,54.59850,2.63000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,442.70000,438.98900,6.64690,6.60642,34.21070,39.80000,36.18000,65.82510,2.86000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,491.70000,487.52000,6.37110,6.32698,34.23600,31.30000,37.25000,71.33940,2.96000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,518.90000,514.45600,6.32610,6.27963,34.22430,29.70000,37.55000,73.56690,3.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.17170,-121.73700,518.90000,514.45600,6.32610,6.27963,34.22420,28.90000,37.45000,72.98280,2.99000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,2.10000,2.08463,10.19590,10.19570,33.63250,251.90000,19.81000,23.26500,1.54000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,12.20000,12.11040,10.04920,10.04780,33.63890,248.60000,19.99000,23.94810,1.56000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,25.60000,25.41110,9.83750,9.83464,33.62070,231.20000,20.58000,24.29460,1.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,51.20000,50.81910,9.28380,9.27827,33.77290,174.50000,23.98000,28.53180,1.83000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,75.70000,75.13240,8.95140,8.94339,33.77930,140.30000,25.65000,29.20500,1.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,100.40000,99.64130,8.76130,8.75080,33.85340,127.80000,26.70000,31.41270,1.96000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,126.20000,125.23800,8.66630,8.65316,33.90270,121.20000,27.26000,33.10560,2.01000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,152.10000,150.93200,8.50890,8.49321,33.94870,116.80000,28.08000,35.64990,2.08000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,176.50000,175.13400,8.19280,8.17497,33.99670,103.60000,29.22000,38.69910,2.14000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,200.60000,199.03600,8.09410,8.07395,34.01740,102.20000,29.66000,39.88710,2.17000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,251.80000,249.80600,7.44960,7.42542,34.07380,81.50000,32.25000,49.20300,2.38000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,303.10000,300.66200,6.97930,6.95115,34.10980,64.10000,34.42000,55.98450,2.56000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,353.00000,350.11900,6.62260,6.59065,34.12510,50.80000,36.30000,62.58780,2.71000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,403.50000,400.15800,6.41120,6.37515,34.18420,32.80000,37.68000,69.52770,2.86000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,504.20000,499.90200,5.96030,5.91661,34.21710,23.90000,39.47000,77.64570,2.98000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,604.80000,599.50000,5.45660,5.40603,34.28690,14.20000,41.32000,88.30800,3.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,707.10000,700.73100,5.08060,5.02293,34.34460,13.20000,42.14000,97.61400,3.16000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,809.50000,802.01300,4.59780,4.53411,34.39340,16.40000,43.01000,106.58300,3.18000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,36.10000,-121.83300,911.70000,903.04700,4.32270,4.25220,34.40280,15.80000,43.35000,113.51300,3.19000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,35.98000,-121.99300,0.20000,0.19854,11.58870,11.58870,33.15500,280.20000,7.26000,7.62300,0.82000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,35.98000,-121.99300,23.90000,23.72400,11.16290,11.16000,33.20590,270.10000,9.20000,9.78120,0.95000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,35.98000,-121.99300,49.60000,49.23180,10.33600,10.33030,33.25970,248.40000,12.56000,12.93930,1.19000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
31WT19910531,19910602,0000,35.98000,-121.99300,74.20000,73.64470,9.69220,9.68400,33.30310,226.30000,14.66000,15.25590,1.35000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
