# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

32EV19910328,19910328,0000,40.81500,-58.30600,17.60000,17.50000,4.94500,4.94370,33.38200,319.87800,3.48977,3.81235,0.54741,-9999.00000,-9999.00000,5.23800,2.45200
32EV19910328,19910328,0000,40.81500,-58.30600,104.60000,103.80000,5.46500,5.45674,33.63000,298.44000,5.84942,5.27767,0.64505,-9999.00000,-9999.00000,4.93500,2.34800
32EV19910328,19910328,0000,40.81500,-58.30600,205.20000,203.50000,7.12900,7.10964,34.73700,198.79600,18.25160,11.81620,1.28904,-9999.00000,-9999.00000,2.58200,1.19200
32EV19910328,19910328,0000,40.81500,-58.30600,351.80000,348.70000,7.06700,7.03349,34.98700,176.96600,22.55400,15.32890,1.54265,-9999.00000,-9999.00000,1.15800,0.55700
32EV19910328,19910328,0000,40.81500,-58.30600,504.30000,499.70000,5.47300,5.43059,34.94500,227.53500,20.29920,14.25530,1.38648,-9999.00000,-9999.00000,1.56800,0.75200
32EV19910328,19910328,0000,40.81500,-58.30600,653.10000,647.00000,4.52900,4.47816,34.90900,248.02800,18.55680,12.59580,1.26935,-9999.00000,-9999.00000,2.36100,1.09500
32EV19910328,19910328,0000,40.81500,-58.30600,806.40000,798.50000,4.41600,4.35296,34.95400,257.17300,18.14610,12.00960,1.22048,-9999.00000,-9999.00000,2.09400,0.98500
32EV19910328,19910328,0000,40.81500,-58.30600,907.50000,898.40000,4.38200,4.31058,34.97100,258.91400,18.04340,12.30230,1.23023,-9999.00000,-9999.00000,1.88900,0.89600
32EV19910328,19910328,0000,40.81500,-58.30600,1006.20000,995.90000,4.25300,4.17407,34.97300,260.65700,18.04340,12.59520,1.23023,-9999.00000,-9999.00000,1.46800,0.70600
32EV19910328,19910328,0000,40.81500,-58.30600,1159.80000,1147.50000,3.91200,3.82280,34.93600,269.38200,17.73630,12.20500,1.22050,-9999.00000,-9999.00000,1.83100,0.86100
32EV19910328,19910328,0000,40.81500,-58.30600,1303.10000,1288.80000,3.74000,3.64013,34.92200,273.30800,17.42890,12.00980,1.18146,-9999.00000,-9999.00000,1.86200,0.87300
32EV19910328,19910328,0000,40.81500,-58.30600,1505.80000,1488.60000,3.60800,3.49183,34.91900,276.35900,17.32640,12.40040,1.17169,-9999.00000,-9999.00000,1.70700,0.79800
32EV19910328,19910328,0000,40.81500,-58.30600,1757.70000,1736.60000,3.62500,3.48583,34.94200,272.86800,17.53120,13.18130,1.20097,-9999.00000,-9999.00000,1.05300,0.50500
32EV19910328,19910328,0000,40.81500,-58.30600,2004.80000,1979.60000,3.51600,3.35523,34.95200,270.68600,17.63360,14.64580,1.16190,-9999.00000,-9999.00000,0.66000,0.32500
32EV19910328,19910328,0000,40.81500,-58.30600,2310.20000,2279.50000,3.33900,3.15160,34.95400,268.94200,17.73610,16.69620,1.20096,-9999.00000,-9999.00000,0.37400,0.20100
32EV19910328,19910328,0000,40.81500,-58.30600,2657.90000,2620.50000,2.99900,2.78339,34.93400,274.61300,17.01870,16.30590,1.16192,-9999.00000,-9999.00000,0.73700,0.34700
32EV19910328,19910328,0000,40.81500,-58.30600,3013.00000,2968.10000,2.75900,2.51209,34.93100,272.43400,17.53130,19.82100,1.16192,-9999.00000,-9999.00000,0.44100,0.22300
32EV19910328,19910328,0000,40.81500,-58.30600,3308.70000,3257.20000,2.51700,2.24461,34.91900,272.83300,17.64880,22.63990,1.21214,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32EV19910328,19910328,0000,40.81500,-58.30600,3509.10000,3452.90000,2.38300,2.09245,34.91000,273.31000,17.73660,24.50810,1.24982,-9999.00000,-9999.00000,0.45100,0.22900
32EV19910328,19910328,0000,40.81500,-58.30600,3713.70000,3652.50000,2.29600,1.98541,34.90300,274.18300,17.83930,26.07050,1.26935,-9999.00000,-9999.00000,0.49600,0.24400
32EV19910328,19910328,0000,40.81500,-58.30600,3910.50000,3844.40000,2.26600,1.93432,34.90000,273.31200,17.94180,27.14460,1.18148,-9999.00000,-9999.00000,0.54300,0.27000
32EV19910328,19910328,0000,40.81500,-58.30600,4210.10000,4136.10000,2.25200,1.88648,34.89600,272.00500,18.14690,28.31640,1.23030,-9999.00000,-9999.00000,-9999.00000,-9999.00000
