# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

32L919940204,19940204,0000,-77.12400,-166.14600,36.10000,36.00000,-0.04700,-0.04824,34.29700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32L919940204,19940204,0000,-77.12400,-166.14600,56.20000,56.00000,-1.67100,-1.67216,34.33200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32L919940204,19940204,0000,-77.12400,-166.14600,112.40000,111.00000,-1.75100,-1.75330,34.35400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,4.86600,-9999.00000
32L919940204,19940204,0000,-77.12400,-166.14600,168.00000,166.00000,-1.70100,-1.70462,34.39300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32L919940204,19940204,0000,-77.12400,-166.14600,216.80000,214.00000,-1.66500,-1.66986,34.42200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32L919940204,19940204,0000,-77.12400,-166.14600,214.30000,212.00000,-1.65400,-1.65882,34.42100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32L919940204,19940204,0000,-77.12400,-166.14600,259.30000,256.00000,-1.67300,-1.67892,34.44800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32L919940204,19940204,0000,-77.12400,-166.14600,304.50000,301.00000,-1.79100,-1.79778,34.46500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,5.16900,-9999.00000
32L919940204,19940204,0000,-77.12400,-166.14600,353.60000,350.00000,-1.82500,-1.83296,34.49500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32L919940204,19940204,0000,-77.12400,-166.14600,383.40000,379.00000,-1.84300,-1.85169,34.50800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32L919940204,19940204,0000,-77.12400,-166.14600,413.60000,409.00000,-1.84500,-1.85449,34.51000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,5.18600,-9999.00000
