# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

32NM19800810,19800811,0000,23.20000,-155.73300,0.00000,0.00000,26.55600,26.55600,34.87700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32NM19800810,19800811,0000,23.20000,-155.73300,1.00760,1.00000,26.52000,26.51980,34.88400,210.03000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32NM19800810,19800811,0000,23.20000,-155.73300,2.01521,2.00000,26.41900,26.41850,34.88000,210.90000,0.00000,1.66000,0.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32NM19800810,19800811,0000,23.20000,-155.73300,10.07620,10.00000,25.95800,25.95580,34.90200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32NM19800810,19800811,0000,23.20000,-155.73300,20.15290,20.00000,25.71800,25.71350,34.90500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32NM19800810,19800811,0000,23.20000,-155.73300,30.23010,30.00000,25.63700,25.63030,34.91600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32NM19800810,19800811,0000,23.20000,-155.73300,40.30780,40.00000,25.39700,25.38820,35.04100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32NM19800810,19800811,0000,23.20000,-155.73300,50.38590,50.00000,24.95100,24.94010,35.18600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32NM19800810,19800811,0000,23.20000,-155.73300,75.58320,75.00000,23.61400,23.59830,35.24000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
