# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

32WC20070511,20070514,0814,50.72000,-132.82000,2946.50000,2901.00000,1.60000,1.38616,34.65500,109.70000,39.72710,178.33500,2.77095,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32WC20070511,20070514,0826,50.72000,-132.82000,2502.20000,2466.00000,1.70000,-9999.00000,-9999.00000,84.30000,40.96540,174.74500,2.87245,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32WC20070511,20070514,0838,50.72000,-132.82000,1996.80000,1970.00000,1.90000,-9999.00000,-9999.00000,57.80000,42.99540,172.03900,2.98410,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32WC20070511,20070514,0849,50.72000,-132.82000,1499.60000,1481.00000,2.40000,-9999.00000,-9999.00000,25.50000,45.00510,164.02700,3.12620,-9999.00000,2403.25000,-9999.00000,-9999.00000
32WC20070511,20070514,0904,50.72000,-132.82000,800.80000,792.00000,3.50000,-9999.00000,-9999.00000,12.30000,44.71080,126.54600,3.16680,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32WC20070511,20070514,0912,50.72000,-132.82000,500.30000,495.00000,4.30000,-9999.00000,-9999.00000,32.80000,43.41150,98.59080,3.02470,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32WC20070511,20070514,0916,50.72000,-132.82000,350.40000,347.00000,4.70000,-9999.00000,-9999.00000,62.60000,40.34620,79.39450,2.79125,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32WC20070511,20070514,0920,50.72000,-132.82000,250.90000,249.00000,5.20000,5.18035,33.83500,119.10000,33.86040,61.35250,2.39540,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32WC20070511,20070514,0922,50.72000,-132.82000,199.90000,198.00000,5.50000,5.48396,33.81500,139.00000,31.47510,53.51490,2.23300,2215.90000,-9999.00000,-9999.00000,-9999.00000
32WC20070511,20070514,0924,50.72000,-132.82000,175.30000,174.00000,5.70000,5.68571,33.76500,159.80000,29.38430,48.08290,2.10105,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32WC20070511,20070514,0925,50.72000,-132.82000,150.60000,149.00000,6.00000,5.98741,33.69500,171.80000,27.42530,42.64120,1.99955,2182.10000,-9999.00000,-9999.00000,-9999.00000
32WC20070511,20070514,0927,50.72000,-132.82000,130.50000,129.00000,6.70000,6.68840,33.68500,144.20000,29.30300,44.73640,2.15180,-9999.00000,-9999.00000,-9999.00000,-9999.00000
32WC20070511,20070514,0929,50.72000,-132.82000,109.40000,108.00000,6.90000,6.89017,33.41500,179.20000,24.79640,34.89090,1.88790,2154.20000,2234.21000,-9999.00000,-9999.00000
32WC20070511,20070514,0930,50.72000,-132.82000,89.60000,89.00000,7.00000,6.99194,33.07500,214.40000,20.61470,27.80990,1.66460,-9999.00000,2217.12000,-9999.00000,-9999.00000
32WC20070511,20070514,0931,50.72000,-132.82000,70.20000,70.00000,7.20000,7.19363,32.71500,249.60000,16.14860,21.63100,1.44130,2074.90000,2197.77000,-9999.00000,-9999.00000
32WC20070511,20070514,0933,50.72000,-132.82000,60.40000,60.00000,7.30000,7.29449,32.52500,266.40000,14.10850,19.11870,1.32965,-9999.00000,2188.21000,-9999.00000,-9999.00000
