# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

33KB20020923,20020923,0000,21.50000,-156.99900,1.70000,2.00000,26.87300,26.87260,34.53500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1964.70000,2311.00000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,20.90000,21.00000,26.65000,26.64530,34.50800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1965.80000,2308.60000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,42.30000,42.00000,26.60300,26.59340,34.49500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1968.70000,2310.20000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,61.20000,61.00000,25.65400,25.64050,34.60500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1976.70000,2316.10000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,81.10000,81.00000,24.04900,24.03190,34.71000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1996.90000,2322.80000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,99.80000,99.00000,22.93100,22.91070,34.80800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2009.50000,2327.40000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,121.50000,121.00000,22.11000,22.08590,34.88600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2020.30000,2336.10000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,150.90000,150.00000,21.26200,21.23290,34.91000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2034.70000,2335.30000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,175.80000,175.00000,19.63700,19.60500,34.68900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2058.50000,2317.90000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,199.50000,198.00000,17.74000,17.70620,34.28200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2067.60000,2301.10000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,298.90000,297.00000,12.08600,12.04720,33.75200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2093.10000,2263.90000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,400.10000,397.00000,8.53300,8.49119,33.65900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2183.80000,2275.70000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,499.90000,496.00000,6.73700,6.69118,33.66400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2245.00000,2293.70000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,750.50000,744.00000,4.81200,4.75257,33.96500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2329.60000,2351.50000,-9999.00000,-9999.00000
33KB20020923,20020923,0000,21.50000,-156.99900,1001.10000,993.00000,4.03600,3.96085,33.97200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2347.00000,2375.20000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,1.50000,1.00000,26.52700,26.52670,34.75200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1988.00000,2328.90000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,21.00000,21.00000,26.47700,26.47230,34.74500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1987.20000,2330.00000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,40.60000,40.00000,26.41000,26.40090,34.72400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1992.00000,2326.60000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,60.90000,61.00000,25.26500,25.25170,34.64600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2005.90000,2323.80000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,80.60000,80.00000,22.38400,22.36790,34.61800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2014.00000,2323.80000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,120.80000,120.00000,20.92000,20.89700,34.59100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2021.30000,2319.00000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,150.80000,150.00000,19.54600,19.51870,34.46000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2025.00000,2309.80000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,175.60000,174.00000,17.14100,17.11200,34.12100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2037.80000,2284.10000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,201.50000,200.00000,15.75500,15.72370,33.93900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2045.80000,2278.50000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,299.80000,298.00000,11.88700,11.84850,33.64100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2079.30000,2249.30000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,400.70000,398.00000,9.47300,9.42845,33.47900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2126.70000,2267.40000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,500.80000,497.00000,7.28600,7.23822,33.40100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2193.60000,2276.80000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,750.20000,744.00000,4.87400,4.81464,33.64000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2326.30000,2336.30000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,999.70000,991.00000,3.81700,3.74391,33.81800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2346.00000,2370.00000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,1.20000,1.00000,26.43600,26.43570,34.66000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1981.40000,2332.00000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,20.90000,21.00000,26.44200,26.43730,34.64300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1981.10000,2337.50000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,40.60000,40.00000,26.43400,26.42480,34.68500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1982.50000,2333.30000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,61.10000,61.00000,24.25300,24.24010,34.69700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1992.80000,2332.10000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,80.90000,80.00000,22.48200,22.46580,34.61400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2002.20000,2330.30000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,100.90000,100.00000,21.26800,21.24860,34.58900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2017.50000,2328.40000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,120.90000,120.00000,20.57300,20.55030,34.57400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2024.90000,2326.70000,-9999.00000,-9999.00000
33KB20020923,20020924,0000,23.50000,-156.99800,149.30000,148.00000,19.52500,19.49800,34.46300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2024.10000,2315.90000,-9999.00000,-9999.00000
33KB20020923,20020927,0000,25.00000,-154.50000,3.60000,4.00000,26.01500,26.01420,35.28100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1979.90000,2321.10000,-9999.00000,-9999.00000
33KB20020923,20020927,0000,25.00000,-154.50000,21.70000,22.00000,26.02100,26.01620,35.28200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1979.70000,2319.00000,-9999.00000,-9999.00000
33KB20020923,20020927,0000,25.00000,-154.50000,40.50000,40.00000,26.02800,26.01900,35.28600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1979.40000,2322.10000,-9999.00000,-9999.00000
33KB20020923,20020927,0000,25.00000,-154.50000,60.10000,60.00000,26.03300,26.01960,35.28000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1980.40000,2323.00000,-9999.00000,-9999.00000
33KB20020923,20020927,0000,25.00000,-154.50000,80.30000,80.00000,22.77400,22.75770,35.29700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2001.10000,2324.80000,-9999.00000,-9999.00000
33KB20020923,20020927,0000,25.00000,-154.50000,100.70000,100.00000,21.50400,21.48440,35.32400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2020.80000,2323.90000,-9999.00000,-9999.00000
33KB20020923,20020927,0000,25.00000,-154.50000,120.50000,120.00000,20.86700,20.84400,35.28000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2029.70000,2316.30000,-9999.00000,-9999.00000
