# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

33LG20090916,20090918,0448,-55.00000,-64.09800,957.80000,946.90000,3.56900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,20.75000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33LG20090916,20090918,0452,-55.00000,-64.09800,859.70000,850.20000,3.66600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,15.82000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33LG20090916,20090918,0454,-55.00000,-64.09800,803.20000,794.40000,3.75300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,13.25000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33LG20090916,20090918,0500,-55.00000,-64.09800,606.50000,600.20000,4.00500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,11.71000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33LG20090916,20090918,0503,-55.00000,-64.09800,506.00000,500.80000,4.16100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,10.99000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33LG20090916,20090918,0507,-55.00000,-64.09800,408.10000,404.00000,4.56100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,8.42000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33LG20090916,20090918,0510,-55.00000,-64.09800,304.20000,301.20000,4.68600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,7.29000,-9999.00000,2125.20000,-9999.00000,-9999.00000,-9999.00000
33LG20090916,20090918,0513,-55.00000,-64.09800,228.00000,225.80000,5.01400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,6.26000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33LG20090916,20090918,0514,-55.00000,-64.09800,199.10000,197.20000,5.28800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,5.13000,-9999.00000,2112.50000,-9999.00000,-9999.00000,-9999.00000
