# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

33LK19960415,19960416,0000,5.68120,-51.56000,2.00000,2.00000,27.80220,27.80170,35.50860,198.48800,0.07000,2.11680,0.00000,2005.10000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.68120,-51.56000,38.70000,38.00000,27.25680,27.24780,36.19710,195.07000,0.55000,1.35240,0.00000,2033.00000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.68120,-51.56000,70.10000,70.00000,26.87340,26.85730,36.25220,194.36700,0.80000,1.45040,0.02000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.68120,-51.56000,70.50000,70.00000,26.87030,26.85410,36.25190,194.66900,0.82000,1.43080,0.01000,2054.00000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.83750,-51.41720,1.70000,2.00000,27.88870,27.88830,36.13740,198.58800,0.00000,1.06820,0.00000,2017.80000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.83750,-51.41720,69.00000,69.00000,27.87910,27.86280,36.28390,198.18600,0.00000,0.98980,0.00000,2045.90000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.83750,-51.41720,129.10000,128.00000,18.94320,18.92010,36.04810,170.24700,7.95000,3.99840,0.58000,2147.20000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.83750,-51.41720,199.10000,198.00000,12.63380,12.60690,35.24860,140.09700,19.18000,10.50560,1.30000,2179.50000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.83750,-51.41720,200.20000,199.00000,12.63010,12.60300,35.24400,139.49400,19.31000,10.54480,1.31000,2176.60000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.83750,-51.41720,254.20000,253.00000,10.06000,10.03030,35.01260,129.84600,23.34000,13.27900,1.58000,2181.60000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.85080,-51.40920,3.00000,3.00000,28.00030,27.99960,36.17420,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.85080,-51.40920,48.30000,48.00000,27.93670,27.92530,36.27820,198.28600,0.01000,0.98980,0.00000,2034.00000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.85080,-51.40920,99.60000,99.00000,23.95160,23.93060,36.32030,184.31700,3.51000,2.38140,0.24000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.85080,-51.40920,150.40000,150.00000,16.28760,16.26340,35.63850,161.70400,12.79000,6.27200,0.84000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33LK19960415,19960416,0000,5.85080,-51.40920,249.40000,248.00000,9.78730,9.75869,34.93610,132.35900,25.43000,13.76900,1.58000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
