# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

33MW19900222,19900223,0000,-14.88670,-170.14200,2998.60000,2960.02000,1.70800,1.48673,34.67300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900223,0000,-14.88670,-170.14200,3006.10000,2967.37000,1.70600,1.48405,34.67300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900223,0000,-14.99170,-170.01000,3.60000,3.57893,28.21400,28.21310,35.53100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900223,0000,-14.99170,-170.01000,18.20000,18.09280,28.15200,28.14770,35.53100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900223,0000,-14.99170,-170.01000,39.00000,38.76840,28.04300,28.03380,35.52200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900223,0000,-14.99170,-170.01000,58.50000,58.14980,27.68500,27.67130,35.51500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900223,0000,-14.99170,-170.01000,78.00000,77.52940,27.50200,27.48380,35.55000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900223,0000,-14.99170,-170.01000,98.10000,97.50340,26.77100,26.74860,35.64100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900223,0000,-14.99170,-170.01000,122.30000,121.54900,24.87000,24.84350,35.94100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900223,0000,-14.99170,-170.01000,148.40000,147.48000,23.87500,23.84370,36.10500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900223,0000,-14.99170,-170.01000,173.00000,171.91700,22.66700,22.63190,35.88800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900223,0000,-14.99170,-170.01000,197.00000,195.75500,21.98600,21.94680,35.98200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900224,0000,-15.00170,-170.00500,3.00000,2.98244,28.19700,28.19630,35.52500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900224,0000,-15.00170,-170.00500,47.70000,47.41570,27.71500,27.70380,35.52100,-9999.00000,0.39100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19900222,19900224,0000,-15.00170,-170.00500,97.60000,97.00660,26.60700,26.58480,35.67000,-9999.00000,0.39100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
