# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.70000,2473.00000,3.01500,2.81459,34.93900,250.55400,20.55370,29.06900,1.47290,2178.13000,-9999.00000,0.01700,0.01400
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.90000,2473.00000,3.01800,2.81752,34.93800,250.30500,20.68570,29.09980,1.40080,-9999.00000,-9999.00000,0.01700,0.01000
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.00000,2472.00000,3.01700,2.81663,34.93800,-9999.00000,20.54360,29.19200,1.42140,2176.84000,-9999.00000,0.01700,0.01600
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2502.60000,2473.00000,3.01600,2.81549,34.93700,-9999.00000,20.39130,29.17150,1.39050,-9999.00000,-9999.00000,0.02400,0.01600
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.10000,2472.00000,3.01600,2.81564,34.93800,250.30500,20.83790,29.20220,1.41110,2174.92000,-9999.00000,0.02400,0.03000
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.20000,2472.00000,3.01600,2.81563,34.93700,250.49300,20.67560,29.28430,1.41110,2175.57000,-9999.00000,0.01100,0.00900
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.90000,2473.00000,3.01600,2.81554,34.94200,250.30500,20.57410,27.74670,1.39050,2174.88000,-9999.00000,0.01400,0.01000
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.20000,2472.00000,3.01600,-9999.00000,34.93700,250.49300,20.82780,29.20220,1.40080,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.80000,2473.00000,3.01700,-9999.00000,34.94300,250.38400,20.64510,29.18170,1.43170,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.90000,2473.00000,3.01700,2.81654,34.93800,250.30500,20.85820,29.37650,1.44200,2174.70000,-9999.00000,0.01700,0.01500
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2502.60000,2473.00000,3.01600,2.81549,34.93800,250.75600,21.35560,29.41750,1.41110,2174.44000,-9999.00000,0.02400,0.01400
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.10000,2472.00000,3.01800,2.81760,34.93900,250.30500,20.66540,29.19200,1.40080,-9999.00000,-9999.00000,0.01000,0.00600
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2502.30000,2473.00000,3.01900,2.81845,34.94000,252.08900,21.96460,29.32530,1.28750,2174.60000,-9999.00000,0.02300,0.01100
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.50000,2472.00000,3.01900,2.81854,34.93900,250.75600,20.57410,29.35600,1.40080,2167.62000,-9999.00000,0.03700,0.01500
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.80000,2473.00000,3.01700,2.81653,34.94300,250.38400,20.92930,29.13050,1.40080,2175.01000,-9999.00000,0.01400,0.01600
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2502.60000,2473.00000,3.01900,2.81843,34.93800,-9999.00000,20.84810,29.31500,1.45230,2170.66000,-9999.00000,0.01600,0.01500
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.20000,2472.00000,3.02000,2.81955,34.93800,250.49300,20.69590,29.29450,1.39050,2174.47000,-9999.00000,0.03500,0.02200
33MW19930704.1,19930706,0000,-4.59550,-28.87880,2501.70000,2473.00000,3.02000,2.81950,34.94000,250.55400,20.52330,29.15100,1.39050,2174.82000,-9999.00000,0.02200,0.01700
33MW19930704.1,19930706,0000,-4.59550,-28.87880,499.20000,495.00000,6.86100,6.81403,34.60800,-9999.00000,36.43850,21.96570,2.21450,2224.36000,-9999.00000,0.12700,0.07500
33MW19930704.1,19930706,0000,-4.59550,-28.87880,498.70000,495.00000,6.88100,6.83401,34.60500,-9999.00000,35.74830,21.76070,2.31750,2225.79000,-9999.00000,0.25900,0.07900
33MW19930704.1,19930706,0000,-4.59550,-28.87880,248.70000,247.00000,10.12500,10.09590,34.90400,-9999.00000,25.32420,11.96180,1.72010,2181.74000,-9999.00000,0.85200,0.42500
