# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

33PY19960913,19960913,0000,75.30000,-171.33300,56.00000,55.00000,-9999.00000,-9999.00000,31.99100,-9999.00000,4.27800,20.59400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960913,0000,75.30000,-171.33300,132.00000,131.00000,-9999.00000,-9999.00000,34.29900,-9999.00000,6.18000,11.54600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960913,0000,75.30000,-171.33300,235.00000,232.00000,-9999.00000,-9999.00000,34.74500,-9999.00000,-9999.00000,6.70000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960914,0000,76.91700,-167.61700,56.00000,55.00000,-9999.00000,-9999.00000,32.33900,-9999.00000,6.15200,25.70200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960914,0000,76.91700,-167.61700,132.00000,131.00000,-9999.00000,-9999.00000,33.83100,-9999.00000,4.49200,39.16900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960914,0000,76.91700,-167.61700,235.00000,232.00000,-9999.00000,-9999.00000,34.69200,-9999.00000,-9999.00000,8.62400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960914,0000,78.13800,-168.85000,56.00000,55.00000,-9999.00000,-9999.00000,32.19600,-9999.00000,8.52600,24.24500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960914,0000,78.13800,-168.85000,132.00000,131.00000,-9999.00000,-9999.00000,33.86800,-9999.00000,6.14200,20.58400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960915,0000,79.83300,-173.78300,104.00000,103.00000,-9999.00000,-9999.00000,33.95400,-9999.00000,2.94100,5.45100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960915,0000,79.83300,-173.80000,55.00000,54.00000,-9999.00000,-9999.00000,31.81900,-9999.00000,2.90100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960915,0000,79.83300,-173.80000,132.00000,131.00000,-9999.00000,-9999.00000,34.12100,-9999.00000,4.26100,4.92400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960915,0000,79.83300,-173.80000,235.00000,232.00000,-9999.00000,-9999.00000,34.65000,-9999.00000,-9999.00000,5.38400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960916,0000,79.35000,-169.11700,55.00000,54.00000,-9999.00000,-9999.00000,31.72800,-9999.00000,0.40800,18.22300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960916,0000,79.35000,-169.11700,104.00000,103.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,5.54600,14.69000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960917,0000,79.21700,-171.35000,3.00000,3.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.21000,11.79800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960917,0000,79.21700,-171.35000,55.00000,54.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2.67100,20.21100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960917,0000,79.21700,-171.35000,132.00000,131.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.78100,6.55900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960917,0000,79.21700,-171.35000,235.00000,232.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,7.94900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960917,0000,79.20000,-171.36700,55.00000,54.00000,-9999.00000,-9999.00000,31.61700,-9999.00000,0.24200,18.40400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960917,0000,79.20000,-171.36700,132.00000,131.00000,-9999.00000,-9999.00000,34.21000,-9999.00000,3.90300,4.39300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960917,0000,79.20000,-171.36700,235.00000,232.00000,-9999.00000,-9999.00000,34.70800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960917,0000,79.66700,-170.31700,55.00000,54.00000,-9999.00000,-9999.00000,31.90800,-9999.00000,6.52000,23.02000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960917,0000,79.66700,-170.31700,104.00000,103.00000,-9999.00000,-9999.00000,33.76300,-9999.00000,1.72600,11.31200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960918,0000,82.86700,-169.48300,55.00000,54.00000,-9999.00000,-9999.00000,31.68900,-9999.00000,3.15400,15.84300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960918,0000,82.86700,-169.48300,132.00000,131.00000,-9999.00000,-9999.00000,34.21500,-9999.00000,3.12800,6.36700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960918,0000,84.23300,-169.65000,132.00000,131.00000,-9999.00000,-9999.00000,34.30300,-9999.00000,11.05600,9.96600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960918,0000,85.90000,-169.83300,132.00000,131.00000,-9999.00000,-9999.00000,34.23600,-9999.00000,5.90900,10.21800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960918,0000,85.93300,-169.83300,55.00000,54.00000,-9999.00000,-9999.00000,33.48700,-9999.00000,2.17200,9.23400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960918,0000,85.75000,-169.75000,55.00000,54.00000,-9999.00000,-9999.00000,33.57900,-9999.00000,1.99500,6.31700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960919,0000,85.58300,-169.68300,55.00000,54.00000,-9999.00000,-9999.00000,33.37200,-9999.00000,7.23300,18.57300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960919,0000,85.58300,-169.78300,235.00000,232.00000,-9999.00000,-9999.00000,34.73400,-9999.00000,9.00600,6.66400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960919,0000,85.65000,-169.68300,235.00000,232.00000,-9999.00000,-9999.00000,34.72600,-9999.00000,8.92900,8.06700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960919,0000,85.90000,-169.71700,235.00000,232.00000,-9999.00000,-9999.00000,34.74300,-9999.00000,6.92700,4.63400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,15.00000,15.00000,-1.73000,-1.73022,31.69000,372.20000,1.52900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,40.00000,40.00000,-1.74000,-1.74068,32.89000,355.50000,2.75000,19.23500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,55.00000,54.00000,-1.76000,-1.76097,33.23300,354.20000,2.96200,14.86800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,100.00000,99.00000,-1.67000,-1.67204,34.02500,332.20000,6.39800,7.05300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,135.00000,134.00000,-0.96000,-0.96372,34.33000,308.80000,7.20000,6.34000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,180.00000,178.00000,0.47000,0.46268,34.60100,305.00000,8.32600,6.48100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,235.00000,232.00000,1.25000,1.23871,34.80400,312.80000,9.22100,7.12900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,275.00000,272.00000,1.49000,1.47612,34.86300,305.80000,9.02200,6.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,300.00000,297.00000,1.36000,1.34512,34.85500,-9999.00000,-9999.00000,4.97900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,400.00000,395.00000,0.96000,0.94112,34.86900,306.20000,-9999.00000,6.50600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,600.00000,593.00000,0.43000,0.40325,34.86800,-9999.00000,-9999.00000,7.16700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,800.00000,790.00000,0.04000,0.00549,34.87000,305.50000,-9999.00000,8.11600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,1000.00000,987.00000,-0.17000,-0.21321,34.87700,305.70000,-9999.00000,9.31100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,1300.00000,1282.00000,-0.37000,-0.42755,34.89500,305.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.10300,-44.00000,1600.00000,1577.00000,-0.51000,-0.58333,34.92400,301.20000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.07900,-44.60400,55.00000,54.00000,-9999.00000,-9999.00000,33.22200,355.60000,3.96500,9.66000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.07900,-44.60400,132.00000,131.00000,-9999.00000,-9999.00000,34.26900,310.70000,7.32600,7.63500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960920,0000,88.07900,-44.60400,235.00000,232.00000,-9999.00000,-9999.00000,34.78400,294.20000,-9999.00000,7.06700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,5.00000,5.00000,-1.62000,-1.62007,31.17700,368.10000,0.07200,13.65100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,38.00000,38.00000,-1.68000,-1.68053,31.08600,382.80000,1.12100,13.33500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,55.00000,54.00000,-1.62000,-1.62088,31.76800,-9999.00000,3.16400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,75.00000,74.00000,-1.38000,-1.38152,32.74000,284.70000,10.03600,28.63000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,110.00000,109.00000,-1.56000,-1.56232,33.79300,291.20000,7.67500,13.10600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,132.00000,131.00000,-1.40000,-1.40308,34.12500,297.60000,9.31900,8.79300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,235.00000,232.00000,0.16000,0.15089,34.70300,-9999.00000,-9999.00000,13.16800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,350.00000,346.00000,0.48000,0.46506,34.82600,-9999.00000,-9999.00000,7.08200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,600.00000,593.00000,0.33000,0.30375,34.86900,-9999.00000,12.92300,7.11300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,800.00000,790.00000,0.05000,0.01541,34.87700,-9999.00000,13.30500,7.41900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,1000.00000,987.00000,-0.13000,-0.17356,34.89400,-9999.00000,12.11100,8.14500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,1300.00000,1282.00000,-0.29000,-0.34842,34.90800,-9999.00000,12.72700,11.15100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.80700,-94.35700,1600.00000,1577.00000,-0.39000,-0.46490,34.93500,294.70000,13.06200,12.92800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.76100,-94.64800,55.00000,54.00000,-9999.00000,-9999.00000,31.69500,356.80000,6.05900,19.00200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.76100,-94.64800,132.00000,131.00000,-9999.00000,-9999.00000,34.06400,285.70000,3.66300,16.32400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960921,0000,87.76100,-94.64800,235.00000,232.00000,-9999.00000,-9999.00000,34.66100,295.50000,8.35100,8.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960922,0000,85.84700,-108.58400,55.00000,54.00000,-9999.00000,-9999.00000,31.60100,381.20000,1.89400,11.76500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960922,0000,85.84700,-108.58400,93.00000,92.00000,-9999.00000,-9999.00000,32.53400,254.80000,7.04600,24.78900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960922,0000,85.84700,-108.58400,118.00000,117.00000,-9999.00000,-9999.00000,33.16900,262.28400,12.55900,33.83300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960922,0000,85.84700,-108.58400,156.00000,154.00000,-9999.00000,-9999.00000,33.82100,274.20000,6.09600,30.18600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960922,0000,85.84700,-108.58400,208.00000,206.00000,-9999.00000,-9999.00000,34.42600,286.70000,6.88300,18.11800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960922,0000,85.84700,-108.58400,235.00000,232.00000,-9999.00000,-9999.00000,34.55800,289.20000,7.29800,18.13500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,5.00000,5.00000,-1.67000,-1.67007,31.14800,389.50000,1.07900,10.01400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,30.00000,30.00000,-1.70000,-1.70042,31.14800,389.70000,0.82800,9.84800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,55.00000,54.00000,-1.62000,-1.62088,31.73300,345.50000,4.40900,14.38100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,80.00000,79.00000,-1.24000,-1.24167,32.38900,237.60000,7.94900,35.76700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,115.00000,114.00000,-1.47000,-1.47262,34.25700,247.60000,5.12300,39.77800,-9999.00000,-9999.00000,-9999.00000,5.94800,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,132.00000,131.00000,-1.47000,-1.47289,33.71500,278.20000,3.53400,25.94600,-9999.00000,-9999.00000,-9999.00000,4.96000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,150.00000,148.00000,-1.28000,-1.28367,34.09000,285.70000,3.73700,16.85600,-9999.00000,-9999.00000,-9999.00000,3.77900,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,190.00000,188.00000,-0.60000,-0.60596,34.43100,287.00000,12.17400,11.02100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,200.00000,198.00000,-0.46000,-9999.00000,34.47080,286.30900,11.09780,12.24630,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,235.00000,232.00000,-0.10000,-0.10854,34.59500,284.00000,7.33100,16.53500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,300.00000,297.00000,0.30000,0.28781,34.76900,288.70000,-9999.00000,15.11800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,400.00000,395.00000,0.40000,0.38300,34.83800,-9999.00000,11.49300,8.82700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,600.00000,593.00000,0.29000,0.26395,34.86100,301.20000,-9999.00000,8.69500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,800.00000,790.00000,0.05000,0.01540,34.88300,300.72600,-9999.00000,9.19500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,1000.00000,987.00000,-0.11000,-0.15373,34.89500,299.80000,-9999.00000,8.23300,-9999.00000,-9999.00000,-9999.00000,0.04100,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,1300.00000,1282.00000,-0.28000,-0.33855,34.91900,301.70000,11.96300,10.96900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960923,0000,86.47300,-117.63500,1600.00000,1577.00000,-0.35000,-0.42540,34.92900,296.50000,-9999.00000,12.14500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,5.00000,5.00000,-1.66000,-1.66006,30.54100,400.10000,0.04800,6.03600,-9999.00000,-9999.00000,-9999.00000,7.55900,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,45.00000,45.00000,-1.58000,-1.58062,30.53800,401.70000,0.01000,4.39900,-9999.00000,-9999.00000,-9999.00000,7.56700,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,55.00000,54.00000,-1.51000,-1.51090,31.44000,352.60000,3.76100,13.47600,-9999.00000,-9999.00000,-9999.00000,7.14400,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,80.00000,79.00000,-1.25000,-1.25163,32.20100,296.60000,4.26900,29.95100,-9999.00000,-9999.00000,-9999.00000,6.27100,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,105.00000,104.00000,-1.39000,-1.39213,32.65000,192.60000,0.36400,38.82100,-9999.00000,-9999.00000,-9999.00000,6.29400,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,132.00000,131.00000,-1.46000,-1.46275,33.10300,269.70000,12.63300,31.16200,-9999.00000,-9999.00000,-9999.00000,5.94200,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,175.00000,173.00000,-1.09000,-1.09463,34.13800,273.70000,-9999.00000,15.29500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,200.00000,198.00000,-0.60000,-0.60628,34.41400,273.10000,-9999.00000,11.30600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,235.00000,232.00000,-0.20000,-0.20833,34.55500,270.60000,11.53000,14.89600,-9999.00000,-9999.00000,-9999.00000,0.53800,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,300.00000,297.00000,0.17000,0.15815,34.74900,-9999.00000,10.09600,11.35100,-9999.00000,-9999.00000,-9999.00000,0.14800,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,400.00000,395.00000,0.37000,0.35310,34.83700,-9999.00000,-9999.00000,8.07100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,600.00000,593.00000,0.33000,0.30374,34.87200,-9999.00000,-9999.00000,7.91300,-9999.00000,-9999.00000,-9999.00000,0.12700,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,800.00000,790.00000,0.10000,0.06507,34.88700,-9999.00000,-9999.00000,9.51600,-9999.00000,-9999.00000,-9999.00000,0.17200,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,1000.00000,987.00000,-0.08000,-0.12399,34.90200,-9999.00000,-9999.00000,7.78000,-9999.00000,-9999.00000,-9999.00000,0.12800,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,1300.00000,1282.00000,-0.27000,-0.32863,34.90900,299.10000,-9999.00000,11.53300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960924,0000,84.84000,-130.19900,1600.00000,1577.00000,-0.37000,-0.44513,34.92500,-9999.00000,-9999.00000,7.72600,-9999.00000,-9999.00000,-9999.00000,0.09300,-9999.00000
33PY19960913,19960926,0000,83.22800,-136.39900,5.00000,5.00000,-1.64000,-1.64006,30.13800,403.20000,0.04400,5.59200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33PY19960913,19960926,0000,83.22800,-136.39900,38.00000,38.00000,-1.59000,-1.59049,30.15800,407.10000,0.01100,5.95000,-9999.00000,-9999.00000,-9999.00000,8.05000,-9999.00000
