# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

33RO20070710,20070711,0419,28.99790,-94.99940,13.60000,13.50000,26.61400,26.61090,36.00780,115.40000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RO20070710,20070711,0419,28.99790,-94.99940,13.50000,13.40000,26.62400,26.62090,35.99580,116.83400,1.54500,14.20000,0.48020,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RO20070710,20070711,0420,28.99790,-94.99940,13.60000,13.50000,26.61800,26.61490,36.00280,117.17900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RO20070710,20070711,0420,28.99790,-94.99940,13.50000,13.40000,26.62500,26.62190,35.98000,117.17900,1.54500,14.20000,0.48020,-9999.00000,2416.60000,-9999.00000,-9999.00000
33RO20070710,20070711,0420,28.99790,-94.99940,13.50000,13.40000,26.62200,26.61890,35.99880,117.40900,1.54500,14.20000,0.48020,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RO20070710,20070711,0420,28.99790,-94.99940,13.50000,13.50000,26.62300,26.61990,35.99680,116.72000,1.54500,14.20000,0.48020,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RO20070710,20070711,0420,28.99790,-94.99940,13.60000,13.50000,26.62200,26.61890,35.99880,116.37500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RO20070710,20070711,0420,28.99790,-94.99940,13.50000,13.40000,26.62000,26.61690,36.00080,116.83400,1.54500,14.20000,0.48020,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RO20070710,20070711,0420,28.99790,-94.99940,13.50000,13.40000,26.62100,26.61790,35.99980,117.75400,1.54500,14.20000,0.48020,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RO20070710,20070711,0421,28.99790,-94.99940,13.50000,13.40000,26.62000,26.61690,36.00080,117.40900,1.54500,14.20000,0.48020,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RO20070710,20070711,0421,28.99790,-94.99940,13.50000,13.40000,26.61800,26.61490,36.00180,117.29400,1.54500,14.20000,0.48020,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RO20070710,20070711,0423,28.99790,-94.99940,4.00000,4.00000,29.07200,29.07100,30.14720,219.50000,0.00000,7.70000,0.15680,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RO20070710,20070711,0424,28.99790,-94.99940,4.10000,4.10000,29.07600,29.07500,30.14520,233.79200,0.01626,7.76842,0.16020,-9999.00000,-9999.00000,-9999.00000,-9999.00000
