# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

33RR20070204,20070215,1442,-65.81080,84.55020,3.00000,3.00000,-1.10660,-1.10667,33.46400,352.90000,22.66000,53.64000,1.58000,2121.40000,2271.30000,6.06300,3.27800
33RR20070204,20070215,1442,-65.81080,84.55020,3.00000,3.00000,-1.11120,-1.11127,33.46420,352.90000,22.66000,53.64000,1.58000,2121.30000,2271.60000,6.05500,3.26700
33RR20070204,20070215,1442,-65.81080,84.55020,27.00000,27.00000,-0.93210,-0.93280,33.87360,343.50000,24.04000,57.82000,1.72000,2153.20000,2299.60000,5.79500,3.13800
33RR20070204,20070215,1442,-65.81080,84.55020,52.20000,52.00000,-1.41750,-1.41866,34.06530,326.60000,27.10000,61.02000,1.94000,2184.30000,2308.90000,5.61900,2.98300
33RR20070204,20070215,1442,-65.81080,84.55020,77.40000,77.00000,-1.75550,-1.75704,34.25290,318.80000,29.42000,63.61000,2.06000,2206.20000,2316.70000,5.48600,2.91400
33RR20070204,20070215,1442,-65.81080,84.55020,102.60000,102.00000,-1.78210,-1.78415,34.28610,319.10000,29.67000,63.80000,2.07000,2209.20000,2319.80000,5.50800,2.91000
33RR20070204,20070215,1442,-65.81080,84.55020,152.70000,151.00000,-1.76720,-1.77037,34.34000,318.90000,30.01000,64.40000,2.07000,2213.30000,2322.30000,5.48700,2.90600
33RR20070204,20070215,1442,-65.81080,84.55020,203.00000,201.00000,-1.81990,-1.82412,34.35800,322.40000,29.95000,63.80000,2.06000,2213.50000,2324.30000,5.68300,2.98700
33RR20070204,20070215,1442,-65.81080,84.55020,253.10000,250.00000,-1.72620,-1.73180,34.37410,318.20000,30.11000,65.60000,2.08000,2215.70000,2325.50000,5.42200,2.89300
33RR20070204,20070215,1442,-65.81080,84.55020,303.30000,300.00000,-1.57460,-1.58188,34.40250,310.80000,30.36000,67.61000,2.09000,2218.40000,2326.80000,5.19000,2.81100
33RR20070204,20070215,1442,-65.81080,84.55020,353.60000,350.00000,-1.65260,-1.66103,34.41370,315.30000,30.33000,67.20000,2.09000,2218.90000,2327.70000,5.22200,2.74400
33RR20070204,20070215,1442,-65.81080,84.55020,353.70000,350.00000,-1.65310,-1.66153,34.40940,315.29800,30.33000,67.20030,2.09000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RR20070204,20070215,1442,-65.81080,84.55020,403.80000,399.00000,-1.61850,-1.62845,34.41710,314.30000,30.32000,67.40000,2.09000,2218.10000,2327.90000,5.28900,2.80900
33RR20070204,20070215,1442,-65.81080,84.55020,403.90000,400.00000,-1.61830,-1.62825,34.41510,314.29900,30.32000,67.40010,2.09000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
33RR20070204,20070215,1442,-65.81080,84.55020,439.00000,434.00000,-1.61120,-1.62219,34.42000,314.00000,30.38000,67.40000,2.09000,2218.90000,2329.00000,5.25000,2.81800
33RR20070204,20070215,1442,-65.81080,84.55020,439.10000,434.00000,-1.60990,-1.62090,34.41670,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2222.40000,2328.50000,5.25400,2.80300
33RR20070204,20070215,1739,-65.76820,84.52780,2.90000,3.00000,-1.35120,-1.35126,33.36350,-9999.00000,22.32000,53.06000,1.59000,2114.40000,2265.20000,5.98000,3.27100
33RR20070204,20070215,1739,-65.76820,84.52780,39.00000,39.00000,-0.58730,-0.58843,33.91790,350.60000,23.60000,56.62000,1.67000,2151.10000,2301.60000,5.84800,3.20800
33RR20070204,20070215,1739,-65.76820,84.52780,73.80000,73.00000,-1.68720,-1.68871,34.21110,315.50000,28.99000,63.21000,2.06000,2202.90000,2314.60000,5.22500,2.81600
33RR20070204,20070215,1739,-65.76820,84.52780,94.30000,93.00000,-1.74090,-1.74281,34.26760,315.10000,29.55000,64.01000,2.08000,2206.90000,2316.40000,5.25600,2.84400
33RR20070204,20070215,1739,-65.76820,84.52780,124.40000,123.00000,-1.73970,-1.74226,34.30050,311.10000,30.07000,64.61000,2.10000,2210.60000,2319.10000,5.04400,2.79800
33RR20070204,20070215,1739,-65.76820,84.52780,144.30000,143.00000,-1.70870,-1.71175,34.31990,309.10000,30.09000,65.21000,2.10000,2212.00000,2321.00000,4.94000,2.66900
33RR20070204,20070215,1739,-65.76820,84.52780,174.50000,173.00000,-1.64150,-1.64535,34.34250,306.70000,30.39000,65.41000,2.10000,2214.00000,2322.10000,4.93400,2.65500
33RR20070204,20070215,1739,-65.76820,84.52780,224.80000,222.00000,-1.82340,-1.82812,34.35160,321.30000,30.00000,63.61000,2.07000,2212.40000,2323.60000,5.49200,2.96800
33RR20070204,20070215,1739,-65.76820,84.52780,274.80000,272.00000,-1.52980,-1.53642,34.38490,304.70000,30.32000,66.81000,2.10000,2217.80000,2326.00000,4.88200,2.65700
33RR20070204,20070215,1739,-65.76820,84.52780,325.00000,322.00000,-1.16390,-1.17294,34.42690,289.80000,30.61000,70.41000,2.13000,2223.30000,2328.80000,4.32800,2.34100
33RR20070204,20070215,1739,-65.76820,84.52780,375.10000,371.00000,-1.11300,-1.12379,34.45010,293.20000,30.61000,70.61000,2.12000,2224.20000,2330.70000,4.36400,2.38900
33RR20070204,20070215,1739,-65.76820,84.52780,425.80000,421.00000,-0.63900,-0.65321,34.50410,271.30000,30.89000,75.61000,2.14000,2232.50000,2333.80000,3.60200,1.93000
33RR20070204,20070215,1739,-65.76820,84.52780,475.90000,471.00000,-0.14950,-0.16762,34.56060,252.20000,30.99000,81.03000,2.15000,2237.30000,2340.10000,2.80300,1.48900
