# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

33SW20030418,20030419,0000,11.55600,-56.47700,2.00000,2.00000,27.55000,27.54950,33.72300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1838.72000,2239.64000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,20.50000,20.00000,26.81000,26.80530,35.93500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2009.02000,2365.00000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,40.50000,40.00000,26.75000,26.74070,36.00700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2011.72000,2367.25000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,60.50000,60.00000,26.23000,26.21640,36.10400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2019.36000,2372.25000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,80.50000,80.00000,25.91000,25.89200,36.04600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2018.11000,2367.96000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,102.60000,102.00000,26.03000,26.00700,36.43500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2057.26000,2391.91000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,120.50000,120.00000,24.21000,24.18430,36.91200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2102.74000,2419.94000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,149.50000,149.00000,21.27000,21.24090,36.75800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2142.47000,2409.39000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,177.50000,176.00000,18.85000,18.81820,36.54600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2149.85000,2394.91000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,201.50000,200.00000,17.21000,17.17620,36.25100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2159.23000,2376.81000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,297.50000,296.00000,12.29000,12.25020,35.43700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2186.60000,2352.27000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,402.00000,399.00000,9.59000,9.54405,35.00200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2203.33000,2313.35000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,502.50000,499.00000,7.90000,7.84868,34.76900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2212.19000,2308.07000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,751.50000,746.00000,5.86000,5.79367,34.62000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2224.47000,2308.51000,-9999.00000,-9999.00000
33SW20030418,20030419,0000,11.55600,-56.47700,998.00000,990.00000,5.07000,4.98600,34.70700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2215.92000,2310.98000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,2.00000,2.00000,27.28000,27.27950,32.44400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1792.85000,2162.75000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,20.20000,20.00000,26.93000,26.92540,35.67800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1998.32000,2352.71000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,60.50000,60.00000,26.52000,26.50630,36.09400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2018.82000,2375.42000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,79.00000,79.00000,26.11000,26.09230,36.10700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2023.68000,2378.69000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,100.50000,100.00000,25.55000,25.52770,36.66100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2069.22000,2391.68000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,119.50000,119.00000,23.52000,23.49500,36.94100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2106.13000,2425.21000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,151.50000,151.00000,19.31000,19.28240,36.49100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2157.94000,2394.80000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,175.50000,174.00000,18.27000,18.23930,36.38600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2164.38000,2385.02000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,202.50000,201.00000,16.57000,16.53690,36.16900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2157.25000,2373.32000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,300.80000,299.00000,10.99000,10.95270,35.15900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2192.33000,2324.16000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,401.00000,398.00000,8.79000,8.74661,34.84800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2205.19000,2310.78000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,501.50000,498.00000,7.41000,7.36067,34.70000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2213.96000,2306.17000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,749.50000,744.00000,5.66000,5.59504,34.58000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2223.87000,2307.84000,-9999.00000,-9999.00000
33SW20030418,20030420,0000,11.30100,-54.55300,999.50000,991.00000,5.09000,5.00575,34.68300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2216.56000,2314.91000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,1.50000,1.00000,26.68000,26.67970,36.05600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2012.15000,2374.35000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,20.30000,20.00000,26.67000,26.66540,36.04400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2012.80000,2374.99000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,39.50000,39.00000,26.67000,26.66100,36.05600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2011.84000,2375.09000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,60.50000,60.00000,26.22000,26.20640,36.15300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2016.21000,2381.43000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,79.50000,79.00000,26.04000,26.02220,36.24300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2027.33000,2386.38000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,99.50000,99.00000,25.37000,25.34810,36.69100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2056.03000,2414.51000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,119.50000,119.00000,21.49000,21.46660,36.64500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2131.36000,2409.30000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,150.50000,150.00000,19.73000,19.70220,36.66200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2152.34000,2406.57000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,175.50000,174.00000,17.29000,17.26050,36.21500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2160.39000,2397.88000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,199.50000,198.00000,15.51000,15.47890,35.90300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2171.63000,2361.37000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,299.50000,298.00000,10.84000,10.80320,35.11000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2191.49000,2322.44000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,400.50000,398.00000,8.02000,7.97907,34.66500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2196.91000,2305.21000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,499.50000,496.00000,8.28000,8.22759,34.76900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2209.15000,2311.09000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,750.50000,745.00000,5.91000,5.84351,34.58900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2221.21000,2310.31000,-9999.00000,-9999.00000
33SW20030418,20030421,0000,10.80700,-52.24600,998.50000,990.00000,5.21000,5.12495,34.67200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2218.61000,2316.33000,-9999.00000,-9999.00000
