# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

35A319930102,19930103,0000,-4.42050,10.83980,1.00000,1.00000,25.05200,-9999.00000,-9999.00000,210.10000,0.30000,3.19000,0.12240,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.42050,10.83980,28.30000,28.00000,18.19400,-9999.00000,-9999.00000,105.50000,14.34000,6.96000,1.10160,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.42050,10.83980,48.50000,48.00000,17.38600,17.37790,35.75200,115.90000,15.06000,5.95000,1.11180,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.42050,10.83980,73.40000,73.00000,16.91200,16.89990,35.73700,116.00000,15.51000,5.72000,1.12200,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.42050,10.83980,116.30000,116.00000,15.87600,15.85760,35.63500,92.50000,18.88000,7.60000,1.34640,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.42050,10.83980,191.20000,190.00000,14.13700,14.10910,35.42400,78.20000,23.22000,9.38000,1.58100,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.42050,10.83980,191.20000,190.00000,14.14400,14.11610,35.42300,78.60000,23.19000,9.39000,1.58100,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.44517,10.81850,7.90000,8.00000,21.13900,-9999.00000,-9999.00000,128.90000,9.07000,5.04000,0.77520,-9999.00000,-9999.00000,1.87400,0.92100
35A319930102,19930103,0000,-4.44517,10.81850,72.60000,72.00000,17.00800,-9999.00000,-9999.00000,119.20000,15.12000,5.61000,1.10160,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.44517,10.81850,122.00000,121.00000,15.84200,-9999.00000,-9999.00000,88.10000,19.51000,7.60000,1.36680,-9999.00000,-9999.00000,1.52700,0.72500
35A319930102,19930103,0000,-4.44517,10.81850,198.10000,197.00000,14.01300,-9999.00000,-9999.00000,75.70000,23.77000,9.02000,1.59120,-9999.00000,-9999.00000,0.98800,0.51500
35A319930102,19930103,0000,-4.44517,10.81850,397.40000,395.00000,7.98400,7.94345,34.73400,75.20000,34.83000,20.23000,2.30520,-9999.00000,-9999.00000,0.12000,0.08000
35A319930102,19930103,0000,-4.44517,10.81850,500.30000,497.00000,7.20300,7.15460,34.65800,88.90000,34.95000,21.85000,2.34600,-9999.00000,-9999.00000,0.09200,0.05500
35A319930102,19930103,0000,-4.44517,10.81850,500.30000,497.00000,7.20000,7.15161,34.65900,89.50000,34.95000,21.86000,2.34600,-9999.00000,-9999.00000,0.09500,0.04700
35A319930102,19930103,0000,-4.49450,10.77780,11.50000,11.00000,20.02500,20.02290,35.63100,109.10000,12.03000,7.54000,0.95880,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.49450,10.77780,32.10000,32.00000,18.39500,-9999.00000,-9999.00000,125.60000,13.22000,4.50000,0.97920,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.49450,10.77780,47.40000,47.00000,17.75300,-9999.00000,-9999.00000,126.20000,13.68000,5.02000,1.02000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.49450,10.77780,72.00000,72.00000,16.97400,-9999.00000,-9999.00000,132.10000,13.83000,4.87000,1.02000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.49450,10.77780,118.80000,118.00000,15.79000,-9999.00000,-9999.00000,85.50000,19.76000,7.62000,1.39740,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.49450,10.77780,197.40000,196.00000,14.07500,-9999.00000,-9999.00000,84.60000,22.37000,8.52000,1.53000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.49450,10.77780,298.10000,296.00000,10.38000,10.34440,34.98500,47.20000,32.88000,14.57000,2.12160,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.49450,10.77780,347.30000,345.00000,9.13800,-9999.00000,-9999.00000,42.70000,35.38000,17.46000,2.32560,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.49450,10.77780,397.40000,395.00000,8.19300,-9999.00000,-9999.00000,64.50000,35.02000,19.21000,2.32560,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.49450,10.77780,597.70000,594.00000,6.69000,6.63414,34.60700,98.90000,34.52000,22.90000,2.38680,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.49450,10.77780,597.70000,594.00000,6.69000,6.63413,34.61300,97.60000,34.58000,22.85000,2.38680,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.49450,10.77780,789.10000,783.00000,5.52700,5.45924,34.53500,120.90000,34.40000,27.66000,2.42760,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.53917,10.73580,9.10000,9.00000,20.20700,-9999.00000,-9999.00000,113.20000,11.96000,7.22000,0.95880,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.53917,10.73580,27.80000,28.00000,18.53500,18.53010,35.70500,116.70000,13.64000,5.83000,1.04040,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.53917,10.73580,47.60000,47.00000,17.79500,-9999.00000,-9999.00000,124.30000,14.29000,5.19000,1.06080,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35A319930102,19930103,0000,-4.53917,10.73580,72.50000,72.00000,17.36600,17.35380,35.84800,135.60000,13.39000,4.50000,0.98940,-9999.00000,-9999.00000,-9999.00000,-9999.00000
