# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

35MF20000117,20000117,0000,-27.98000,54.97000,11.50000,11.40000,23.69300,23.69060,35.85660,211.01500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,11.86000,11.80000,23.69200,23.68950,35.86600,212.55500,0.09700,2.40000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,12.35000,12.30000,23.69200,23.68940,35.85660,210.69400,0.09700,2.40000,-9999.00000,2012.80000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,21.41000,21.30000,23.69300,23.68850,35.87300,215.54100,0.09700,2.30000,-9999.00000,2025.20000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,30.88000,30.70000,23.66800,23.66150,35.85460,213.71100,0.09700,2.30000,-9999.00000,2026.70000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,42.41000,42.10000,20.28000,20.27210,35.77170,233.50600,0.09700,2.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,51.19000,50.80000,19.83900,19.82960,35.76700,236.72700,0.09700,2.50000,-9999.00000,2031.40000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,75.40000,74.90000,18.67500,18.66170,35.73170,231.44100,0.09700,2.70000,-9999.00000,2043.80000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,103.15000,102.40000,17.45400,17.43660,35.64180,236.70500,0.09700,2.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,104.21000,103.50000,17.44400,17.42650,35.64080,237.06900,0.09700,2.60000,-9999.00000,2050.50000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,126.45000,125.60000,16.95800,16.93710,35.61990,232.07200,0.09700,2.70000,-9999.00000,2059.10000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,147.74000,146.70000,16.44600,16.42210,35.58090,229.22600,0.97000,2.80000,-9999.00000,2069.20000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,200.69000,199.30000,15.31900,15.28800,35.50900,222.86000,3.68600,3.40000,-9999.00000,2076.50000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,251.09000,249.30000,14.33800,14.30090,35.42210,228.37000,6.01400,3.90000,-9999.00000,2088.50000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,306.84000,304.60000,13.70700,13.66300,35.34920,231.19500,7.27500,4.20000,-9999.00000,2091.80000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,400.91000,397.90000,12.73300,12.67810,35.20640,234.74700,9.40900,4.80000,-9999.00000,2115.40000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,500.01000,496.10000,11.83800,11.77250,35.06650,235.83900,10.96100,4.80000,-9999.00000,2112.00000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,598.80000,594.00000,11.03400,10.95870,34.94170,237.77500,12.61000,5.10000,-9999.00000,2105.10000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,804.34000,797.40000,8.89600,8.80658,34.66100,225.65200,18.72100,9.80000,-9999.00000,2127.20000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,1002.48000,993.40000,5.87500,5.78495,34.42800,208.37200,27.93600,25.40000,-9999.00000,2171.00000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-27.98000,54.97000,1003.22000,994.10000,5.87500,5.78487,34.43630,212.94100,27.93600,25.30000,-9999.00000,2180.90000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-30.00000,54.00000,6.30000,6.30000,23.07000,23.06870,35.79460,214.58900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-30.00000,54.00000,6.66000,6.60000,23.06900,23.06760,35.80200,219.50000,0.09700,2.50000,-9999.00000,2024.40000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-30.00000,54.00000,11.45000,11.40000,23.06600,23.06370,35.79960,214.20300,0.09700,2.40000,-9999.00000,2026.70000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-30.00000,54.00000,20.56000,20.40000,22.52600,22.52190,35.79200,223.50200,0.09700,2.30000,-9999.00000,2036.30000,-9999.00000,-9999.00000,-9999.00000
35MF20000117,20000117,0000,-30.00000,54.00000,28.68000,28.50000,21.42000,21.41440,35.78370,224.86100,0.38800,2.20000,-9999.00000,2037.60000,-9999.00000,-9999.00000,-9999.00000
