# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

35TH20000724,20000726,1959,4.27733,-6.98883,2.00000,2.00000,24.13300,24.13260,34.76800,188.90000,4.00895,1.68300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,1959,4.27733,-6.98883,52.00000,52.00000,15.88400,15.87580,35.62800,105.60000,18.68540,5.95680,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,1959,4.27733,-6.98883,102.00000,101.00000,15.23800,15.22240,35.55600,98.20000,20.28120,6.77280,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,1959,4.27733,-6.98883,150.00000,149.00000,14.69400,14.67150,35.48600,90.30000,21.94580,7.52760,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,1959,4.27733,-6.98883,301.00000,299.00000,10.01800,9.98286,34.95700,73.40000,31.84510,15.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,1959,4.27733,-6.98883,501.00000,498.00000,7.39700,7.34779,34.67900,107.90000,33.55890,21.17520,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,1959,4.27733,-6.98883,598.00000,594.00000,6.45800,6.40315,34.61100,125.30000,35.04630,25.10220,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,1959,4.27733,-6.98883,800.00000,794.00000,5.19000,5.12326,34.56000,111.70000,35.23350,30.93660,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,1959,4.27733,-6.98883,1001.00000,993.00000,4.56900,4.48863,34.65300,150.90000,32.48530,32.27280,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,1959,4.27733,-6.98883,1200.00000,1190.00000,4.44900,4.35174,34.78500,174.10000,28.75210,28.53960,-9999.00000,-9999.00000,-9999.00000,0.05320,0.00000
35TH20000724,20000726,1959,4.27733,-6.98883,1298.00000,1287.00000,4.37600,4.27046,34.84600,188.00000,26.72300,26.63220,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,1959,4.27733,-6.98883,1372.00000,1360.00000,4.31100,4.19932,34.87300,199.10000,25.53120,25.10220,-9999.00000,-9999.00000,-9999.00000,0.17670,0.00700
35TH20000724,20000726,1959,4.27733,-6.98883,1372.10000,1360.00000,4.30500,4.19337,34.87400,197.50000,25.53120,25.07160,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,2318,4.15367,-6.98983,0.00000,0.00000,26.93100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,2318,4.15367,-6.98983,51.00000,51.00000,15.61900,15.61110,35.59400,90.00000,20.79340,6.38520,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,2318,4.15367,-6.98983,151.00000,150.00000,14.54700,14.52450,35.46900,82.20000,22.95050,7.53780,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,2318,4.15367,-6.98983,301.00000,299.00000,10.02500,9.98985,34.95500,74.70000,31.32300,14.76960,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,2318,4.15367,-6.98983,501.00000,498.00000,7.24800,7.19936,34.65700,119.30000,32.39660,20.63460,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,2318,4.15367,-6.98983,601.00000,597.00000,6.34800,6.29337,34.60300,111.80000,34.94780,25.16340,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,2318,4.15367,-6.98983,803.00000,797.00000,5.01100,4.94510,34.55900,132.60000,34.85910,31.62000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,2318,4.15367,-6.98983,1000.00000,992.00000,4.55300,4.47282,34.66300,153.10000,32.10120,32.11980,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,2318,4.15367,-6.98983,1200.00000,1190.00000,4.47400,4.37655,34.77000,170.80000,29.27420,29.27400,-9999.00000,-9999.00000,-9999.00000,0.05225,0.01200
35TH20000724,20000726,2318,4.15367,-6.98983,1400.00000,1388.00000,4.25300,4.13931,34.89800,204.00000,24.57580,24.41880,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.01700
35TH20000724,20000726,2318,4.15367,-6.98983,1500.00000,1486.00000,4.15000,4.02819,34.92700,214.90000,23.18690,23.12340,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,2318,4.15367,-6.98983,1600.00000,1585.00000,4.00600,3.87659,34.94500,225.40000,22.20190,22.36860,-9999.00000,-9999.00000,-9999.00000,0.04940,0.01700
35TH20000724,20000726,2318,4.15367,-6.98983,1700.00000,1684.00000,3.86600,3.72901,34.95500,231.40000,21.51240,22.24620,-9999.00000,-9999.00000,-9999.00000,0.03420,0.00500
35TH20000724,20000726,2318,4.15367,-6.98983,1800.00000,1782.00000,3.74900,3.60419,34.96200,240.30000,20.71460,21.42000,-9999.00000,-9999.00000,-9999.00000,0.05415,0.00500
35TH20000724,20000726,2318,4.15367,-6.98983,1900.00000,1881.00000,3.58700,3.43507,34.95800,241.80000,20.58650,23.64360,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,2318,4.15367,-6.98983,2000.00000,1979.00000,3.45900,3.29952,34.95500,242.50000,20.48800,25.25520,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000726,2318,4.15367,-6.98983,2000.10000,1980.00000,3.46000,3.30049,34.95500,242.80000,20.48800,25.23480,-9999.00000,-9999.00000,-9999.00000,0.04940,0.00200
35TH20000724,20000726,2318,4.15367,-6.98983,2490.00000,2462.00000,2.96500,2.76669,34.93000,241.70000,21.10850,34.40460,-9999.00000,-9999.00000,-9999.00000,0.06080,0.00000
35TH20000724,20000727,0305,3.99533,-6.98017,2.00000,2.00000,26.69700,26.69650,34.52200,203.20000,0.00000,0.21420,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000727,0305,3.99533,-6.98017,49.00000,49.00000,16.44900,16.44110,35.62900,106.00000,17.89740,5.55900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000727,0305,3.99533,-6.98017,152.00000,151.00000,14.25400,14.23170,35.43200,75.90000,23.79760,7.95600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000727,0305,3.99533,-6.98017,495.00000,492.00000,8.74400,8.69035,34.80900,86.40000,33.03690,17.50320,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000727,0305,3.99533,-6.98017,645.00000,640.00000,6.40200,6.34291,34.60500,112.50000,34.79020,24.89820,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000727,0305,3.99533,-6.98017,807.00000,801.00000,5.08100,5.01432,34.55500,130.70000,34.91830,31.45680,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000727,0305,3.99533,-6.98017,1000.00000,992.00000,4.56600,4.48574,34.65600,151.40000,32.37690,32.50740,-9999.00000,-9999.00000,-9999.00000,0.01425,0.00100
35TH20000724,20000727,0305,3.99533,-6.98017,1200.00000,1190.00000,4.47400,4.37654,34.77100,169.40000,29.37270,29.43720,-9999.00000,-9999.00000,-9999.00000,0.01140,0.00900
35TH20000724,20000727,0305,3.99533,-6.98017,1400.00000,1388.00000,4.25500,4.14128,34.90100,204.20000,24.40830,24.46980,-9999.00000,-9999.00000,-9999.00000,0.02280,0.00000
35TH20000724,20000727,0305,3.99533,-6.98017,1500.00000,1486.00000,4.16300,4.04104,34.92900,214.50000,23.39370,23.13360,-9999.00000,-9999.00000,-9999.00000,0.06555,0.02800
35TH20000724,20000727,0305,3.99533,-6.98017,1600.00000,1585.00000,4.00500,3.87557,34.95500,224.40000,22.12310,22.74600,-9999.00000,-9999.00000,-9999.00000,0.03610,0.02200
35TH20000724,20000727,0305,3.99533,-6.98017,1700.00000,1684.00000,3.87300,3.73592,34.95500,231.60000,21.52220,22.55220,-9999.00000,-9999.00000,-9999.00000,0.02660,0.00900
35TH20000724,20000727,0305,3.99533,-6.98017,1800.00000,1782.00000,3.69500,3.55093,34.95900,239.70000,20.82290,23.11320,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000727,0305,3.99533,-6.98017,1900.00000,1881.00000,3.63400,3.48140,34.95900,240.70000,20.55690,23.57220,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000727,0305,3.99533,-6.98017,2000.00000,1979.00000,3.49000,3.33006,34.95500,241.90000,20.58650,25.34700,-9999.00000,-9999.00000,-9999.00000,0.02185,0.01200
35TH20000724,20000727,0305,3.99533,-6.98017,2300.00000,2275.00000,3.10300,2.92066,34.93900,245.30000,20.64560,30.72240,-9999.00000,-9999.00000,-9999.00000,0.01520,0.01100
35TH20000724,20000727,0305,3.99533,-6.98017,2500.00000,2471.00000,2.91300,2.71467,34.92900,241.70000,21.13810,35.73060,-9999.00000,-9999.00000,-9999.00000,0.04845,0.02400
35TH20000724,20000727,0305,3.99533,-6.98017,2500.10000,2472.00000,2.91400,2.71565,34.92700,241.80000,21.14790,35.68980,-9999.00000,-9999.00000,-9999.00000,0.04845,0.03800
35TH20000724,20000727,0305,3.99533,-6.98017,2600.00000,2570.00000,2.86800,2.66071,34.92500,240.80000,21.33510,36.86280,-9999.00000,-9999.00000,-9999.00000,0.01805,0.00600
35TH20000724,20000727,0305,3.99533,-6.98017,3000.00000,2962.00000,2.67200,2.42840,34.91300,240.40000,21.84730,41.84040,-9999.00000,-9999.00000,-9999.00000,0.04180,0.02100
35TH20000724,20000727,0829,3.50000,-6.98983,2.00000,2.00000,25.46900,25.46860,35.22700,210.00000,0.00000,0.00000,-9999.00000,-9999.00000,-9999.00000,2.02730,1.11000
35TH20000724,20000727,0829,3.50000,-6.98983,50.00000,50.00000,22.12300,22.11310,35.43500,185.00000,4.40295,1.30560,-9999.00000,-9999.00000,-9999.00000,1.88480,0.87100
35TH20000724,20000727,0829,3.50000,-6.98983,150.00000,149.00000,14.80000,14.77740,35.49800,85.60000,22.09350,7.06860,-9999.00000,-9999.00000,-9999.00000,1.66725,0.87600
35TH20000724,20000727,0829,3.50000,-6.98983,300.00000,298.00000,10.29000,10.25440,34.98700,64.50000,31.86470,14.58600,-9999.00000,-9999.00000,-9999.00000,0.68020,0.36500
35TH20000724,20000727,0829,3.50000,-6.98983,500.00000,497.00000,7.35200,7.30307,34.66600,119.20000,32.31780,20.26740,-9999.00000,-9999.00000,-9999.00000,0.46170,0.24100
35TH20000724,20000727,0829,3.50000,-6.98983,800.00000,794.00000,5.09900,5.03282,34.56200,130.10000,34.99710,31.31400,-9999.00000,-9999.00000,-9999.00000,0.04370,0.01300
35TH20000724,20000727,0829,3.50000,-6.98983,1000.00000,992.00000,4.57000,4.48969,34.66400,152.40000,32.16030,31.92600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000727,0829,3.50000,-6.98983,1200.00000,1190.00000,4.46700,4.36959,34.78100,173.30000,28.73250,28.94760,-9999.00000,-9999.00000,-9999.00000,0.01520,0.00700
35TH20000724,20000727,0829,3.50000,-6.98983,1400.00000,1388.00000,4.31400,4.19964,34.91000,206.90000,24.16210,23.31720,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000727,0829,3.50000,-6.98983,1500.00000,1486.00000,4.15800,4.03610,34.92800,214.80000,23.30510,23.15400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35TH20000724,20000727,0829,3.50000,-6.98983,1600.00000,1585.00000,4.03600,3.90623,34.94400,223.60000,22.25120,22.53180,-9999.00000,-9999.00000,-9999.00000,0.00950,0.01700
35TH20000724,20000727,0829,3.50000,-6.98983,1700.00000,1684.00000,3.85900,3.72210,34.95400,231.30000,21.52220,22.58280,-9999.00000,-9999.00000,-9999.00000,0.01805,-0.00500
35TH20000724,20000727,0829,3.50000,-6.98983,1800.00000,1782.00000,3.73300,3.58841,34.96200,239.90000,20.58650,22.11360,-9999.00000,-9999.00000,-9999.00000,0.04465,0.02900
35TH20000724,20000727,0829,3.50000,-6.98983,2000.00000,1980.00000,3.48000,3.32021,34.95500,244.40000,20.63570,25.18380,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
