# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

35UCKERFIXTS,19900127,0000,-50.66670,68.41670,20.00000,20.00000,3.56000,3.55873,33.91000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2327.70000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,30.00000,30.00000,-9999.00000,-9999.00000,33.91200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2332.72000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,50.00000,50.00000,-9999.00000,-9999.00000,33.90900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2333.73000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,75.00000,74.00000,3.33000,3.32534,33.91500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,100.00000,99.00000,3.25000,3.24383,33.91800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2334.73000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,150.00000,149.00000,3.33000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2336.74000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,200.00000,198.00000,2.75000,2.73831,33.91100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2335.74000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,210.00000,208.00000,2.04000,2.02892,33.93400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2335.74000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,400.00000,396.00000,-9999.00000,-9999.00000,34.33700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2351.82000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,550.00000,545.00000,-9999.00000,-9999.00000,34.45700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2367.90000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,650.00000,643.00000,2.23000,2.19165,34.50200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2373.93000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,750.00000,742.00000,2.28000,2.23477,34.55100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2375.94000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,790.00000,782.00000,2.21000,2.16254,34.55400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2376.95000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,740.00000,732.00000,2.22000,2.17581,34.54000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,805.00000,797.00000,2.26000,2.21121,34.56100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2381.97000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,900.00000,890.00000,-9999.00000,-9999.00000,34.61500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,1000.00000,989.00000,-9999.00000,-9999.00000,34.65400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
35UCKERFIXTS,19900127,0000,-50.66670,68.41670,1095.00000,1083.00000,2.26000,2.19084,34.67800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
