# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

42BJ19930808,19930808,0000,-5.80000,115.94800,10.00000,10.00000,27.44000,27.43770,34.36700,192.08000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.80000,115.94800,20.00000,20.00000,27.43800,27.43340,34.36600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.80000,115.94800,30.00000,30.00000,27.42100,27.41410,34.36500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.80000,115.94800,36.00000,36.00000,27.43600,27.42770,34.36700,195.02000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.80000,115.94800,38.00000,38.00000,27.39900,27.39020,34.36300,193.11600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.80000,115.94800,50.00000,50.00000,26.79000,26.77860,34.32600,180.32000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.80000,115.94800,50.00000,50.00000,26.79000,26.77860,34.32600,180.32000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.80000,115.94800,60.00000,60.00000,25.93900,25.92570,34.35200,171.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.80000,115.94800,61.00000,61.00000,25.90000,25.88650,34.35700,170.32900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.80000,115.94800,71.00000,71.00000,25.17100,25.15560,34.32200,147.98000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.80000,115.94800,72.00000,72.00000,25.16600,25.15040,34.32200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.60000,116.90300,1.00000,1.00000,27.37800,27.37780,34.40400,190.12000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.60000,116.90300,24.00000,24.00000,27.37900,27.37350,34.36600,190.12000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.60000,116.90300,45.00000,45.00000,26.08300,26.07300,34.55500,176.40000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.60000,116.90300,100.00000,99.00000,20.39500,20.37630,34.55700,146.02000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.60000,116.90300,155.00000,154.00000,14.38100,14.35830,34.44500,131.32000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.60000,116.90300,173.00000,172.00000,13.26600,13.24200,34.51200,130.34000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.60000,116.90300,201.00000,200.00000,12.66300,12.63600,34.48800,120.54000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.60000,116.90300,257.00000,255.00000,11.28000,11.24790,34.37500,118.58000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.60000,116.90300,295.00000,293.00000,9.60900,9.57571,34.37400,120.54000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.60000,116.90300,350.00000,348.00000,9.13700,9.09856,34.43300,101.92000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.60000,116.90300,395.00000,392.00000,8.91600,8.87315,34.44900,101.92000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.60000,116.90300,417.00000,414.00000,8.85900,8.81389,34.43500,111.72000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.57000,117.10000,1.00000,1.00000,27.51600,27.51580,34.33500,183.26000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.94400,-9999.00000
42BJ19930808,19930808,0000,-5.57000,117.10000,52.00000,52.00000,27.46200,27.44990,34.37200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.57000,117.10000,102.00000,101.00000,23.85100,23.82970,34.62900,141.12000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.57000,117.10000,155.00000,154.00000,17.62500,17.59890,34.59800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.98400,-9999.00000
42BJ19930808,19930808,0000,-5.57000,117.10000,193.00000,192.00000,14.05900,14.03110,34.52100,126.42000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.29300,-9999.00000
42BJ19930808,19930808,0000,-5.57000,117.10000,250.00000,248.00000,11.24300,11.21190,34.37000,117.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.29800,-9999.00000
42BJ19930808,19930808,0000,-5.57000,117.10000,296.00000,294.00000,10.67900,10.64330,34.41200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.90400,-9999.00000
42BJ19930808,19930808,0000,-5.57000,117.10000,397.00000,394.00000,7.97900,7.93867,34.47200,105.84000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.44700,-9999.00000
42BJ19930808,19930808,0000,-5.57000,117.10000,448.00000,445.00000,7.76700,7.72208,34.43200,96.04000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.32000,-9999.00000
42BJ19930808,19930808,0000,-5.57000,117.10000,504.00000,501.00000,7.52300,7.47321,34.41400,100.94000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.33800,-9999.00000
42BJ19930808,19930808,0000,-5.57000,117.10000,557.00000,553.00000,7.28300,7.22871,34.49800,101.92000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.21500,-9999.00000
42BJ19930808,19930808,0000,-5.57000,117.10000,601.00000,597.00000,7.26000,7.20135,34.49700,121.52000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,0.21600,-9999.00000
42BJ19930808,19930808,0000,-5.53500,117.30300,1.00000,1.00000,27.39800,27.39780,34.40000,193.06000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.53500,117.30300,1.00000,1.00000,27.39800,27.39780,34.40000,193.06000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.53500,117.30300,1.00000,1.00000,27.39800,27.39780,34.39800,191.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.53500,117.30300,1.00000,1.00000,27.39800,27.39780,34.39700,196.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.53500,117.30300,25.00000,25.00000,27.39000,27.38420,34.39800,190.12000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.53500,117.30300,25.00000,25.00000,27.39000,27.38420,34.39900,190.12000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.53500,117.30300,42.00000,42.00000,27.32200,27.31230,34.40000,189.14000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.53500,117.30300,49.00000,49.00000,27.04300,27.03180,34.40000,180.32000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.53500,117.30300,76.00000,76.00000,25.29100,25.27440,34.48300,163.66000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.53500,117.30300,101.00000,100.00000,22.54700,22.52670,34.50400,157.78000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.53500,117.30300,127.00000,126.00000,17.59400,17.57260,34.61400,139.16000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930808,0000,-5.53500,117.30300,158.00000,157.00000,15.50900,15.48460,34.57800,139.16000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.41000,118.18700,1.00000,1.00000,27.61100,27.61080,34.43600,193.06000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.41000,118.18700,11.00000,11.00000,27.61100,27.60840,34.39200,187.18000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.41000,118.18700,49.00000,49.00000,27.46500,27.45360,34.43700,181.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.41000,118.18700,96.00000,95.00000,20.05800,20.04030,34.60700,147.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.41000,118.18700,151.00000,150.00000,16.83800,16.81330,34.59200,139.16000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.41000,118.18700,201.00000,200.00000,14.76000,14.73000,34.54400,140.14000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.41000,118.18700,252.00000,250.00000,12.62900,12.59510,34.39900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.41000,118.18700,303.00000,301.00000,9.92400,9.88906,34.44100,107.80000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.41000,118.18700,353.00000,351.00000,9.19700,9.15811,34.35500,103.88000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.41000,118.18700,404.00000,401.00000,8.82900,8.78541,34.44300,108.78000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.41000,118.18700,454.00000,451.00000,8.19100,8.14400,34.47100,103.88000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.41000,118.18700,490.00000,487.00000,7.68600,7.63699,34.48700,110.74000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BJ19930808,19930809,0000,-5.22500,118.52500,1.00000,1.00000,27.51800,27.51780,34.44500,177.38000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.31800,-9999.00000
42BJ19930808,19930809,0000,-5.22500,118.52500,50.00000,50.00000,26.66400,26.65270,34.54900,152.88000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.35300,-9999.00000
42BJ19930808,19930809,0000,-5.22500,118.52500,100.00000,99.00000,19.86500,19.84670,34.63400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
