# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

42BR19961121,19961121,0000,-3.90250,118.40100,23.40000,23.26960,29.30240,29.29670,33.71210,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.66700,0.93100
42BR19961121,19961121,0000,-3.90250,118.40100,48.70000,48.42560,28.23050,28.21900,33.90470,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.68900,0.93500
42BR19961121,19961121,0000,-3.90250,118.40100,99.50000,98.92710,24.10510,24.08410,34.35800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BR19961121,19961121,0000,-3.90250,118.40100,125.50000,124.77000,21.28960,21.26540,34.58630,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.94800,1.00200
42BR19961121,19961121,0000,-3.90250,118.40100,197.90000,196.71400,16.08720,16.05590,34.59670,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BR19961121,19961121,0000,-3.90250,118.40100,259.90000,258.30300,11.35530,11.32270,34.45560,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.16600,0.56800
42BR19961121,19961121,0000,-3.90250,118.40100,399.40000,396.81300,8.43230,8.39038,34.46540,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BR19961121,19961121,0000,-3.90250,118.40100,499.50000,496.14500,7.65240,7.60252,34.50230,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BR19961121,19961121,0000,-3.90250,118.40100,699.80000,694.76500,6.06990,6.00736,34.53640,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BR19961121,19961121,0000,-3.90250,118.40100,899.70000,892.80000,4.79460,4.72162,34.55920,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BR19961121,19961121,0000,-3.90250,118.40100,1403.60000,1391.17000,3.88190,3.77256,34.57830,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BR19961121,19961121,0000,-3.90250,118.40100,2007.70000,1987.08000,3.66490,3.50284,34.58300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
42BR19961121,19961122,0000,-2.97530,118.51000,3.40000,3.38125,29.65450,29.65370,33.34700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.62800,0.90500
42BR19961121,19961122,0000,-2.97530,118.51000,50.80000,50.51400,28.89500,28.88280,33.83700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.65400,0.92200
42BR19961121,19961122,0000,-2.97530,118.51000,101.40000,100.81700,25.08930,25.06730,34.33800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.78500,0.96000
42BR19961121,19961122,0000,-2.97530,118.51000,151.80000,150.90800,20.01390,19.98590,34.70700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.94400,0.99600
42BR19961121,19961122,0000,-2.97530,118.51000,201.10000,199.89500,15.59590,15.56470,34.58900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1.78200,0.88300
