# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

45CE20100209,20100209,1218,54.37070,-10.74170,5.34000,5.28600,10.09130,10.09070,35.46200,262.43400,9.60000,2.68000,0.60000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1218,54.37070,-10.74170,51.76000,51.26600,10.09940,10.09340,35.46190,262.34600,9.81000,2.69000,0.58000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1218,54.37070,-10.74170,99.12000,98.16500,10.13990,10.12830,35.47200,262.72800,9.99000,2.67000,0.59000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1218,54.37070,-10.74170,252.72000,250.21100,10.23660,10.20660,35.49100,261.80700,9.85000,2.61000,0.58000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1357,54.49280,-11.05330,5.99000,5.93600,10.47150,10.47080,35.49200,256.20100,10.88000,3.21000,0.64000,2139.30000,2333.80000,-9999.00000,-9999.00000
45CE20100209,20100209,1357,54.49280,-11.05330,99.10000,98.14700,10.44260,10.43080,35.48100,252.94800,11.33000,3.38000,0.67000,2140.70000,2330.10000,-9999.00000,-9999.00000
45CE20100209,20100209,1357,54.49280,-11.05330,161.99000,160.41200,10.42130,10.40190,35.47900,256.85800,11.55000,3.55000,0.68000,2143.60000,2331.20000,-9999.00000,-9999.00000
45CE20100209,20100209,1357,54.49280,-11.05330,229.18000,226.91300,10.42320,10.39570,35.48700,256.38800,11.06000,3.25000,0.67000,2144.60000,2330.90000,-9999.00000,-9999.00000
45CE20100209,20100209,1357,54.49280,-11.05330,483.50000,478.43900,10.38800,10.32940,35.48900,254.82000,10.46000,3.19000,0.65000,2141.00000,2332.10000,-9999.00000,-9999.00000
45CE20100209,20100209,1455,54.52170,-11.13000,6.76000,6.69300,10.49450,10.49370,35.48800,256.11300,10.58000,3.35000,0.63000,2136.10000,2335.90000,-9999.00000,-9999.00000
45CE20100209,20100209,1455,54.52170,-11.13000,51.73000,51.24200,10.49890,10.49270,35.48750,256.03500,10.64000,3.32000,0.62000,2135.30000,2332.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1455,54.52170,-11.13000,98.09000,97.14600,10.50290,10.49110,35.48800,255.48600,10.33000,3.37000,0.63000,2138.90000,2334.50000,-9999.00000,-9999.00000
45CE20100209,20100209,1455,54.52170,-11.13000,205.59000,203.56200,10.50630,10.48150,35.48600,255.56400,10.56000,3.42000,0.62000,2135.20000,2331.70000,-9999.00000,-9999.00000
45CE20100209,20100209,1455,54.52170,-11.13000,507.58000,502.23800,10.43850,10.37670,35.48500,254.10400,10.50000,3.44000,0.62000,2143.00000,2332.60000,-9999.00000,-9999.00000
45CE20100209,20100209,1455,54.52170,-11.13000,722.32000,714.38000,9.77450,9.68919,35.41000,235.72900,13.53000,5.72000,0.83000,2155.80000,2326.40000,-9999.00000,-9999.00000
45CE20100209,20100209,1600,54.54880,-11.19320,6.04000,5.98100,10.53510,10.53440,35.48800,255.89800,10.64000,3.38000,0.61000,2137.70000,2332.90000,-9999.00000,-9999.00000
45CE20100209,20100209,1600,54.54880,-11.19320,101.90000,100.91500,10.54800,10.53580,35.48700,255.16300,10.67000,3.36000,0.61000,2134.50000,2333.40000,-9999.00000,-9999.00000
45CE20100209,20100209,1600,54.54880,-11.19320,205.23000,203.20300,10.55960,10.53480,35.48700,254.93700,10.49000,3.35000,0.62000,2136.10000,2331.50000,-9999.00000,-9999.00000
45CE20100209,20100209,1600,54.54880,-11.19320,507.22000,501.87800,10.49210,10.43020,35.48400,254.81000,11.00000,3.54000,0.66000,2140.50000,2330.60000,-9999.00000,-9999.00000
45CE20100209,20100209,1600,54.54880,-11.19320,659.81000,652.64000,10.19360,10.11390,35.44100,234.40600,13.09000,5.02000,0.79000,2147.30000,2328.20000,-9999.00000,-9999.00000
45CE20100209,20100209,1600,54.54880,-11.19320,809.78000,800.71400,9.53990,9.44525,35.37000,226.11500,15.39000,6.54000,0.90000,2156.80000,2326.60000,-9999.00000,-9999.00000
45CE20100209,20100209,1600,54.54880,-11.19320,1011.82000,1000.05000,7.91560,7.80810,35.26200,217.64800,17.89000,9.08000,1.06000,2174.40000,2324.10000,-9999.00000,-9999.00000
45CE20100209,20100209,1726,54.59000,-11.29930,4.42000,4.37400,10.58490,10.58440,35.49100,255.80000,10.36000,3.25000,0.63000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1726,54.59000,-11.29930,103.54000,102.54400,10.59910,10.58660,35.49000,257.48500,10.41000,3.26000,0.62000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1726,54.59000,-11.29930,205.53000,203.50300,10.61070,10.58580,35.49000,263.23800,10.55000,3.26000,0.63000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1726,54.59000,-11.29930,486.82000,481.71900,10.49770,10.43830,35.46900,246.42100,11.70000,3.93000,0.69000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1726,54.59000,-11.29930,641.61000,634.66300,10.06630,9.98947,35.42400,233.31800,13.61000,5.36000,0.84000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1726,54.59000,-11.29930,759.84000,751.41800,9.63110,9.54199,35.39000,231.53500,14.34000,6.12000,0.88000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1726,54.59000,-11.29930,972.98000,961.73300,8.10770,8.00320,35.27000,207.18200,18.31000,8.99000,1.10000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1726,54.59000,-11.29930,1550.95000,1531.05000,4.16260,4.03583,34.96700,260.67000,18.02000,10.76000,1.11000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
45CE20100209,20100209,1906,54.59980,-11.34070,2.44000,2.41800,10.55050,10.55020,35.49300,257.05400,9.99000,3.26000,0.65000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
