BOTTLE,20131011PRINUNIVRMK
# 10/11/2013 Initialized README file  
# Data source: Triona McGrath via CDIAC 
# SHIP: Celtic Explorer 
# Cruise: CE11001 
# Region: Rockall Trough west of Ireland 
# EXPOCODE: 45CE20110103 
# DATES: 1/3 - 1/10/2011 
# Chief Scientist: Glenn Nolan 
# 45 stations with 24 place Rosette 
# Hydro: Who - T.McGrath ; Status - final  
# 	Notes: 	 
# Nuts: Who - T.McGrath; Status - final 
# 	Notes: Nutrients converted from umol/l to umol/kg using temperature during analysis. 
# O2: Who - T.McGrath ; Status - final 
# 	Notes: CTDOXY calibrated with discrete samples. A different oxygen sensor was used on the northern and southern transect. The southern transect data were corrected for an offset of 71.1umol/kg and the northern transect corrected for an offset of 19.2umol/kg. 
# TCO2: Who - T.McGrath ; Status - final 
# 	Notes:  
# TA: Who - T.McGrath ; Status - final 
# 	Notes:  
# References: 
EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
  45CE20110103, AR07E,     1,  1,      7,2,20110103,1933, 53.0000,  -9.5030,   53,      3.6,   8.3817,  34.5720,2,  34.6170,2,    212.9,2,    281.7,3,     4.45,2,     6.62,3,     0.12,2,     0.44,2,   -999.0,9,   -999.0,9
  45CE20110103, AR07E,     1,  1,      4,2,20110103,1933, 53.0000,  -9.5030,   53,     16.3,   8.6200,  34.7366,2,  34.7810,2,    237.6,2,   -999.0,9,     4.00,2,  -999.00,9,     0.08,2,     0.40,2,   -999.0,9,   -999.0,9
  45CE20110103, AR07E,     1,  1,      1,2,20110103,1933, 53.0000,  -9.5030,   53,     51.0,   8.6795,  34.8685,2,  34.8720,2,    257.7,2,    275.9,2,     4.43,2,     6.73,2,     0.11,2,     0.41,2,   -999.0,9,   -999.0,9
  45CE20110103, AR07E,     2,  1,      4,2,20110103,2132, 53.0000, -10.0008,   95,      3.7,   9.5335,  35.1191,2,  35.1200,2,    260.3,2,    266.9,2,     4.10,2,     7.32,2,     0.04,2,     0.50,2,   -999.0,9,   -999.0,9
  45CE20110103, AR07E,     2,  1,      1,2,20110103,2132, 53.0000, -10.0008,   95,     96.1,   9.6666,  35.1566,2,  35.1600,2,    258.7,2,   -999.0,9,     4.36,2,     7.70,2,     0.05,2,     0.51,2,   -999.0,9,   -999.0,9
  45CE20110103, AR07E,     3,  1,      4,2,20110103,2341, 52.9980, -10.5000,  102,      2.6,   9.4158,  35.0624,2,  35.0640,2,    258.3,2,    266.0,2,     4.63,2,     7.80,2,     0.04,2,     0.56,2,   -999.0,9,   -999.0,9
  45CE20110103, AR07E,     3,  1,      3,2,20110103,2341, 52.9980, -10.5000,  102,     98.0,   9.4125,  35.1529,2,  35.1490,2,    259.9,2,    262.4,2,     4.77,2,     8.50,2,     0.04,2,     0.62,2,   -999.0,9,   -999.0,9
  45CE20110103, AR07E,     4,  1,      4,2,20110104,0145, 53.0000, -11.0000,  135,      4.8,   9.2928,  35.1852,2,-999.0000,9,    257.6,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,9
  45CE20110103, AR07E,     4,  1,      1,2,20110104,0145, 53.0000, -11.0000,  135,    131.9,   9.3420,  35.1995,2,-999.0000,9,    261.8,2,   -999.0,9,     4.09,2,     7.89,2,     0.01,2,     0.58,2,   -999.0,9,   -999.0,9
  45CE20110103, AR07E,     5,  1,      4,2,20110104,0355, 53.0000, -11.5010,  139,      2.3,   9.6904,  35.2992,2,  35.3010,2,    248.9,2,    264.5,2,     3.80,2,     8.28,2,     0.04,2,     0.55,2,   -999.0,9,   -999.0,9
  45CE20110103, AR07E,     5,  1,      1,2,20110104,0355, 53.0000, -11.5010,  139,    134.9,   9.7362,  35.3060,2,-999.0000,9,    258.7,2,    263.7,2,     3.67,2,     7.95,2,     0.04,2,     0.50,2,   -999.0,9,   -999.0,9
  45CE20110103, AR07E,     6,  1,      7,2,20110104,0602, 53.0000, -11.9990,  218,      3.2,  10.9082,  35.5382,2,  35.5390,2,    256.7,2,    265.4,2,     2.83,2,     8.50,2,     0.04,2,     0.47,2,   -999.0,9,   -999.0,9
  45CE20110103, AR07E,     6,  1,      4,2,20110104,0602, 53.0000, -11.9990,  218,    164.6,  10.5766,  35.4697,2,  35.4650,2,    252.3,2,    255.1,2,     3.23,2,     8.50,2,     0.04,2,     0.49,2,   -999.0,9,   -999.0,9
