# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

492S19941101,19941101,1527,32.74670,133.11300,8.30000,8.00000,24.05610,24.05440,34.38300,208.69200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,10.50000,10.00000,24.05710,24.05490,34.39400,208.29600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,18.50000,18.00000,24.05260,24.04870,34.39200,208.69200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,20.50000,20.00000,24.06410,24.05980,34.39600,208.29600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,28.90000,29.00000,24.06860,24.06250,34.40000,208.29600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,30.80000,31.00000,24.06060,24.05410,34.39800,208.32000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,48.00000,48.00000,24.06260,24.05250,34.43700,208.69200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,51.10000,51.00000,24.06290,24.05220,34.42900,209.18700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,72.60000,72.00000,23.99360,23.97840,34.47500,207.00900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,74.80000,74.00000,23.99810,23.98240,34.48300,208.29600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,99.10000,98.00000,21.71930,21.69990,34.62900,179.19000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,101.40000,101.00000,21.72810,21.70830,34.62300,178.32100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,123.70000,123.00000,19.56030,19.53780,34.68900,175.23000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,126.00000,125.00000,19.61730,19.59440,34.68700,176.02200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,1527,32.74670,133.11300,136.60000,136.00000,19.39280,19.36820,34.70100,174.33900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,2203,32.58330,133.21000,10.10000,10.00000,24.43950,24.43740,34.63800,208.29600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,2203,32.58330,133.21000,19.60000,19.00000,24.44350,24.43930,34.64200,211.76100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,2203,32.58330,133.21000,30.40000,30.00000,24.44450,24.43800,34.63900,211.26600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,2203,32.58330,133.21000,49.20000,49.00000,24.41050,24.40000,34.62400,207.00900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,2203,32.58330,133.21000,75.60000,75.00000,24.35910,24.34300,34.60000,203.04900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,2203,32.58330,133.21000,99.80000,99.00000,23.08670,23.06630,34.69000,189.18900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,2203,32.58330,133.21000,124.40000,123.00000,21.97510,21.95060,34.74200,193.44600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,2203,32.58330,133.21000,149.70000,149.00000,21.77030,21.74090,34.73800,191.66400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,2203,32.58330,133.21000,200.10000,199.00000,14.52870,14.49910,34.59800,174.53700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,2203,32.58330,133.21000,248.50000,247.00000,12.18700,12.15440,34.46400,161.56800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
492S19941101,19941101,2203,32.58330,133.21000,251.40000,249.00000,12.17050,12.13750,34.46300,163.25100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
