# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49H520030701,20030704,0000,42.23000,145.12000,10.00000,10.00000,7.94200,7.94104,32.74860,-9999.00000,-9999.00000,4.70000,0.60000,1975.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,20.00000,20.00000,6.17500,6.17335,32.77420,-9999.00000,-9999.00000,3.82000,0.62000,1968.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,30.00000,30.00000,5.04200,5.03978,32.96430,-9999.00000,-9999.00000,21.92000,1.30000,2053.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,50.00000,50.00000,3.38000,3.37696,33.05090,-9999.00000,-9999.00000,32.78000,1.62000,2085.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,75.00000,74.00000,2.18000,2.17616,33.08450,-9999.00000,-9999.00000,37.19000,1.69000,2082.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,100.00000,99.00000,1.83900,1.83412,33.16690,-9999.00000,-9999.00000,38.65000,1.63000,2114.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,150.00000,149.00000,1.58100,1.57391,33.28430,-9999.00000,-9999.00000,48.53000,1.93000,2135.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,200.00000,198.00000,2.05100,2.04063,33.41900,-9999.00000,-9999.00000,54.20000,2.09000,2157.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,300.00000,297.00000,1.63500,1.62018,33.48400,-9999.00000,-9999.00000,69.56000,2.24000,2192.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,400.00000,396.00000,2.82800,2.80391,33.62490,-9999.00000,-9999.00000,80.60000,2.47000,2226.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,500.00000,495.00000,3.42400,3.39086,33.90020,-9999.00000,-9999.00000,92.03000,2.58000,2252.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,700.00000,693.00000,3.65700,3.60791,34.15240,-9999.00000,-9999.00000,-9999.00000,2.53000,2282.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,800.00000,792.00000,3.06700,3.01396,34.17400,-9999.00000,-9999.00000,118.80000,2.85000,2308.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,1000.00000,990.00000,2.95300,2.88579,34.30870,-9999.00000,-9999.00000,130.03000,2.77000,2329.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,1200.00000,1187.00000,2.63700,2.55728,34.37970,-9999.00000,-9999.00000,147.82000,2.88000,2341.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,1400.00000,1384.00000,2.44100,2.34778,34.44040,-9999.00000,-9999.00000,147.52000,2.54000,2354.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,1600.00000,1581.00000,2.29900,2.19158,34.48300,-9999.00000,-9999.00000,151.42000,2.85000,2341.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,1800.00000,1778.00000,2.18300,2.06081,34.52400,-9999.00000,-9999.00000,150.74000,2.78000,2346.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,2000.00000,1975.00000,2.02800,1.89136,34.55920,-9999.00000,-9999.00000,150.24000,2.82000,2330.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,2250.00000,2220.00000,1.80200,1.64756,34.60730,-9999.00000,-9999.00000,151.61000,2.50000,2333.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030704,0000,42.23000,145.12000,2750.00000,2711.00000,1.52300,1.32911,34.65700,-9999.00000,-9999.00000,135.77000,2.00000,2298.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,10.00000,10.00000,13.24200,13.24060,32.95490,-9999.00000,-9999.00000,1.37000,0.25000,1959.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,20.00000,20.00000,11.11500,11.11260,33.00720,-9999.00000,-9999.00000,3.23000,0.41000,1967.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,30.00000,30.00000,5.04700,5.04478,32.95760,-9999.00000,-9999.00000,11.74000,1.37000,2051.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,50.00000,50.00000,2.43800,2.43534,33.06230,-9999.00000,-9999.00000,26.13000,1.61000,2096.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,75.00000,74.00000,1.86800,1.86435,33.10650,-9999.00000,-9999.00000,36.21000,1.69000,2099.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,100.00000,99.00000,1.73400,1.72920,33.22560,-9999.00000,-9999.00000,38.55000,1.76000,2105.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,150.00000,149.00000,1.91200,1.90450,33.25040,-9999.00000,-9999.00000,41.58000,1.75000,2119.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,200.00000,198.00000,1.54800,1.53849,33.33070,-9999.00000,-9999.00000,53.42000,2.02000,2164.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,300.00000,297.00000,2.65200,2.63458,33.66680,-9999.00000,-9999.00000,80.11000,2.48000,2241.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,400.00000,396.00000,2.84500,2.82070,33.84420,-9999.00000,-9999.00000,90.96000,2.58000,2262.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,600.00000,594.00000,3.16400,3.12474,34.14190,-9999.00000,-9999.00000,114.40000,2.72000,2307.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,700.00000,693.00000,3.22400,3.17720,34.23650,-9999.00000,-9999.00000,118.31000,2.40000,2314.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,1000.00000,990.00000,2.71700,2.65155,34.36220,-9999.00000,-9999.00000,130.03000,2.75000,2339.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,1400.00000,1384.00000,2.31900,2.22701,34.47820,-9999.00000,-9999.00000,143.31000,2.70000,2357.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,1600.00000,1581.00000,2.19600,2.08975,34.52140,-9999.00000,-9999.00000,145.65000,2.60000,2362.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,1800.00000,1778.00000,2.08500,1.96405,34.55940,-9999.00000,-9999.00000,152.78000,2.82000,2336.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,2000.00000,1975.00000,1.96800,1.83215,34.59270,-9999.00000,-9999.00000,152.41300,2.71213,2340.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,2250.00000,2221.00000,1.83100,1.67602,34.61970,-9999.00000,-9999.00000,150.92000,2.57000,2320.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,2500.00000,2466.00000,1.73300,1.55772,34.63900,-9999.00000,-9999.00000,149.06000,2.52000,2314.00000,-9999.00000,-9999.00000,-9999.00000
49H520030701,20030705,0000,41.50000,145.50000,2750.00000,2711.00000,1.64600,1.44963,34.65260,-9999.00000,-9999.00000,147.30000,2.53000,2311.00000,-9999.00000,-9999.00000,-9999.00000
