# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49HG20010813,20010817,0232,39.00550,147.00100,0.00000,0.00000,27.59000,27.59000,34.08240,200.70000,0.07000,1.01000,0.04080,1914.00000,2245.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0232,39.00550,147.00100,19.30000,19.00000,27.51590,27.51140,34.07710,201.00000,0.03000,1.01000,0.01020,1913.00000,2243.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0232,39.00550,147.00100,29.30000,29.00000,24.20380,24.19760,34.20210,217.60000,0.04000,1.71700,0.04080,1948.00000,2260.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0232,39.00550,147.00100,40.30000,40.00000,23.22420,23.21590,34.47110,214.30000,0.03000,1.31300,0.06120,1964.00000,2270.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0232,39.00550,147.00100,49.50000,49.00000,21.73040,21.72070,34.52020,198.30000,2.00000,2.92900,0.20400,1988.00000,2275.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0232,39.00550,147.00100,50.50000,50.00000,21.91420,21.90430,34.53090,200.10000,1.70000,2.62600,0.18360,1987.00000,2273.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0232,39.00550,147.00100,75.20000,75.00000,18.70150,18.68830,34.62690,175.30000,6.91000,7.97900,0.51000,2041.00000,2280.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0232,39.00550,147.00100,98.40000,98.00000,16.89580,16.87970,34.59200,186.50000,7.55000,9.89800,0.55080,2049.00000,2283.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0232,39.00550,147.00100,124.00000,123.00000,15.72100,15.70170,34.63530,175.70000,9.92000,11.41300,0.68340,2070.00000,2285.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0232,39.00550,147.00100,148.50000,147.00000,14.66040,14.63840,34.56610,182.60000,10.90000,13.33200,0.75480,2076.00000,2286.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0232,39.00550,147.00100,199.60000,198.00000,12.57420,12.54750,34.47580,160.60000,16.10000,23.33100,1.19340,2119.00000,2285.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0232,39.00550,147.00100,300.80000,298.00000,8.07850,8.04812,34.01430,193.90000,19.60000,32.11800,1.48920,2145.00000,2278.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0232,39.00550,147.00100,401.30000,398.00000,5.30130,5.26910,33.85860,177.10000,26.80000,52.31800,2.02980,2196.00000,2286.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,8.90000,9.00000,27.56510,27.56300,34.05900,200.80000,0.01000,1.01000,0.01020,1913.00000,2248.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,499.90000,496.00000,5.32440,5.28369,34.03780,119.30000,32.20000,71.00300,2.38680,2248.00000,2305.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,598.70000,593.00000,4.86030,4.81315,34.15190,83.00000,36.30000,88.27400,2.68260,2288.00000,2325.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,701.20000,695.00000,4.75500,4.69967,34.28580,71.90000,37.40000,97.97000,2.74380,2304.00000,2344.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,798.70000,791.00000,3.75200,3.69465,34.25360,47.40000,40.90000,116.15000,2.97840,2339.00000,2350.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,901.20000,892.00000,3.37770,3.31484,34.30210,37.50000,42.10000,127.26000,3.03960,2357.00000,2360.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,999.20000,989.00000,3.20190,3.13271,34.36550,40.20000,41.80000,132.31000,3.09060,2362.00000,2373.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,1200.10000,1188.00000,2.68480,2.60454,34.42170,34.10000,42.80000,149.48000,3.10080,2381.00000,2385.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,1399.70000,1384.00000,2.42660,2.33346,34.47910,41.40000,42.70000,156.55000,3.10080,2384.00000,2395.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,1601.30000,1583.00000,2.23920,2.13229,34.52890,50.90000,42.20000,159.58000,3.01920,2383.00000,2406.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,1798.90000,1778.00000,2.11450,1.99324,34.55880,60.40000,41.80000,160.59000,2.94780,2380.00000,2406.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,2000.20000,1976.00000,1.95740,1.82170,34.59220,73.10000,41.00000,161.60000,2.90700,2374.00000,2414.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,2199.70000,2172.00000,1.85230,1.70134,34.60800,84.80000,40.30000,160.59000,2.85600,2370.00000,2417.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,2399.90000,2368.00000,1.74430,1.57773,34.63060,98.00000,39.30000,159.58000,2.77440,2364.00000,2419.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,2600.40000,2565.00000,1.66510,1.48207,34.64400,108.00000,38.60000,158.57000,2.75400,2355.00000,2417.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,2803.10000,2763.00000,1.60190,1.40150,34.65380,117.50000,38.10000,157.56000,2.68260,2350.00000,2418.00000,-9999.00000,-9999.00000
49HG20010813,20010817,0353,39.00550,147.00100,3000.20000,2956.00000,1.56310,1.34493,34.66030,124.30000,37.60000,155.54000,2.67240,2345.00000,2416.00000,-9999.00000,-9999.00000
