# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49HH19930513,19930516,0200,29.06000,158.55500,9.60000,10.00000,21.23960,21.23780,35.03780,225.42300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,18.60000,18.00000,20.55570,20.55220,35.05990,229.08600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,50.00000,50.00000,-9999.00000,-9999.00000,34.92400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,98.90000,98.00000,17.70240,17.68570,34.84530,229.38300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,200.30000,199.00000,17.05770,17.02460,34.78270,213.54300,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,299.60000,297.00000,15.94810,15.90080,34.70330,206.81100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,399.60000,397.00000,13.77100,13.71370,34.52480,194.23800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,549.80000,545.00000,9.95230,9.88813,34.25900,173.25000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,701.40000,696.00000,6.00390,5.94216,34.00910,148.40100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,849.30000,842.00000,5.01270,4.94324,34.16910,86.72400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,999.50000,990.00000,3.96570,3.89077,34.24600,54.25200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,1199.70000,1188.00000,3.15250,3.06798,34.38730,46.81900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,1404.80000,1391.00000,2.69640,2.59996,34.46820,39.20400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,1604.30000,1587.00000,2.39440,2.28534,34.52680,50.98500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,1804.00000,1784.00000,2.15020,2.02799,34.57000,69.20100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,2003.50000,1981.00000,1.96600,1.82985,34.60500,83.25900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,2498.30000,2467.00000,1.71240,1.53764,34.64270,113.15700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,2995.80000,2955.00000,1.57730,1.35923,34.66160,126.61500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,3497.40000,3445.00000,1.49910,1.23319,34.68320,140.18400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,4005.70000,3942.00000,1.47160,1.15282,34.68320,149.09400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,4506.80000,4430.00000,1.46890,1.09404,34.68590,157.31100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,4999.90000,4909.00000,1.48920,1.05525,34.68950,163.25100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,5500.00000,5394.00000,-9999.00000,-9999.00000,34.69420,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930516,0200,29.06000,158.55500,5500.00000,5394.00000,-9999.00000,-9999.00000,34.69070,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930517,1311,26.98670,164.99500,8.60000,9.00000,25.13540,25.13350,35.30030,210.07800,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930517,1311,26.98670,164.99500,18.50000,18.00000,24.96170,24.95770,35.32870,211.95900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930517,1311,26.98670,164.99500,50.00000,50.00000,-9999.00000,-9999.00000,35.33500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930517,1311,26.98670,164.99500,99.90000,99.00000,20.92710,20.90800,35.25370,219.28500,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930517,1311,26.98670,164.99500,198.10000,197.00000,17.18470,17.15180,34.78160,222.55200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930517,1311,26.98670,164.99500,298.50000,296.00000,15.44090,15.39480,34.64150,208.19700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930517,1311,26.98670,164.99500,397.50000,395.00000,13.15210,13.09690,34.44390,201.06900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49HH19930513,19930517,1311,26.98670,164.99500,547.80000,543.00000,9.48300,9.42101,34.17220,186.91200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
