# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49HO20000729,20000731,0000,44.00000,155.00000,0.00000,0.00000,16.62890,16.62890,32.61720,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2216.80000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,10.20000,10.00000,15.09300,15.09150,32.64320,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2007.90000,2220.50000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,19.70000,20.00000,10.38030,10.37800,32.72330,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2056.50000,2224.00000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,30.00000,30.00000,5.27950,5.27723,32.90410,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2089.50000,2236.80000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,39.50000,39.00000,2.71800,2.71582,32.98940,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2120.70000,2236.70000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,49.60000,49.00000,1.84460,1.84221,33.00890,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2129.50000,2236.70000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,59.10000,59.00000,1.65980,1.65704,33.01190,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2139.90000,2236.70000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,80.30000,80.00000,1.20140,1.19794,33.02750,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2145.70000,2236.70000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,101.00000,100.00000,1.21040,1.20602,33.07040,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2234.70000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,125.30000,124.00000,1.44040,1.43467,33.19420,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2162.20000,2250.90000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,149.80000,149.00000,2.48240,2.47414,33.50330,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2242.20000,2270.60000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,199.50000,198.00000,3.15070,3.13844,33.76250,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2303.90000,2292.00000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,250.40000,248.00000,3.40800,3.39193,33.89600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2309.80000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,306.70000,304.00000,3.32700,3.30732,34.00120,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2337.10000,2324.80000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,406.40000,403.00000,3.34330,3.31677,34.12360,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2345.10000,2340.70000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,504.90000,500.00000,3.18800,3.15521,34.19420,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2350.20000,2349.00000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,604.70000,599.00000,3.02850,2.98943,34.27230,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2372.80000,2363.90000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,705.20000,698.00000,2.87890,2.83355,34.31980,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2380.20000,2369.00000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,804.40000,796.00000,2.84390,2.79166,34.38780,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2375.30000,2379.20000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,1002.70000,992.00000,2.53280,2.46848,34.43370,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2377.10000,2390.40000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,1250.80000,1237.00000,2.31020,2.22955,34.49190,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2399.90000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,1499.80000,1482.00000,2.11980,2.02222,34.54100,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2378.80000,2408.10000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,1997.10000,1972.00000,1.79830,1.66524,34.60390,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2368.10000,2414.80000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,2494.20000,2460.00000,1.61080,1.43831,34.64120,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2350.80000,2419.20000,-9999.00000,-9999.00000
49HO20000729,20000731,0000,44.00000,155.00000,2998.90000,2954.00000,1.51730,1.30026,34.65970,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2337.80000,2419.10000,-9999.00000,-9999.00000
49HO20000729,20000801,0000,42.50000,155.00000,0.00000,0.00000,20.11960,20.11960,33.55090,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1959.80000,2242.90000,-9999.00000,-9999.00000
49HO20000729,20000801,0000,42.50000,155.00000,9.80000,10.00000,19.73880,19.73700,33.72200,-9999.00000,-9999.00000,-9999.00000,-9999.00000,1969.00000,2253.30000,-9999.00000,-9999.00000
