# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49K619940107,19940108,1228,32.74720,133.11400,9.90000,10.00000,16.88940,16.88780,34.64440,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49K619940107,19940108,1228,32.74720,133.11400,28.30000,28.00000,16.89130,16.88670,34.64320,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49K619940107,19940108,1228,32.74720,133.11400,48.10000,48.00000,16.70400,16.69620,34.60580,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49K619940107,19940108,1228,32.74720,133.11400,73.10000,73.00000,16.66550,16.65370,34.61000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49K619940107,19940108,1228,32.74720,133.11400,97.60000,97.00000,16.62770,16.61190,34.61130,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49K619940107,19940108,1228,32.74720,133.11400,122.40000,122.00000,16.56170,16.54200,34.60960,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49K619940107,19940108,1228,32.74720,133.11400,131.40000,130.00000,16.57040,16.54920,34.61070,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49K619940107,19940108,1228,32.74720,133.11400,131.40000,130.00000,16.49640,16.47530,34.60600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49K619940107,19940108,2339,31.91670,133.57700,21.50000,21.00000,20.91040,20.90630,34.89840,218.30000,-9999.00000,2.45000,-9999.00000,-9999.00000,-9999.00000,2.10900,1.23700
49K619940107,19940108,2339,31.91670,133.57700,48.00000,48.00000,20.64790,20.63880,34.89290,213.90000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2.19000,1.24100
49K619940107,19940108,2339,31.91670,133.57700,66.20000,66.00000,20.51290,20.50050,34.86690,214.90000,-9999.00000,2.25400,-9999.00000,-9999.00000,-9999.00000,2.19800,1.24900
49K619940107,19940108,2339,31.91670,133.57700,88.10000,87.00000,20.38780,20.37130,34.86420,216.20000,-9999.00000,2.25400,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49K619940107,19940108,2339,31.91670,133.57700,108.30000,108.00000,20.37430,20.35410,34.85870,217.50000,-9999.00000,2.25400,-9999.00000,-9999.00000,-9999.00000,2.40400,1.27200
49K619940107,19940108,2339,31.91670,133.57700,137.30000,136.00000,20.33860,20.31290,34.86010,218.30000,-9999.00000,2.25400,-9999.00000,-9999.00000,-9999.00000,2.20600,1.28200
49K619940107,19940108,2339,31.91670,133.57700,156.40000,155.00000,19.17730,19.14930,34.85870,207.60000,-9999.00000,3.03800,-9999.00000,-9999.00000,-9999.00000,2.41600,1.27900
49K619940107,19940108,2339,31.91670,133.57700,204.40000,203.00000,18.55800,18.52220,34.84990,205.50000,-9999.00000,3.23400,-9999.00000,-9999.00000,-9999.00000,2.34700,1.34800
49K619940107,19940108,2339,31.91670,133.57700,308.70000,306.00000,17.21950,17.16800,34.79870,203.20000,-9999.00000,4.70400,-9999.00000,-9999.00000,-9999.00000,2.44100,1.31400
49K619940107,19940108,2339,31.91670,133.57700,402.80000,400.00000,15.22370,15.16190,34.64580,189.70000,-9999.00000,10.09400,-9999.00000,-9999.00000,-9999.00000,2.11700,1.10600
49K619940107,19940108,2339,31.91670,133.57700,502.60000,498.00000,12.90770,12.83850,34.48250,178.10000,-9999.00000,18.22800,-9999.00000,-9999.00000,-9999.00000,1.91600,0.95000
49K619940107,19940108,2339,31.91670,133.57700,600.30000,595.00000,10.27840,10.20670,34.29000,166.40000,-9999.00000,34.64860,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49K619940107,19940108,2339,31.91670,133.57700,699.10000,693.00000,7.82940,7.75808,34.20440,135.60000,-9999.00000,51.25400,-9999.00000,-9999.00000,-9999.00000,1.08100,0.59700
