# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49NB20030705,20030709,0000,44.00000,155.00000,0.00000,0.00000,14.02500,14.02500,33.73300,-9999.00000,3.60000,12.92800,0.51000,2027.00000,2264.20000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,10.00000,10.00000,13.97000,13.96860,33.74230,277.75000,3.90000,13.13000,0.52000,2023.60000,2256.50000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,19.90000,20.00000,13.69750,13.69470,33.69760,283.30500,4.30000,12.72600,0.57000,2029.90000,2274.20000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,30.30000,30.00000,7.42200,7.41918,33.19370,336.63300,10.30000,11.41300,1.16000,2027.30000,2270.70000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,40.10000,40.00000,3.83800,3.83541,33.06380,348.24800,16.50000,17.97800,1.61000,2063.60000,2234.10000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,50.30000,50.00000,3.13250,3.12954,33.07450,337.03700,18.50000,26.46200,1.77000,2092.30000,2238.10000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,61.00000,61.00000,2.12500,2.12191,33.07840,321.98800,21.70000,38.17800,1.96000,2128.40000,-9999.00000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,70.30000,70.00000,1.61700,1.61373,33.07280,319.56400,24.10000,41.91500,2.01000,2140.00000,-9999.00000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,80.90000,80.00000,1.37700,1.37339,33.11230,316.23100,24.40000,43.73300,2.01000,2141.00000,-9999.00000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,101.00000,100.00000,1.60550,1.60077,33.16350,307.64600,24.90000,44.64200,2.01000,2147.20000,-9999.00000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,126.60000,126.00000,1.84650,1.84026,33.27750,285.32500,25.80000,48.78300,2.05000,2161.10000,2252.10000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,151.80000,151.00000,2.16300,2.15505,33.41600,241.49100,28.50000,57.16600,2.22000,2188.50000,2254.50000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,201.60000,200.00000,2.41750,2.40638,33.58540,155.03500,35.70000,78.37600,2.69000,2247.60000,2274.80000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,251.40000,249.00000,2.81050,2.79565,33.73730,106.55500,38.60000,87.97100,2.85000,2283.30000,2289.10000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,302.10000,299.00000,2.97600,2.95758,33.82390,79.28500,40.70000,97.76800,2.98000,2306.60000,2299.10000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,404.20000,401.00000,3.31550,3.28928,34.01860,52.01500,42.20000,107.26200,3.06000,2328.00000,2317.40000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,505.60000,501.00000,3.54700,3.51273,34.17270,42.72300,42.10000,115.03900,3.02000,2339.60000,2336.60000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,605.30000,600.00000,3.07750,3.03822,34.20750,28.88600,43.70000,128.67400,3.13000,2357.10000,-9999.00000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,806.70000,799.00000,2.94950,2.89648,34.35010,34.94600,43.10000,138.06700,3.12000,2367.90000,2373.20000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,1009.30000,999.00000,2.62750,2.56199,34.41270,34.34000,43.30000,150.08600,3.12000,2374.40000,-9999.00000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,1516.50000,1499.00000,2.17450,2.07503,34.52830,52.01500,42.50000,161.19600,3.06000,2377.10000,2408.60000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,2024.70000,1999.00000,1.85400,1.71781,34.60250,78.98200,41.00000,164.32700,2.93000,2371.00000,-9999.00000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,2535.10000,2500.00000,1.63950,1.46284,34.63970,106.45400,39.10000,161.49900,2.79000,2357.20000,2418.40000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,3044.70000,2999.00000,1.52450,1.30292,34.66240,127.26000,37.70000,155.54000,2.66000,2343.80000,2419.30000,-9999.00000,-9999.00000
49NB20030705,20030709,0000,44.00000,155.00000,3556.90000,3499.00000,1.47100,1.19977,34.67290,140.79400,36.90000,152.10600,2.55000,2331.90000,2419.90000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,0.00000,0.00000,8.92500,8.92500,32.84720,-9999.00000,15.20000,31.71400,1.42000,2071.50000,2241.80000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,9.70000,10.00000,8.74350,8.74251,32.96040,312.79700,15.20000,32.01700,1.42000,2067.90000,2234.10000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,19.50000,19.00000,8.59500,8.59302,32.87710,317.24100,15.40000,32.32000,1.43000,2070.70000,2231.70000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,28.80000,29.00000,8.02950,8.02670,32.93560,309.16100,17.10000,33.83500,1.55000,2080.10000,2240.10000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,39.60000,39.00000,4.75050,4.74766,32.99860,323.30100,18.80000,34.64300,1.67000,2097.60000,2236.50000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,49.10000,49.00000,3.35050,3.34753,33.03690,322.89700,20.90000,37.97600,1.83000,2117.80000,2246.00000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,60.20000,60.00000,1.96450,1.96154,33.02940,320.57400,22.40000,40.70300,1.91000,2123.90000,-9999.00000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,70.80000,70.00000,1.70450,1.70116,33.05620,319.96800,23.10000,40.50100,1.94000,2128.60000,-9999.00000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,79.70000,79.00000,1.52550,1.52185,33.07040,318.65500,22.90000,41.20800,1.97000,2133.20000,2241.70000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,99.50000,99.00000,1.31250,1.30809,33.10520,304.21200,25.80000,44.84400,2.05000,2142.40000,2239.10000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,125.20000,124.00000,2.08100,2.07456,33.40510,182.40600,35.00000,69.08400,2.62000,2228.90000,2274.60000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,150.80000,149.00000,2.96450,2.95554,33.67590,99.68700,40.70000,85.64800,2.93000,2286.00000,2277.80000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,201.00000,199.00000,3.45150,3.43862,33.86740,49.89400,43.90000,97.56600,3.14000,2321.30000,2307.10000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,252.80000,251.00000,3.52050,3.50400,34.00290,20.50300,45.10000,108.77700,3.24000,2344.90000,2309.20000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,302.50000,300.00000,3.48100,3.46119,34.06920,18.78600,44.90000,116.65500,3.22000,2349.50000,-9999.00000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,403.70000,400.00000,3.35500,3.32859,34.16040,15.55400,44.90000,125.03800,3.23000,2362.00000,2334.00000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,505.20000,500.00000,3.18300,3.15017,34.23530,14.24100,44.70000,133.01700,3.22000,2372.70000,2349.80000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,607.40000,601.00000,3.01850,2.97927,34.29290,15.35200,44.80000,140.18800,3.21000,2375.00000,2367.40000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,809.10000,801.00000,2.72200,2.67022,34.38100,17.67500,44.70000,153.11600,3.20000,2384.90000,2372.80000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,1010.00000,999.00000,2.45600,2.39175,34.44700,24.03800,44.20000,162.10500,3.19000,2392.70000,2394.40000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,1517.40000,1499.00000,2.01800,1.92023,34.55620,54.03500,42.50000,167.35700,3.05000,2389.40000,-9999.00000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,2025.90000,1999.00000,1.74850,1.61380,34.61240,84.73900,40.50000,166.14500,2.88000,2370.30000,2416.70000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,2535.50000,2499.00000,1.58000,1.40441,34.64510,112.00900,38.60000,160.28700,2.75000,2352.70000,2419.50000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,3045.80000,2999.00000,1.49250,1.27152,34.66280,129.28000,37.60000,154.63100,2.65000,2342.80000,2420.20000,-9999.00000,-9999.00000
49NB20030705,20030711,0000,47.00000,160.00000,3557.70000,3499.00000,1.45950,1.18849,34.67120,139.78400,37.00000,152.61100,2.59000,2331.50000,2420.00000,-9999.00000,-9999.00000
