# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49NZ20040807,20040810,0000,35.00000,155.00000,9.20000,9.00000,25.22990,25.22790,34.25360,211.20000,0.00000,1.01000,0.03000,1956.40000,2273.10000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,19.70000,20.00000,22.57680,22.57290,34.14300,233.70000,0.00000,1.21200,0.02000,1960.40000,2260.50000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,30.50000,30.00000,19.91950,19.91390,34.30860,246.90000,0.00000,2.42400,0.07000,1982.00000,2277.70000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,50.90000,51.00000,15.95150,15.94350,34.45050,242.90000,3.20000,5.95900,0.34000,2026.30000,2285.10000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,75.60000,75.00000,13.76090,13.75020,34.47340,208.10000,10.20000,12.62500,0.75000,2074.20000,2276.20000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,101.10000,100.00000,12.28700,12.27370,34.39220,193.90000,13.70000,18.98800,1.00000,2097.80000,2279.30000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,149.60000,148.00000,9.75270,9.73584,34.16090,222.20000,14.90000,22.52300,1.11000,2110.30000,2276.20000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,201.60000,200.00000,9.06740,9.04563,34.17760,175.20000,20.70000,35.35000,1.52000,2152.40000,2286.30000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,249.80000,248.00000,6.66530,6.64287,33.91230,214.50000,21.40000,38.17800,1.62000,2154.90000,2276.20000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,301.20000,299.00000,5.83420,5.80897,33.93700,177.20000,26.80000,53.32800,2.00000,2194.50000,2289.00000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,401.90000,399.00000,4.88630,4.85527,33.98510,122.70000,33.40000,73.52800,2.46000,2250.50000,2299.00000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,501.70000,497.00000,4.83870,4.79963,34.16520,80.30000,36.60000,88.98100,2.67000,2285.30000,2329.60000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,600.80000,596.00000,3.91730,3.87438,34.17230,57.00000,39.80000,106.85800,2.92000,2320.60000,2338.80000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,701.00000,695.00000,3.86220,3.81175,34.28920,53.20000,40.10000,114.23100,2.91000,2331.50000,2351.10000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,800.90000,794.00000,3.63370,3.57681,34.33560,48.70000,40.90000,120.39200,2.96000,2341.50000,2361.70000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,900.10000,892.00000,3.39570,3.33267,34.38700,52.10000,40.80000,125.94700,2.95000,2345.10000,2372.70000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,1001.50000,992.00000,3.03750,2.96936,34.40360,37.80000,42.40000,136.65300,3.06000,2364.90000,2381.80000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,1199.90000,1188.00000,2.63550,2.55562,34.47040,42.60000,42.50000,147.25800,3.05000,2373.80000,2395.10000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,1400.50000,1386.00000,2.34060,2.24825,34.51480,48.60000,42.10000,155.23700,3.03000,2379.80000,2401.60000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,1600.90000,1583.00000,2.15780,2.05186,34.55430,58.70000,41.70000,157.66100,2.99000,2377.30000,2404.50000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,1801.70000,1781.00000,1.98820,1.86837,34.58640,70.80000,41.00000,159.27700,2.92000,2376.90000,-9999.00000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,2001.70000,1978.00000,1.87340,1.73881,34.60720,82.70000,40.40000,159.27700,2.87000,2369.50000,2418.70000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,2201.20000,2174.00000,1.75360,1.60408,34.62870,97.40000,39.50000,157.96400,2.79000,2359.80000,-9999.00000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,2401.00000,2370.00000,1.66740,1.50207,34.64240,107.90000,38.70000,156.85300,2.75000,2356.20000,2420.50000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,2601.10000,2566.00000,1.60530,1.42332,34.65350,117.20000,38.30000,155.74200,2.69000,2351.10000,2420.40000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,2800.90000,2762.00000,1.55990,1.36054,34.66140,124.80000,37.70000,154.32800,2.65000,2345.50000,2422.50000,-9999.00000,-9999.00000
49NZ20040807,20040810,0000,35.00000,155.00000,2999.80000,2957.00000,1.51950,1.30229,34.66750,131.60000,37.40000,153.21700,2.63000,2341.10000,-9999.00000,-9999.00000,-9999.00000
