# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49OS20030603,20030606,1246,44.00000,155.00000,0.00000,0.00000,6.68780,6.68780,32.85100,322.50000,-9999.00000,-9999.00000,-9999.00000,2086.70000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,9.60000,10.00000,6.85820,6.85735,33.00260,335.80000,-9999.00000,-9999.00000,-9999.00000,2090.50000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,20.00000,20.00000,6.25240,6.25073,32.99010,341.60000,-9999.00000,-9999.00000,-9999.00000,2092.50000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,30.10000,30.00000,5.62350,5.62113,33.00000,332.30000,-9999.00000,-9999.00000,-9999.00000,2090.00000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,39.90000,40.00000,3.94510,3.94249,33.12470,328.80000,-9999.00000,-9999.00000,-9999.00000,2100.80000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,50.30000,50.00000,3.47850,3.47539,33.15800,313.90000,-9999.00000,-9999.00000,-9999.00000,2116.00000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,60.50000,60.00000,3.54620,3.54241,33.23770,302.90000,-9999.00000,-9999.00000,-9999.00000,2124.60000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,80.40000,80.00000,3.02330,3.01859,33.30220,294.30000,-9999.00000,-9999.00000,-9999.00000,2138.80000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,100.60000,100.00000,2.04310,2.03800,33.25760,291.10000,-9999.00000,-9999.00000,-9999.00000,2146.80000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,125.00000,124.00000,2.04350,2.03712,33.34240,263.10000,-9999.00000,-9999.00000,-9999.00000,2170.00000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,149.90000,149.00000,2.48610,2.47784,33.45480,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2190.60000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,200.40000,199.00000,2.65840,2.64693,33.63030,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2260.60000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,250.30000,248.00000,2.95200,2.93692,33.75990,90.50000,-9999.00000,-9999.00000,-9999.00000,2286.20000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,299.80000,297.00000,3.21160,3.19272,33.88570,49.50000,-9999.00000,-9999.00000,-9999.00000,2313.70000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,400.10000,397.00000,3.26930,3.24351,34.02040,30.20000,-9999.00000,-9999.00000,-9999.00000,2331.10000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,499.80000,495.00000,3.17270,3.14037,34.13090,25.80000,-9999.00000,-9999.00000,-9999.00000,2347.20000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,600.20000,595.00000,3.02370,2.98503,34.20560,24.70000,-9999.00000,-9999.00000,-9999.00000,2354.10000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,699.90000,693.00000,2.93040,2.88519,34.27510,27.00000,-9999.00000,-9999.00000,-9999.00000,2362.80000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,799.60000,792.00000,2.80970,2.75811,34.32670,24.90000,-9999.00000,-9999.00000,-9999.00000,2367.70000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,999.50000,989.00000,2.56030,2.49604,34.41010,30.60000,-9999.00000,-9999.00000,-9999.00000,2373.70000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,1249.60000,1236.00000,2.38990,2.30858,34.48600,40.60000,-9999.00000,-9999.00000,-9999.00000,2377.80000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,1499.60000,1482.00000,2.15320,2.05529,34.52620,50.40000,-9999.00000,-9999.00000,-9999.00000,2374.00000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,1999.60000,1974.00000,1.85400,1.71992,34.59270,77.00000,-9999.00000,-9999.00000,-9999.00000,2368.10000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,2499.20000,2464.00000,1.64830,1.47472,34.62940,101.90000,-9999.00000,-9999.00000,-9999.00000,2356.50000,-9999.00000,-9999.00000,-9999.00000
49OS20030603,20030606,1246,44.00000,155.00000,3002.60000,2957.00000,1.53660,1.31884,34.64990,119.60000,-9999.00000,-9999.00000,-9999.00000,2339.70000,-9999.00000,-9999.00000,-9999.00000
