# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49SH20081021,20081021,1341,36.14650,135.82700,0.00000,0.00000,21.86210,21.86210,33.44470,222.40000,0.10000,2.10000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1340,36.14650,135.82700,9.40000,9.00000,21.84970,21.84790,33.44700,222.50000,0.20000,2.17000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1339,36.14650,135.82700,20.20000,20.00000,21.56570,21.56180,33.46760,223.90000,0.20000,2.05000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1339,36.14650,135.82700,30.20000,30.00000,21.55650,21.55070,33.46870,224.50000,0.20000,2.08000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1338,36.14650,135.82700,49.70000,49.00000,19.41650,19.40760,34.01730,234.20000,0.20000,3.70000,0.01000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1337,36.14650,135.82700,75.70000,75.00000,16.92560,16.91320,34.43670,213.30000,4.68000,6.62000,0.29000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1336,36.14650,135.82700,100.50000,100.00000,14.82200,14.80700,34.46190,200.70000,7.22000,10.68000,0.48000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1335,36.14650,135.82700,126.40000,125.00000,12.29810,12.28150,34.38900,218.40000,7.89000,10.20000,0.54000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1334,36.14650,135.82700,150.40000,149.00000,9.14860,9.13230,34.25750,243.80000,9.55000,10.73000,0.63000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1333,36.14650,135.82700,202.40000,201.00000,4.09350,4.07941,34.08210,254.20000,14.70000,19.71000,1.02000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1735,36.40030,135.65800,0.00000,0.00000,21.43290,21.43290,33.49910,224.20000,0.10000,2.19000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1734,36.40030,135.65800,9.50000,9.00000,21.43640,21.43460,33.49670,224.70000,0.10000,2.23000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1733,36.40030,135.65800,19.50000,19.00000,21.10600,21.10230,33.66930,227.20000,0.10000,2.46000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1731,36.40030,135.65800,29.90000,30.00000,20.95990,20.95420,33.71990,227.20000,0.20000,2.61000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1730,36.40030,135.65800,50.00000,50.00000,15.81910,15.81130,34.38720,252.00000,0.98000,5.99000,0.18000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1729,36.40030,135.65800,74.90000,74.00000,12.66870,12.65870,34.39360,239.30000,4.68000,6.72000,0.38000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1727,36.40030,135.65800,99.80000,99.00000,9.42900,9.41800,34.26990,246.30000,8.38000,9.28000,0.59000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1726,36.40030,135.65800,125.40000,124.00000,6.70130,6.69007,34.14520,257.80000,10.42000,11.81000,0.73000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1725,36.40030,135.65800,151.50000,150.00000,4.22790,4.21726,34.07340,263.10000,13.34000,16.76000,0.95000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1717,36.40030,135.65800,201.40000,200.00000,2.29340,2.28232,34.06110,254.40000,17.82000,25.12000,1.30000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1716,36.40030,135.65800,250.80000,249.00000,1.45150,1.43933,34.06510,232.60000,21.90000,35.95000,1.64000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1714,36.40030,135.65800,304.00000,302.00000,0.96140,0.94775,34.06730,227.60000,23.26000,39.16000,1.75000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1646,36.40030,135.65800,402.70000,399.00000,0.60300,0.58577,34.07020,212.60000,25.02000,49.57000,1.91000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1644,36.40030,135.65800,503.90000,500.00000,0.46710,0.44565,34.06850,210.00000,25.11000,55.40000,1.93000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081021,1642,36.40030,135.65800,555.90000,551.00000,0.38500,0.36146,34.06840,206.60000,25.41000,61.02000,1.96000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081022,0034,36.83420,135.29600,0.00000,0.00000,20.97620,20.97620,33.66620,226.60000,0.10000,2.40000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081022,0033,36.83420,135.29600,9.60000,9.00000,20.97000,20.96820,33.66560,227.40000,0.10000,2.44000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081022,0032,36.83420,135.29600,20.00000,20.00000,20.97610,20.97230,33.67200,227.30000,0.10000,2.40000,0.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081022,0032,36.83420,135.29600,29.90000,30.00000,20.17540,20.16990,33.87960,232.40000,0.20000,3.09000,0.01000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081022,0031,36.83420,135.29600,49.50000,49.00000,17.60790,17.59960,34.30190,214.30000,4.10000,6.58000,0.27000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081022,0030,36.83420,135.29600,75.80000,75.00000,14.42470,14.41360,34.41620,219.80000,5.46000,8.84000,0.41000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081022,0029,36.83420,135.29600,102.00000,101.00000,10.60530,10.59320,34.30830,246.60000,7.02000,7.48000,0.49000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081022,0028,36.83420,135.29600,127.30000,126.00000,7.48350,7.47133,34.18130,254.60000,10.03000,11.35000,0.70000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081022,0026,36.83420,135.29600,153.00000,152.00000,5.36150,5.34937,34.10550,256.20000,12.46000,15.20000,0.88000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SH20081021,20081022,0025,36.83420,135.29600,202.10000,201.00000,2.48550,2.47406,34.06480,242.60000,18.89000,27.65000,1.38000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
