# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49SO19970509,19970510,0000,33.00000,144.00000,9.10000,9.00000,20.45600,20.45430,34.75500,-9999.00000,0.70000,-9999.00000,0.12000,1965.80000,2250.80000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,30.20000,30.00000,20.44900,20.44330,34.75300,-9999.00000,0.80000,-9999.00000,0.22000,1964.00000,2262.10000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,49.40000,49.00000,19.94400,19.93490,34.78200,-9999.00000,0.40000,-9999.00000,0.18000,1969.60000,2263.80000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,75.60000,75.00000,19.26300,19.24940,34.84400,-9999.00000,0.40000,-9999.00000,0.10000,1978.70000,2260.30000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,101.80000,101.00000,18.57000,18.55220,34.82500,-9999.00000,1.80000,-9999.00000,0.17000,1992.10000,2260.00000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,126.00000,125.00000,18.30700,18.28520,34.82700,-9999.00000,2.20000,-9999.00000,0.19000,1994.80000,2258.50000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,151.20000,150.00000,17.97700,17.95110,34.81200,-9999.00000,2.60000,-9999.00000,0.26000,1999.20000,2256.20000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,176.40000,175.00000,17.89700,17.86690,34.81600,-9999.00000,2.70000,-9999.00000,0.23000,2001.70000,2256.80000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,201.60000,200.00000,17.72700,17.69280,34.81900,-9999.00000,3.60000,-9999.00000,0.29000,2002.80000,2256.60000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,252.00000,250.00000,17.05700,17.01530,34.79600,-9999.00000,6.10000,-9999.00000,0.45000,2031.80000,2265.10000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,301.50000,299.00000,15.47600,15.42930,34.65500,-9999.00000,10.00000,-9999.00000,0.66000,2065.10000,2268.60000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,403.40000,400.00000,12.21700,12.16360,34.42300,-9999.00000,15.70000,-9999.00000,1.10000,2106.10000,-9999.00000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,504.30000,500.00000,9.67100,9.61331,34.26000,-9999.00000,21.40000,-9999.00000,1.48000,2159.10000,2289.70000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,604.30000,599.00000,7.40800,7.34863,34.19200,-9999.00000,28.00000,-9999.00000,1.99000,2207.40000,2308.20000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,706.40000,700.00000,5.69000,5.62928,34.18700,-9999.00000,33.50000,-9999.00000,2.33000,2293.30000,2331.50000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,808.50000,801.00000,4.82600,4.76118,34.23900,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2332.30000,2351.00000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,1010.80000,1001.00000,3.65500,3.58143,34.32600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2363.10000,2366.80000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,1263.00000,1250.00000,2.92600,2.83854,34.42500,-9999.00000,38.70000,-9999.00000,2.54000,2374.80000,2387.40000,-9999.00000,-9999.00000
49SO19970509,19970510,0000,33.00000,144.00000,1516.40000,1500.00000,2.46200,2.35925,34.49600,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2377.90000,2397.50000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,9.10000,9.00000,17.87000,17.86850,34.65400,-9999.00000,0.80000,-9999.00000,0.15000,1981.60000,2290.70000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,29.20000,29.00000,17.64600,17.64110,34.64600,-9999.00000,0.90000,-9999.00000,0.19000,1987.70000,2289.00000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,48.40000,48.00000,16.40700,16.39930,34.63800,-9999.00000,2.70000,-9999.00000,0.29000,2010.10000,2290.60000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,74.60000,74.00000,15.96800,15.95630,34.66700,-9999.00000,8.30000,-9999.00000,0.58000,2039.50000,2290.50000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,99.80000,99.00000,15.21100,15.19580,34.62200,-9999.00000,9.30000,-9999.00000,0.67000,2056.90000,2287.20000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,125.00000,124.00000,14.68400,14.66540,34.60800,-9999.00000,9.80000,-9999.00000,0.69000,2055.90000,2288.80000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,150.20000,149.00000,14.30500,14.28310,34.59100,-9999.00000,10.30000,-9999.00000,0.74000,2063.50000,2283.80000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,176.40000,175.00000,14.02100,13.99560,34.58300,-9999.00000,10.50000,-9999.00000,0.74000,2062.20000,2287.00000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,200.60000,199.00000,13.45600,13.42790,34.52500,-9999.00000,12.50000,-9999.00000,0.90000,2082.20000,2287.10000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,252.00000,250.00000,12.00700,11.97420,34.42200,-9999.00000,17.30000,-9999.00000,1.19000,2115.50000,2287.20000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,302.50000,300.00000,10.71900,10.68240,34.34100,-9999.00000,19.60000,-9999.00000,1.34000,2132.80000,2288.90000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,404.40000,401.00000,7.59100,7.55131,34.09500,-9999.00000,23.70000,-9999.00000,1.69000,2173.10000,2289.20000,-9999.00000,-9999.00000
49SO19970509,19970511,0000,33.50000,144.00000,504.40000,500.00000,5.33300,5.29187,34.04300,-9999.00000,32.50000,-9999.00000,2.29000,2242.60000,2306.90000,-9999.00000,-9999.00000
