# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49SU19990709,19990709,1501,33.47180,135.27200,0.00000,0.00000,25.39450,25.39450,33.73090,222.40000,0.39000,-9999.00000,0.06000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1500,33.47180,135.27200,11.30000,11.00000,24.78070,24.77830,33.81480,218.30000,0.00000,-9999.00000,0.01000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1459,33.47180,135.27200,26.60000,26.00000,24.90750,24.90180,33.92170,215.10000,0.00000,-9999.00000,0.01000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1458,33.47180,135.27200,51.70000,51.00000,22.79650,22.78610,34.22210,217.90000,0.20000,-9999.00000,0.07000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1457,33.47180,135.27200,77.50000,77.00000,21.41470,21.39970,34.48280,202.00000,2.73000,-9999.00000,0.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1456,33.47180,135.27200,101.60000,101.00000,20.15290,20.13410,34.69180,186.60000,4.98000,-9999.00000,0.37000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1455,33.47180,135.27200,126.70000,126.00000,19.24760,19.22490,34.64530,186.60000,6.25000,-9999.00000,0.46000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1454,33.47180,135.27200,152.40000,151.00000,18.21420,18.18790,34.67860,183.50000,7.41000,-9999.00000,0.53000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1453,33.47180,135.27200,203.30000,202.00000,15.51630,15.48490,34.59360,175.00000,11.80000,-9999.00000,0.83000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1452,33.47180,135.27200,254.20000,252.00000,12.31030,12.27670,34.47330,156.10000,18.22000,-9999.00000,1.28000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1450,33.47180,135.27200,304.20000,302.00000,9.41410,9.38020,34.34720,136.10000,24.74000,-9999.00000,1.73000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1405,33.47180,135.27200,404.50000,401.00000,7.23740,7.19865,34.29190,110.40000,30.38000,-9999.00000,2.15000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1402,33.47180,135.27200,504.50000,500.00000,5.94450,5.90079,34.28600,92.30000,34.08000,-9999.00000,2.41000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1400,33.47180,135.27200,604.70000,600.00000,4.92940,4.88127,34.31300,78.60000,36.90000,-9999.00000,2.62000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1358,33.47180,135.27200,706.40000,700.00000,4.30940,4.25600,34.34650,72.30000,38.36000,-9999.00000,2.73000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49SU19990709,19990709,1356,33.47180,135.27200,806.90000,800.00000,3.87280,3.81389,34.37580,68.50000,39.03000,-9999.00000,2.76000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
