# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49TA20020108,20020121,0000,42.25000,145.12000,10.00000,10.00000,-0.06700,-0.06730,32.35500,-9999.00000,14.29000,24.58000,1.17000,2097.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020121,0000,42.25000,145.12000,20.00000,20.00000,0.99700,0.99620,32.67600,-9999.00000,15.47000,27.51000,1.17000,2108.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020121,0000,42.25000,145.12000,30.00000,30.00000,1.39000,1.38869,32.73400,-9999.00000,15.56000,28.39000,1.19000,2109.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020121,0000,42.25000,145.12000,50.00000,50.00000,1.47600,1.47377,32.77500,-9999.00000,14.09000,24.47000,1.10000,2107.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020121,0000,42.25000,145.12000,75.00000,74.00000,1.59600,1.59256,32.81100,-9999.00000,15.95000,29.17000,1.14000,2115.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020121,0000,42.25000,145.12000,100.00000,99.00000,1.82200,1.81717,33.00000,-9999.00000,20.06000,37.38000,1.48000,2133.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020121,0000,42.25000,145.12000,150.00000,149.00000,1.56800,1.56093,33.26800,-9999.00000,25.54000,48.04000,1.76000,2171.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020121,0000,42.25000,145.12000,200.00000,198.00000,1.83900,1.82899,33.39000,-9999.00000,29.64000,57.43000,2.03000,2195.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020120,0000,41.50000,145.50000,10.00000,10.00000,1.42800,1.42756,33.11700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2133.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020120,0000,41.50000,145.50000,20.00000,20.00000,1.52200,1.52109,33.14000,-9999.00000,22.41000,40.41000,1.64000,2133.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020120,0000,41.50000,145.50000,50.00000,50.00000,2.77600,2.77318,33.31000,-9999.00000,20.45000,35.32000,1.48000,2122.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020120,0000,41.50000,145.50000,75.00000,74.00000,2.81600,2.81173,33.31700,-9999.00000,-9999.00000,-9999.00000,-9999.00000,2120.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020120,0000,41.50000,145.50000,100.00000,99.00000,2.06200,2.05690,33.35800,-9999.00000,24.95000,43.54000,1.75000,2155.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020120,0000,41.50000,145.50000,150.00000,149.00000,2.03500,2.02729,33.47200,-9999.00000,25.14000,52.14000,1.85000,2224.00000,-9999.00000,-9999.00000,-9999.00000
49TA20020108,20020120,0000,41.50000,145.50000,200.00000,198.00000,2.36100,2.35005,33.62300,-9999.00000,37.86000,78.35000,2.53000,2258.00000,-9999.00000,-9999.00000,-9999.00000
