# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49UF20060418,20060418,2338,34.01420,136.99200,4.70000,5.00000,18.14730,18.14650,34.61930,235.62000,1.07000,3.15120,0.10780,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2337,34.01420,136.99200,10.30000,10.00000,18.14820,18.14640,34.62020,235.62000,1.07000,3.14110,0.10780,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2335,34.01420,136.99200,26.40000,26.00000,18.14900,18.14450,34.61980,234.63000,1.07000,3.08050,0.10780,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2328,34.01420,136.99200,49.80000,49.00000,18.03600,18.02750,34.61490,231.73400,1.45055,3.29722,0.13663,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2328,34.01420,136.99200,49.90000,49.00000,18.04320,18.03470,34.61560,231.70900,1.45369,3.29904,0.13682,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2327,34.01420,136.99200,50.10000,50.00000,18.07150,18.06290,34.61450,231.66000,1.46000,3.30270,0.13720,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2329,34.01420,136.99200,50.20000,50.00000,18.04330,18.03470,34.61590,231.63500,1.46321,3.30458,0.13739,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2328,34.01420,136.99200,50.30000,50.00000,18.03100,18.02240,34.61590,231.61000,1.46650,3.30655,0.13759,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2328,34.01420,136.99200,50.30000,50.00000,18.04970,18.04110,34.61520,231.61000,1.46650,3.30655,0.13759,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2328,34.01420,136.99200,50.30000,50.00000,18.06250,18.05390,34.61500,231.61000,1.46650,3.30655,0.13759,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2326,34.01420,136.99200,75.50000,75.00000,17.41000,17.39740,34.63890,217.80000,3.80000,5.68630,0.25480,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2325,34.01420,136.99200,100.90000,100.00000,16.33680,16.32070,34.60390,199.98000,7.80000,10.88780,0.49980,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2324,34.01420,136.99200,126.10000,125.00000,15.13460,15.11550,34.52740,234.63000,6.92000,10.91810,0.49000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2322,34.01420,136.99200,152.70000,152.00000,14.08470,14.06270,34.49330,235.62000,7.51000,11.50390,0.54880,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2320,34.01420,136.99200,202.60000,201.00000,11.92470,11.89850,34.43630,153.45000,18.61000,30.00710,1.25440,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2318,34.01420,136.99200,253.50000,252.00000,9.71750,9.68876,34.34310,133.65000,24.06000,44.86420,1.65620,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2316,34.01420,136.99200,303.40000,301.00000,8.49120,8.45949,34.28360,127.71000,26.79000,53.00480,1.87180,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2313,34.01420,136.99200,405.40000,402.00000,6.43980,6.40349,34.18620,105.93000,32.33000,69.30620,2.30300,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2310,34.01420,136.99200,505.00000,501.00000,5.52970,5.48758,34.25480,85.14000,35.54000,86.22370,2.53820,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2307,34.01420,136.99200,606.20000,601.00000,4.53190,4.48551,34.31890,70.29000,38.36000,103.61600,2.74400,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2305,34.01420,136.99200,707.10000,701.00000,4.15550,4.10288,34.35190,68.31000,39.04000,111.03900,2.79300,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2302,34.01420,136.99200,807.90000,801.00000,3.76910,3.71074,34.39470,67.32000,39.71000,118.11900,2.83220,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2259,34.01420,136.99200,908.50000,900.00000,3.59960,3.53444,34.41390,68.31000,39.91000,122.23000,2.84200,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060418,2257,34.01420,136.99200,1009.90000,1000.00000,3.36400,3.29259,34.43980,70.29000,40.00000,126.29000,2.86160,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060419,0335,33.68130,137.00800,5.20000,5.00000,18.13300,18.13210,34.58890,-9999.00000,0.39000,2.06040,0.07840,1982.70000,2273.30000,-9999.00000,-9999.00000
49UF20060418,20060419,0335,33.68130,137.00800,5.60000,6.00000,18.13310,18.13210,34.58740,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060419,0250,33.68130,137.00800,1850.20000,1829.00000,2.31510,2.18679,34.56440,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060419,0834,33.37700,137.05800,4.70000,5.00000,17.31810,17.31730,34.30690,260.37000,0.39000,2.47450,0.05880,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060419,0833,33.37700,137.05800,9.90000,10.00000,17.31880,17.31720,34.31040,260.37000,0.39000,2.47450,0.06860,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060419,0832,33.37700,137.05800,25.40000,25.00000,17.33340,17.32920,34.42480,240.57000,1.37000,3.42390,0.14700,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UF20060418,20060419,0827,33.37700,137.05800,49.90000,49.00000,17.07420,17.06600,34.51800,230.67000,2.73000,4.68640,0.19600,-9999.00000,-9999.00000,-9999.00000,-9999.00000
