# REFDATA
# This data is reference data for 2QC
EXPOCODE,DATE,TIME,LATITUDE,LONGITUDE,CTDPRS,DEPTH,CTDTMP,THETA,SALNTY,OXYGEN,NITRAT,SILCAT,PHSPHT,TCARBN,ALKALI,CFC_11,CFC_12

49UP20011010,20011011,0818,34.95650,140.23900,0.00000,0.00000,25.24960,25.24960,34.10410,210.00000,0.00000,2.06040,0.03000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0815,34.95650,140.23900,7.10000,7.00000,25.25980,25.25830,34.10450,210.70000,0.00000,1.97960,0.01000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0813,34.95650,140.23900,21.00000,21.00000,24.72750,24.72300,33.99980,211.40000,0.00000,1.98970,0.01000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0812,34.95650,140.23900,45.90000,46.00000,23.05410,23.04470,34.52250,186.60000,3.17000,4.39350,0.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0811,34.95650,140.23900,71.10000,71.00000,20.01470,20.00160,34.69930,193.10000,4.29000,4.88840,0.27000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0810,34.95650,140.23900,97.10000,96.00000,17.76100,17.74450,34.74440,185.40000,6.23000,6.24180,0.39000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0808,34.95650,140.23900,123.90000,123.00000,16.50370,16.48370,34.69990,188.40000,7.84000,7.96890,0.50000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0807,34.95650,140.23900,150.50000,149.00000,14.63220,14.60990,34.57310,172.10000,12.19000,16.67510,0.79000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0805,34.95650,140.23900,199.60000,198.00000,12.51600,12.48940,34.45560,164.40000,16.62000,23.68450,1.09000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0803,34.95650,140.23900,249.70000,248.00000,11.48120,11.44970,34.37630,162.10000,18.34000,25.67420,1.22000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0801,34.95650,140.23900,299.60000,297.00000,10.20460,10.16950,34.34750,144.20000,22.49000,39.36980,1.51000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0757,34.95650,140.23900,401.60000,398.00000,8.82520,8.78198,34.28990,131.50000,26.18000,50.39900,1.78000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0754,34.95650,140.23900,503.00000,499.00000,6.09250,6.04846,34.15930,109.60000,32.29000,73.17450,2.27000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0750,34.95650,140.23900,602.40000,597.00000,4.74550,4.69857,34.16680,79.10000,37.55000,94.01080,2.63000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0747,34.95650,140.23900,704.40000,698.00000,4.55450,4.49998,34.29320,68.70000,38.31000,104.18200,2.70000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0744,34.95650,140.23900,802.80000,795.00000,4.09640,4.03648,34.33170,62.60000,39.64000,113.49400,2.78000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
49UP20011010,20011011,0741,34.95650,140.23900,904.50000,896.00000,3.73350,3.66776,34.38300,62.40000,39.97000,120.70500,2.82000,-9999.00000,-9999.00000,-9999.00000,-9999.00000
